date,average,highest,lowest,order_count,volume
2025-06-15,2349000000.0,2350000000.0,2348000000.0,2,2
2025-06-21,2535000000.0,2535000000.0,2535000000.0,2,2
2025-06-23,2536000000.0,2536000000.0,2536000000.0,1,1
2025-06-28,2997000000.0,2997000000.0,2997000000.0,1,1
2025-06-29,2999000000.0,2999000000.0,2999000000.0,1,1
2025-07-02,2949000000.0,2949000000.0,2949000000.0,1,1
2025-07-09,3314666666.67,3497000000.0,2950000000.0,3,3
2025-07-11,3497000000.0,3497000000.0,3497000000.0,1,1
2025-07-14,3497000000.0,3497000000.0,3497000000.0,1,1
2025-07-16,3597000000.0,3597000000.0,3597000000.0,1,1
2025-08-11,2700000000.0,2700000000.0,2700000000.0,1,1
2025-09-14,2500000000.0,2500000000.0,2500000000.0,1,1
2025-09-19,2497000000.0,2497000000.0,2497000000.0,1,1
2025-10-30,2397000000.0,2397000000.0,2397000000.0,1,1
2025-11-06,1774000000.0,1774000000.0,1774000000.0,1,1
