date,average,highest,lowest,order_count,volume
2025-05-25,15000000.0,15000000.0,15000000.0,1,1
2025-05-27,20100000.0,20100000.0,20100000.0,1,1
2025-06-10,20000000.0,20000000.0,20000000.0,1,1
2025-06-18,19990000.0,19990000.0,19990000.0,1,1
2025-06-20,19980000.0,19980000.0,19980000.0,1,1
2025-06-22,20000000.0,20000000.0,20000000.0,1,1
2025-07-04,17550000.0,20100000.0,15000000.0,2,2
2025-07-06,20100000.0,20100000.0,20100000.0,1,2
2025-07-09,22300000.0,22300000.0,22300000.0,1,1
2025-07-10,26500000.0,26500000.0,26500000.0,1,2
2025-07-24,94980000.0,94980000.0,94980000.0,1,1
2025-07-25,10400000.0,10400000.0,10400000.0,1,1
2025-07-30,49850000.0,49850000.0,49850000.0,1,1
2025-07-31,49890000.0,49890000.0,49890000.0,1,1
2025-08-02,69975000.0,69990000.0,69960000.0,2,2
2025-08-13,59000000.0,59000000.0,59000000.0,1,1
2025-08-28,54100000.0,54100000.0,54100000.0,1,1
2025-08-30,12910000.0,12910000.0,12910000.0,1,1
2025-09-05,59990000.0,59990000.0,59990000.0,1,1
2025-09-08,50000000.0,50000000.0,50000000.0,1,1
2025-09-10,56500000.0,57000000.0,56000000.0,2,2
2025-09-14,29393333.33,59990000.0,14095000.0,3,3
2025-09-25,59980000.0,59980000.0,59980000.0,1,1
2025-10-17,54980000.0,54980000.0,54980000.0,1,1
2025-10-22,15400000.0,15400000.0,15400000.0,1,1
2025-10-23,49980000.0,49980000.0,49980000.0,1,1
2025-10-31,47970000.0,47970000.0,47970000.0,1,1
2025-11-03,13621666.67,15130000.0,5050000.0,4,6
2025-11-04,5070000.0,5070000.0,5070000.0,1,1
2025-11-05,44530000.0,44530000.0,44530000.0,1,1
2025-11-06,44430000.0,44430000.0,44430000.0,1,1
