date,average,highest,lowest,order_count,volume
2025-05-22,22000000.0,22000000.0,22000000.0,1,1
2025-05-23,22000000.0,22000000.0,22000000.0,1,1
2025-05-25,12655040.0,12655040.0,12655040.0,2,2
2025-05-26,12655040.0,12655040.0,12655040.0,1,1
2025-05-27,12655040.0,12655040.0,12655040.0,2,2
2025-05-29,15770026.67,22000000.0,12655040.0,3,3
2025-05-30,22000000.0,22000000.0,22000000.0,1,1
2025-05-31,12655040.0,12655040.0,12655040.0,2,6
2025-06-03,12655040.0,12655040.0,12655040.0,1,1
2025-06-04,12079020.0,12655040.0,1006000.0,3,4
2025-06-07,20000000.0,20000000.0,20000000.0,2,2
2025-06-08,12655040.0,12655040.0,12655040.0,1,1
2025-06-09,12655040.0,12655040.0,12655040.0,1,1
2025-06-10,12627520.0,12655040.0,12600000.0,2,2
2025-06-11,22000000.0,22000000.0,22000000.0,1,1
2025-06-14,12655040.0,12655040.0,12655040.0,1,1
2025-06-19,20000000.0,20000000.0,20000000.0,1,1
2025-06-20,12655040.0,12655040.0,12655040.0,1,1
2025-06-21,12655040.0,12655040.0,12655040.0,1,1
2025-06-22,12655040.0,12655040.0,12655040.0,1,1
2025-06-23,16327520.0,20000000.0,12655040.0,2,2
2025-06-24,12655040.0,12655040.0,12655040.0,1,1
2025-06-26,20000000.0,20000000.0,20000000.0,1,1
2025-06-27,12655040.0,12655040.0,12655040.0,1,1
2025-06-28,21000000.0,21000000.0,21000000.0,2,2
2025-06-30,12655040.0,12655040.0,12655040.0,3,3
2025-07-01,12655040.0,12655040.0,12655040.0,1,1
2025-07-04,12655040.0,12655040.0,12655040.0,2,2
2025-07-06,20500000.0,20500000.0,20500000.0,1,1
2025-07-07,12655040.0,12655040.0,12655040.0,1,1
2025-07-08,20500000.0,20500000.0,20500000.0,1,1
2025-07-12,12655040.0,12655040.0,12655040.0,2,2
2025-07-13,12655040.0,12655040.0,12655040.0,3,3
2025-07-15,12655040.0,12655040.0,12655040.0,1,1
2025-07-16,20500000.0,20500000.0,20500000.0,1,1
2025-07-17,12655040.0,12655040.0,12655040.0,1,1
2025-07-20,16577520.0,20500000.0,12655040.0,2,2
2025-07-21,12655040.0,12655040.0,12655040.0,1,1
2025-07-23,20500000.0,20500000.0,20500000.0,1,1
2025-07-25,15770026.67,22000000.0,12655040.0,2,3
2025-07-26,12655040.0,12655040.0,12655040.0,2,2
2025-07-27,12655040.0,12655040.0,12655040.0,4,10
2025-07-28,12655040.0,12655040.0,12655040.0,1,1
2025-07-31,12655040.0,12655040.0,12655040.0,1,1
2025-08-01,12655040.0,12655040.0,12655040.0,1,1
2025-08-02,12655040.0,12655040.0,12655040.0,1,1
2025-08-03,12655040.0,12655040.0,12655040.0,1,1
2025-08-04,12655040.0,12655040.0,12655040.0,1,1
2025-08-05,21350000.0,21350000.0,21350000.0,1,1
2025-08-07,12655040.0,12655040.0,12655040.0,1,1
2025-08-11,12655040.0,12655040.0,12655040.0,2,5
2025-08-12,12655040.0,12655040.0,12655040.0,1,1
2025-08-13,12655040.0,12655040.0,12655040.0,1,1
2025-08-14,12655040.0,12655040.0,12655040.0,2,3
2025-08-16,12655040.0,12655040.0,12655040.0,1,1
2025-08-17,14813780.0,21290000.0,12655040.0,4,4
2025-08-21,21290000.0,21290000.0,21290000.0,1,1
2025-08-22,12655040.0,12655040.0,12655040.0,1,2
2025-08-23,21300000.0,21300000.0,21300000.0,1,1
2025-08-25,12655040.0,12655040.0,12655040.0,1,1
2025-08-30,12655040.0,12655040.0,12655040.0,3,3
2025-08-31,12655040.0,12655040.0,12655040.0,5,11
2025-09-01,12655040.0,12655040.0,12655040.0,1,1
2025-09-03,12655040.0,12655040.0,12655040.0,1,1
2025-09-06,12655040.0,12655040.0,12655040.0,2,2
2025-09-08,12655040.0,12655040.0,12655040.0,1,1
2025-09-09,12655040.0,12655040.0,12655040.0,1,1
2025-09-11,12655040.0,12655040.0,12655040.0,1,1
2025-09-13,12655040.0,12655040.0,12655040.0,1,1
2025-09-14,12655040.0,12655040.0,12655040.0,1,1
2025-09-15,12655040.0,12655040.0,12655040.0,1,1
2025-09-17,12655040.0,12655040.0,12655040.0,1,1
2025-09-18,12655040.0,12655040.0,12655040.0,1,1
2025-09-19,12655040.0,12655040.0,12655040.0,1,1
2025-09-21,12655040.0,12655040.0,12655040.0,2,2
2025-10-04,12655040.0,12655040.0,12655040.0,1,4
2025-10-06,12655040.0,12655040.0,12655040.0,1,1
2025-10-10,12655040.0,12655040.0,12655040.0,1,1
2025-10-11,500000.0,500000.0,500000.0,1,1
2025-10-13,12655040.0,12655040.0,12655040.0,1,1
2025-10-14,12655040.0,12655040.0,12655040.0,1,1
2025-10-15,12655040.0,12655040.0,12655040.0,1,1
2025-10-17,12655040.0,12655040.0,12655040.0,1,1
2025-10-19,12655040.0,12655040.0,12655040.0,1,1
2025-10-20,12655040.0,12655040.0,12655040.0,1,1
2025-10-21,12655040.0,12655040.0,12655040.0,1,1
2025-10-22,16327520.0,20000000.0,12655040.0,2,2
2025-10-24,12655040.0,12655040.0,12655040.0,2,3
2025-10-25,12655040.0,12655040.0,12655040.0,1,1
2025-10-26,12655040.0,12655040.0,12655040.0,1,1
2025-10-28,12655040.0,12655040.0,12655040.0,4,7
2025-10-29,12655040.0,12655040.0,12655040.0,1,1
2025-10-31,12655040.0,12655040.0,12655040.0,1,2
2025-11-01,12655040.0,12655040.0,12655040.0,2,3
2025-11-02,12655040.0,12655040.0,12655040.0,2,4
2025-11-03,12655040.0,12655040.0,12655040.0,2,2
2025-11-05,12655040.0,12655040.0,12655040.0,1,1
2025-11-06,12655040.0,12655040.0,12655040.0,2,5
2025-11-07,12655040.0,12655040.0,12655040.0,1,1
2025-11-08,12655040.0,12655040.0,12655040.0,1,1
2025-11-11,12655040.0,12655040.0,12655040.0,1,1
2025-11-12,12655040.0,12655040.0,12655040.0,2,3
2025-11-14,12655040.0,12655040.0,12655040.0,1,1
