date,average,highest,lowest,order_count,volume
2025-05-20,454600.0,454600.0,454600.0,106,134
2025-05-21,454300.0,454500.0,454200.0,129,263
2025-05-22,454300.0,454300.0,454300.0,100,108
2025-05-23,454200.0,454200.0,454200.0,128,185
2025-05-24,454200.0,454200.0,454200.0,165,281
2025-05-25,454300.0,454400.0,444000.0,164,212
2025-05-26,454200.0,454300.0,407800.0,125,165
2025-05-27,454400.0,454600.0,454300.0,109,143
2025-05-28,454600.0,454600.0,454600.0,131,152
2025-05-29,454350.0,454500.0,408200.0,136,194
2025-05-30,453400.0,453400.0,453400.0,165,333
2025-05-31,453800.0,453900.0,453300.0,146,289
2025-06-01,453800.0,453900.0,453700.0,162,313
2025-06-02,453500.0,453600.0,408400.0,123,233
2025-06-03,453100.0,453200.0,453000.0,130,164
2025-06-04,452900.0,452900.0,452900.0,153,189
2025-06-05,452900.0,452900.0,452900.0,152,329
2025-06-06,452600.0,452600.0,452600.0,142,179
2025-06-07,452300.0,452600.0,408600.0,131,182
2025-06-08,451800.0,451900.0,451350.0,192,274
2025-06-09,449400.0,449600.0,448200.0,136,143
2025-06-10,447200.0,447550.0,447100.0,119,141
2025-06-11,447000.0,447100.0,446900.0,89,114
2025-06-12,444900.0,445700.0,444900.0,119,150
2025-06-13,444500.0,444900.0,444400.0,120,149
2025-06-14,442900.0,442900.0,442800.0,121,198
2025-06-15,439700.0,439800.0,439600.0,164,236
2025-06-16,439000.0,439100.0,438900.0,105,148
2025-06-17,437500.0,438900.0,407700.0,88,190
2025-06-18,437300.0,437300.0,437300.0,78,150
2025-06-19,437000.0,437000.0,437000.0,120,196
2025-06-20,436500.0,436500.0,436500.0,111,126
2025-06-21,436300.0,436400.0,407500.0,96,128
2025-06-22,436300.0,436300.0,436200.0,141,174
2025-06-23,436300.0,436300.0,436300.0,131,168
2025-06-24,369200.0,369200.0,369200.0,111,235
2025-06-25,429850.0,429900.0,369200.0,117,158
2025-06-26,435700.0,435800.0,430000.0,120,157
2025-06-27,435150.0,435600.0,434900.0,111,126
2025-06-28,419400.0,419900.0,307200.0,132,198
2025-06-29,419200.0,419300.0,419100.0,128,222
2025-06-30,418500.0,418700.0,417700.0,103,142
2025-07-01,401149.45,417500.0,308200.0,83,91
2025-07-02,417100.0,417200.0,417000.0,138,179
2025-07-03,416900.0,417000.0,416800.0,126,158
2025-07-04,416200.0,416300.0,416200.0,126,167
2025-07-05,416000.0,416100.0,415800.0,126,157
2025-07-06,414800.0,415600.0,414600.0,147,234
2025-07-07,414500.0,414600.0,414400.0,118,141
2025-07-08,414200.0,414300.0,321600.0,127,220
2025-07-09,414000.0,414000.0,414000.0,103,134
2025-07-10,411400.0,411600.0,322200.0,100,120
2025-07-11,408700.0,409000.0,408400.0,106,113
2025-07-12,408100.0,408100.0,408100.0,118,177
2025-07-13,408000.0,408000.0,401900.0,143,167
2025-07-14,399200.0,399300.0,399050.0,118,136
2025-07-15,397600.0,397800.0,397450.0,112,157
2025-07-16,389900.0,389900.0,389900.0,96,113
2025-07-17,386900.0,386900.0,386800.0,105,118
2025-07-18,386700.0,386800.0,330100.0,106,120
2025-07-19,382900.0,386500.0,333200.0,125,152
2025-07-20,373100.0,380900.0,372800.0,127,144
2025-07-21,372400.0,372700.0,372000.0,95,168
2025-07-22,371700.0,371800.0,371000.0,128,141
2025-07-23,370100.0,370300.0,370100.0,118,171
2025-07-24,367600.0,370000.0,367200.0,113,160
2025-07-25,366100.0,366400.0,365700.0,111,159
2025-07-26,365000.0,365300.0,364700.0,111,125
2025-07-27,363800.0,364000.0,333300.0,150,183
2025-07-28,353300.0,353300.0,353200.0,104,137
