date,average,highest,lowest,order_count,volume
2025-05-20,2636000.0,2786000.0,2186000.0,4,4
2025-05-21,2486000.0,2782000.0,2190000.0,2,2
2025-05-22,2780000.0,2780000.0,2780000.0,2,3
2025-05-23,3079000.0,3400000.0,2930000.0,8,127
2025-05-24,2595666.67,3399000.0,2194000.0,3,3
2025-05-25,3248750.0,3399000.0,2194000.0,8,16
2025-05-27,3400000.0,3400000.0,3400000.0,2,2
2025-05-28,3200000.0,3200000.0,3200000.0,1,1
2025-05-29,3396181.82,3397000.0,3396000.0,2,11
2025-05-30,3396500.0,3397000.0,3396000.0,2,2
2025-05-31,3358636.36,3395000.0,2194000.0,6,33
2025-06-02,3292000.0,3389000.0,3195000.0,2,2
2025-06-03,3387000.0,3387000.0,3387000.0,3,3
2025-06-04,3382500.0,3384000.0,3381000.0,2,2
2025-06-05,2786750.0,3377000.0,2196500.0,4,4
2025-06-08,2630625.0,3353000.0,2197000.0,7,8
2025-06-10,3058750.0,3346000.0,2197000.0,4,4
2025-06-11,3343000.0,3343000.0,3343000.0,3,3
2025-06-12,2770500.0,3340000.0,2201000.0,2,2
2025-06-14,2444428.57,3336000.0,2201000.0,4,14
2025-06-16,2879100.0,3330500.0,2201000.0,10,10
2025-06-17,2763500.0,3326000.0,2201000.0,2,2
2025-06-18,2361142.86,3316000.0,2202000.0,2,7
2025-06-19,3315000.0,3315000.0,3315000.0,1,1
2025-06-21,2757500.0,3310000.0,2205000.0,2,2
2025-06-22,3171875.0,3310000.0,2205000.0,5,8
2025-06-25,3299500.0,3300000.0,3299000.0,2,2
2025-06-27,3291000.0,3291000.0,3291000.0,1,1
2025-06-28,3259000.0,3259000.0,3259000.0,1,1
2025-06-29,3259461.54,3260000.0,3259000.0,4,13
2025-06-30,2214666.67,2215000.0,2214000.0,2,3
2025-07-01,3253000.0,3253000.0,3253000.0,1,1
2025-07-02,3252000.0,3252000.0,3252000.0,1,1
2025-07-04,3208000.0,3210000.0,3206000.0,2,2
2025-07-05,3201000.0,3202000.0,3200000.0,2,2
2025-07-06,2552000.0,3195000.0,2230500.0,5,6
2025-07-07,2488100.0,3189000.0,2188000.0,4,10
2025-07-08,3022833.33,3177000.0,2247000.0,4,6
2025-07-09,3173000.0,3173000.0,3173000.0,1,1
2025-07-10,3167500.0,3168000.0,3167000.0,2,2
2025-07-11,2257000.0,2257000.0,2257000.0,1,1
2025-07-12,2849333.33,3145000.0,2258000.0,3,3
2025-07-13,3137000.0,3137000.0,3137000.0,1,1
2025-07-15,2798000.0,3064000.0,2266000.0,3,3
2025-07-16,2268000.0,2268000.0,2268000.0,2,20
2025-07-17,3110000.0,3110000.0,3110000.0,2,2
2025-07-18,3108000.0,3108000.0,3108000.0,1,1
2025-07-19,3100000.0,3100000.0,3100000.0,1,1
2025-07-20,3096500.0,3097000.0,3096000.0,2,2
2025-07-22,2858285.71,3092000.0,2274000.0,3,7
2025-07-23,3089400.0,3090000.0,3089000.0,3,5
2025-07-24,3080000.0,3080000.0,3080000.0,2,3
2025-07-25,2681500.0,3080000.0,2283000.0,2,2
2025-07-26,2550000.0,3080000.0,2285000.0,2,3
2025-07-27,3076000.0,3076000.0,3076000.0,1,1
2025-07-28,2288000.0,2288000.0,2288000.0,1,1
2025-07-30,3073000.0,3073000.0,3073000.0,1,1
2025-07-31,2907190.48,3071000.0,2899000.0,4,21
2025-08-02,3071000.0,3071000.0,3071000.0,1,1
2025-08-03,2294285.71,2295000.0,2294000.0,2,21
2025-08-04,3066000.0,3067000.0,3065000.0,2,2
2025-08-05,3062000.0,3062000.0,3062000.0,1,1
2025-08-06,3056000.0,3056000.0,3056000.0,1,1
2025-08-07,2675500.0,3057000.0,2294000.0,2,2
2025-08-08,2928666.67,3055000.0,2295000.0,4,6
2025-08-09,2674000.0,3054000.0,2294000.0,2,2
2025-08-10,2863500.0,3054000.0,2294000.0,4,4
2025-08-11,2294000.0,2294000.0,2294000.0,1,1
2025-08-14,3040000.0,3040000.0,3040000.0,1,1
2025-08-15,3034000.0,3034000.0,3034000.0,1,1
2025-08-16,3030000.0,3030000.0,3030000.0,1,1
2025-08-17,2662000.0,3030000.0,2294000.0,2,2
2025-08-18,3022000.0,3022000.0,3022000.0,1,1
2025-08-19,2657500.0,3020000.0,2295000.0,2,2
2025-08-20,3015500.0,3017000.0,3014000.0,2,2
2025-08-22,3009000.0,3009000.0,3009000.0,2,2
2025-08-23,3008000.0,3008000.0,3008000.0,2,2
2025-08-24,2998000.0,2998000.0,2998000.0,2,2
2025-08-25,2298000.0,2298000.0,2298000.0,1,1
2025-08-26,2987000.0,2987000.0,2987000.0,1,1
2025-08-28,2980000.0,2980000.0,2980000.0,1,1
2025-08-29,2806500.0,2976000.0,2298000.0,2,4
2025-08-30,2805500.0,2975000.0,2298000.0,3,4
2025-08-31,2971000.0,2971000.0,2971000.0,1,1
2025-09-01,2968000.0,2968000.0,2968000.0,1,1
2025-09-02,2968000.0,2968000.0,2968000.0,1,1
2025-09-03,2305000.0,2305000.0,2305000.0,1,1
2025-09-04,2738333.33,2955500.0,2304000.0,3,3
2025-09-05,2304000.0,2304000.0,2304000.0,2,2
2025-09-06,2643000.0,2643000.0,2643000.0,1,1
2025-09-07,2488000.0,2644000.0,2270000.0,7,33
2025-09-08,2946000.0,2946000.0,2946000.0,1,1
2025-09-09,2940444.44,2942000.0,2940000.0,3,9
2025-09-11,1933016.67,2899500.0,50.0,3,3
2025-09-12,50.0,50.0,50.0,1,1
2025-09-13,1472025.01,2944000.0,50.01,2,2
2025-09-15,2938000.0,2938000.0,2938000.0,1,1
2025-09-16,2938000.0,2938000.0,2938000.0,1,1
2025-09-19,2934000.0,2934000.0,2934000.0,3,3
2025-09-20,2865833.81,2935000.0,25020.0,7,42
2025-09-21,1481760.0,2938500.0,25020.0,3,4
2025-09-22,2938000.0,2938000.0,2938000.0,2,2
2025-09-24,2936000.0,2936000.0,2936000.0,1,1
2025-09-25,2936000.0,2936000.0,2936000.0,1,1
2025-09-28,1480035.0,2935000.0,25070.0,4,6
2025-09-30,25060.0,25060.0,25060.0,1,1
2025-10-01,2931000.0,2931000.0,2931000.0,1,1
2025-10-03,1960666.67,2926000.0,30000.0,3,3
2025-10-05,2920000.0,2920000.0,2920000.0,1,1
2025-10-07,1618650.0,2919000.0,318300.0,2,2
2025-10-08,2310300.0,2914000.0,500200.0,4,4
2025-10-09,2910000.0,2910000.0,2910000.0,2,2
2025-10-10,2908125.0,2909000.0,2908000.0,8,8
2025-10-11,600700.0,600700.0,600700.0,5,102
2025-10-13,1755300.0,2909000.0,601600.0,3,4
