date,average,highest,lowest,order_count,volume
2025-05-20,139166666.67,139500000.0,139000000.0,2,3
2025-05-25,169277777.78,250000000.0,125000000.0,6,18
2025-07-02,58610000.0,58610000.0,58610000.0,1,1
2025-07-03,48620000.0,48620000.0,48620000.0,1,3
2025-07-10,300800000.0,300800000.0,300800000.0,1,3
2025-07-15,45100000.0,45100000.0,45100000.0,1,2
2025-07-20,45210000.0,45210000.0,45210000.0,1,1
2025-07-29,238700000.0,238700000.0,238700000.0,1,3
2025-07-30,45133333.33,45200000.0,45000000.0,2,3
2025-08-03,209633333.33,209800000.0,209300000.0,2,3
2025-08-06,209500000.0,209500000.0,209500000.0,1,1
2025-08-23,4860000.8,24300000.0,1.0,2,15
2025-09-13,240600000.0,240600000.0,240600000.0,1,3
2025-09-14,240200000.0,240200000.0,240200000.0,1,3
2025-09-19,176962500.0,230600000.0,16050000.0,3,4
2025-10-25,160000000.0,160000000.0,160000000.0,1,3
2025-10-29,159566666.67,159900000.0,159400000.0,3,3
