date,average,highest,lowest,order_count,volume
2025-05-25,2993000000.0,2993000000.0,2993000000.0,1,1
2025-05-26,1957000000.0,1957000000.0,1957000000.0,1,1
2025-05-28,3149500000.0,3299000000.0,3000000000.0,2,2
2025-06-03,3300000000.0,3300000000.0,3300000000.0,1,1
2025-06-04,3432000000.0,3432000000.0,3432000000.0,1,1
2025-06-07,3432500000.0,3433000000.0,3432000000.0,2,2
2025-06-13,3456000000.0,3456000000.0,3456000000.0,1,2
2025-06-14,2093000000.0,2093000000.0,2093000000.0,1,1
2025-06-15,4276000000.0,4714000000.0,3400000000.0,3,3
2025-06-18,3200000000.0,3200000000.0,3200000000.0,1,1
2025-06-21,4715000000.0,4715000000.0,4715000000.0,1,1
2025-06-24,4716500000.0,4717500000.0,4715500000.0,4,4
2025-07-26,3500000000.0,3500000000.0,3500000000.0,1,1
2025-08-06,3205500000.0,3206000000.0,3205000000.0,2,2
2025-08-09,3000000000.0,3000000000.0,3000000000.0,1,1
2025-08-10,3103500000.0,3207000000.0,3000000000.0,2,2
2025-08-11,3880000000.0,3880000000.0,3880000000.0,1,1
2025-08-15,4751833333.33,5583000000.0,3883000000.0,6,6
2025-08-31,5390000000.0,5390000000.0,5390000000.0,1,1
2025-09-01,5392000000.0,5392000000.0,5392000000.0,1,1
2025-09-09,5125000000.0,5250000000.0,5000000000.0,2,2
2025-09-18,4642000000.0,5284000000.0,4000000000.0,2,2
2025-09-19,3033000000.0,3033000000.0,3033000000.0,1,1
2025-09-21,4799000000.0,4799000000.0,4799000000.0,1,1
2025-09-22,5042500000.0,5285000000.0,4800000000.0,2,2
2025-09-24,5290000000.0,5290000000.0,5290000000.0,2,2
2025-09-25,4860333333.33,5290500000.0,4000000000.0,3,3
2025-09-26,5525250000.0,5830000000.0,5398000000.0,3,4
2025-09-27,4054000000.0,4054000000.0,4054000000.0,1,1
2025-10-02,4064000000.0,4064000000.0,4064000000.0,1,1
2025-10-04,4063000000.0,4063000000.0,4063000000.0,1,1
2025-10-07,3078000000.0,3078000000.0,3078000000.0,1,1
2025-10-09,3083000000.0,3083000000.0,3083000000.0,1,1
2025-10-11,3443000000.0,3800000000.0,3086000000.0,2,2
2025-10-12,3085000000.0,3085000000.0,3085000000.0,1,1
2025-10-13,3038000000.0,3038000000.0,3038000000.0,1,1
2025-10-15,2397000000.0,2397000000.0,2397000000.0,1,1
2025-10-17,2356500000.0,3199000000.0,1514000000.0,2,2
2025-10-20,3180000000.0,3180000000.0,3180000000.0,1,1
2025-10-23,2897500000.0,2898000000.0,2897000000.0,2,2
2025-10-24,2897000000.0,2898500000.0,2896000000.0,4,4
2025-10-27,2990000000.0,2990000000.0,2990000000.0,2,2
2025-10-30,2990000000.0,2990000000.0,2990000000.0,1,1
2025-11-01,2512000000.0,2990000000.0,2034000000.0,2,2
2025-11-08,2775500000.0,2851000000.0,2700000000.0,2,2
2025-11-10,3004500000.0,3018000000.0,2991000000.0,2,2
2025-11-12,3793500000.0,3794000000.0,3793000000.0,2,2
