date,average,highest,lowest,order_count,volume
2025-05-26,50000000.0,50000000.0,50000000.0,1,1
2025-05-31,727300.0,727300.0,727300.0,1,1
2025-06-05,727600.0,727600.0,727600.0,1,1
2025-06-07,65000000.0,65000000.0,65000000.0,1,1
2025-06-20,60000000.0,60000000.0,60000000.0,1,1
2025-07-24,736400.0,736400.0,736400.0,1,1
2025-07-25,736300.0,736300.0,736300.0,1,1
2025-07-26,736500.0,736500.0,736500.0,1,1
2025-07-30,750100.0,750100.0,750100.0,1,1
2025-08-04,25000000.0,25000000.0,25000000.0,1,1
2025-08-29,751100.0,751100.0,751100.0,1,1
2025-09-02,12000000.0,12000000.0,12000000.0,1,1
2025-09-11,5164166.67,13990000.0,751250.0,3,3
2025-09-13,13960000.0,13960000.0,13960000.0,1,1
2025-09-14,9450000.0,9450000.0,9450000.0,1,1
2025-09-15,9500000.0,9500000.0,9500000.0,1,1
2025-09-18,751500.0,751500.0,751500.0,1,1
2025-09-20,8499000.0,8499000.0,8499000.0,1,1
2025-10-07,754600.0,754600.0,754600.0,1,1
2025-10-20,8375000.0,8375000.0,8375000.0,1,1
2025-10-30,6753500.0,6754000.0,6753000.0,2,2
2025-10-31,6748000.0,6748000.0,6748000.0,1,1
2025-11-02,6745000.0,6745000.0,6745000.0,1,1
2025-11-05,6699000.0,6699000.0,6699000.0,1,1
2025-11-08,6691000.0,6691000.0,6691000.0,1,1
2025-11-10,761100.0,761100.0,761100.0,1,1
