date,average,highest,lowest,order_count,volume
2025-05-21,112900.0,112900.0,112900.0,1,1
2025-05-23,4059500.0,7999000.0,120000.0,2,2
2025-05-26,7998000.0,7998000.0,7998000.0,2,2
2025-05-27,7995000.0,7995000.0,7995000.0,1,1
2025-05-28,123500.0,123500.0,123500.0,1,1
2025-05-31,123500.0,123500.0,123500.0,1,1
2025-06-02,5000000.0,5000000.0,5000000.0,1,1
2025-06-05,123400.0,123400.0,123400.0,3,3
2025-06-07,123400.0,123400.0,123400.0,1,1
2025-06-09,6875000.0,6875000.0,6875000.0,1,1
2025-06-10,130000.0,130000.0,130000.0,1,1
2025-06-12,3460500.0,6791000.0,130000.0,2,2
2025-06-14,132000.0,132000.0,132000.0,1,1
2025-06-15,6000000.0,6000000.0,6000000.0,1,1
2025-06-16,6000000.0,6000000.0,6000000.0,1,1
2025-06-17,5800000.0,5800000.0,5800000.0,1,1
2025-06-18,132000.0,132000.0,132000.0,1,1
2025-06-20,5800000.0,5800000.0,5800000.0,1,1
2025-06-22,5550000.0,5550000.0,5550000.0,1,1
2025-06-25,135000.0,135000.0,135000.0,1,1
2025-06-26,313717.24,5549000.0,131000.0,9,29
2025-07-02,5937258.06,6900000.0,5547000.0,11,31
2025-07-03,106500.0,106500.0,106500.0,1,1
2025-07-04,7000000.0,7000000.0,7000000.0,1,1
2025-07-11,106600.0,106600.0,106600.0,1,1
2025-07-19,4975000.0,4975000.0,4975000.0,1,1
2025-07-25,107350.0,107600.0,107100.0,2,2
2025-07-29,107500.0,107500.0,107500.0,1,1
2025-08-07,2466333.33,2500000.0,2449500.0,3,3
2025-08-09,107400.0,107400.0,107400.0,1,1
2025-08-10,3499000.0,3499000.0,3499000.0,1,1
2025-08-15,107900.0,107900.0,107900.0,1,1
2025-08-16,3494000.0,3494000.0,3494000.0,1,1
2025-08-17,1688000.0,1688000.0,1688000.0,1,1
2025-08-24,3495000.0,3495000.0,3495000.0,1,1
2025-08-25,108200.0,108200.0,108200.0,1,1
2025-08-29,3474000.0,3474000.0,3474000.0,1,1
2025-08-30,2201000.0,2201000.0,2201000.0,1,1
2025-09-02,2735000.0,3470000.0,2000000.0,2,2
2025-09-07,349100.0,349100.0,349100.0,1,1
2025-09-11,2375000.0,4500000.0,250000.0,2,2
2025-09-13,2969600.0,4848000.0,2500000.0,2,5
2025-09-15,2000000.0,2000000.0,2000000.0,1,1
2025-09-16,2557400.0,4850000.0,264800.0,2,2
2025-09-18,264900.0,264900.0,264900.0,1,1
2025-09-21,3700000.0,3700000.0,3700000.0,1,1
2025-09-22,266500.0,267000.0,266000.0,2,2
2025-09-24,267000.0,267000.0,267000.0,1,1
2025-09-25,3700000.0,3700000.0,3700000.0,1,1
2025-09-27,3500000.0,3500000.0,3500000.0,1,1
2025-09-28,3500000.0,3500000.0,3500000.0,1,1
2025-10-05,270000.0,270000.0,270000.0,2,2
2025-10-07,270000.0,270000.0,270000.0,1,1
2025-10-08,270000.0,270000.0,270000.0,1,2
2025-10-09,3495000.0,3495000.0,3495000.0,1,1
2025-10-10,3495000.0,3495000.0,3495000.0,1,1
2025-10-11,3495000.0,3495000.0,3495000.0,1,1
2025-10-14,270100.0,270100.0,270100.0,1,1
2025-10-16,885000.0,1500000.0,270000.0,2,2
2025-10-19,2995000.0,2995000.0,2995000.0,1,1
2025-10-20,2995000.0,2995000.0,2995000.0,1,1
2025-10-23,270300.0,270300.0,270300.0,1,1
2025-10-24,3496125.0,3500000.0,3494000.0,3,8
2025-10-27,300100.0,300100.0,300100.0,1,1
2025-10-29,3740000.0,3740000.0,3740000.0,2,2
2025-10-30,300100.0,300100.0,300100.0,1,1
2025-10-31,3749000.0,3749000.0,3749000.0,1,1
2025-11-05,2950000.0,2950000.0,2950000.0,2,3
2025-11-06,1672650.0,2945000.0,400300.0,2,2
2025-11-08,2950000.0,2950000.0,2950000.0,1,1
2025-11-09,400600.0,400600.0,400600.0,1,1
2025-11-11,3000000.0,3000000.0,3000000.0,1,1
