date,average,highest,lowest,order_count,volume
2025-05-20,38900000.0,38900000.0,38900000.0,1,1
2025-05-21,38850000.0,38900000.0,38800000.0,4,4
2025-05-22,38765000.0,39020000.0,38000000.0,4,4
2025-05-24,39910000.0,39910000.0,39910000.0,1,1
2025-05-26,39000000.0,39000000.0,39000000.0,1,1
2025-05-27,39420000.0,39500000.0,39390000.0,3,4
2025-05-28,27377500.0,39705000.0,15050000.0,3,4
2025-05-29,37590666.67,39900000.0,32980000.0,4,15
2025-05-31,39600000.0,39600000.0,39600000.0,1,1
2025-06-01,36651304.35,39910000.0,15030000.0,5,23
2025-06-02,39800000.0,39800000.0,39800000.0,1,3
2025-06-03,39907272.73,39910000.0,39900000.0,4,11
2025-06-04,39760000.0,39910000.0,39010000.0,3,6
2025-06-05,39900000.0,39900000.0,39900000.0,1,4
2025-06-07,30336666.67,38000000.0,15010000.0,2,3
2025-06-10,39790000.0,39790000.0,39790000.0,1,1
2025-06-11,30060000.0,30060000.0,30060000.0,1,5
2025-06-14,32000000.0,32000000.0,32000000.0,2,2
2025-06-16,36152500.0,39790000.0,30090000.0,2,8
2025-06-18,15080000.0,15080000.0,15080000.0,1,1
2025-06-19,39780000.0,39780000.0,39780000.0,1,2
2025-06-22,30070000.0,30070000.0,30070000.0,1,1
2025-06-25,37830000.0,39760000.0,35900000.0,2,2
2025-06-26,39002000.0,39780000.0,35900000.0,4,5
2025-06-27,39680000.0,39780000.0,39580000.0,2,2
2025-06-29,35000000.0,35000000.0,35000000.0,2,3
2025-07-01,37490000.0,37490000.0,37490000.0,2,2
2025-07-02,30080000.0,30080000.0,30080000.0,1,1
2025-07-05,21540000.0,28000000.0,15080000.0,2,2
2025-07-06,35262000.0,37080000.0,28000000.0,3,5
2025-07-11,30090000.0,30090000.0,30090000.0,1,1
2025-07-12,28000000.0,28000000.0,28000000.0,3,3
2025-07-13,30090000.0,30090000.0,30090000.0,1,1
2025-07-14,30090000.0,30090000.0,30090000.0,1,1
2025-07-15,37420000.0,37420000.0,37420000.0,1,1
2025-07-16,34270000.0,37405000.0,28000000.0,3,3
2025-07-17,36521000.0,37490000.0,28000000.0,10,10
2025-07-18,18310000.0,28000000.0,15080000.0,2,4
2025-07-21,30080000.0,30080000.0,30080000.0,1,2
2025-07-22,15080000.0,15080000.0,15080000.0,1,1
2025-07-23,37490000.0,37490000.0,37490000.0,1,1
2025-07-24,37490000.0,37490000.0,37490000.0,2,2
2025-07-27,37490000.0,37490000.0,37490000.0,1,1
2025-08-03,40266250.0,54960000.0,37500000.0,6,8
2025-08-11,26300000.0,37500000.0,15070000.0,4,6
2025-08-12,37486666.67,37490000.0,37480000.0,3,3
2025-08-13,30080000.0,30080000.0,30080000.0,1,1
2025-08-23,12110000.0,12110000.0,12110000.0,1,1
2025-08-25,32000000.0,32000000.0,32000000.0,1,2
2025-08-26,33000000.0,33000000.0,33000000.0,1,9
2025-08-29,31000000.0,31000000.0,31000000.0,2,4
2025-08-30,37400000.0,37400000.0,37400000.0,1,1
2025-08-31,37440000.0,37480000.0,37400000.0,2,2
2025-09-01,37480000.0,37480000.0,37480000.0,1,1
2025-09-02,37480000.0,37480000.0,37480000.0,1,1
2025-09-03,37490000.0,37490000.0,37490000.0,1,3
2025-09-04,37500000.0,37500000.0,37500000.0,1,1
2025-09-06,35480000.0,35480000.0,35480000.0,1,1
2025-09-07,35480000.0,35480000.0,35480000.0,1,1
2025-09-09,45170000.0,45170000.0,45170000.0,1,1
2025-09-10,45170000.0,45170000.0,45170000.0,1,1
2025-09-11,45170000.0,45170000.0,45170000.0,1,1
2025-09-12,37490000.0,37490000.0,37490000.0,1,2
2025-09-13,37500000.0,37500000.0,37500000.0,1,3
2025-09-17,37490000.0,37490000.0,37490000.0,2,5
2025-09-18,35137272.73,37495000.0,12130000.0,5,11
2025-09-22,39000000.0,39000000.0,39000000.0,1,1
2025-09-23,12510000.0,12510000.0,12510000.0,1,1
2025-09-30,24635000.0,37140000.0,12130000.0,2,2
2025-10-04,36000000.0,36000000.0,36000000.0,1,1
2025-10-12,36980000.0,36980000.0,36980000.0,1,3
2025-10-13,36990000.0,36990000.0,36990000.0,2,2
2025-10-14,37000000.0,37000000.0,37000000.0,1,1
2025-10-15,37490000.0,37490000.0,37490000.0,1,1
2025-10-17,37490000.0,37490000.0,37490000.0,1,1
2025-10-19,30000000.0,30000000.0,30000000.0,1,1
2025-10-23,33000000.0,33000000.0,33000000.0,1,1
2025-10-25,37500000.0,37500000.0,37500000.0,3,6
2025-10-26,36333333.33,37500000.0,34000000.0,3,3
2025-10-29,37433333.33,37500000.0,37400000.0,3,3
2025-10-30,39166666.67,40000000.0,37500000.0,4,6
2025-10-31,45150000.0,45150000.0,45150000.0,1,3
2025-11-05,41666666.67,45000000.0,40000000.0,2,3
2025-11-08,38760000.0,40020000.0,35000000.0,4,4
2025-11-09,35000000.0,35000000.0,35000000.0,1,1
2025-11-12,37495714.29,37500000.0,37490000.0,5,7
