date,average,highest,lowest,order_count,volume
2025-05-20,4489000.0,4489000.0,4489000.0,11,137
2025-05-21,4406245.9,4487000.0,4040000.0,21,61
2025-05-22,4354710.53,4483000.0,4040000.0,14,38
2025-05-23,4333285.71,4479000.0,4041000.0,11,21
2025-05-24,4320056.18,4443000.0,4045000.0,26,89
2025-05-25,4149045.45,4442000.0,4048000.0,20,66
2025-05-26,4086097.56,4440000.0,4048000.0,13,41
2025-05-27,4418000.0,4419000.0,4417000.0,22,171
2025-05-28,4358392.16,4417000.0,4044500.0,19,51
2025-05-29,4288819.28,4417000.0,4050000.0,33,83
2025-05-30,4051000.0,4413000.0,4051000.0,22,118
2025-05-31,4324191.78,4410000.0,4039000.0,19,73
2025-06-01,4510698.41,6997000.0,4401000.0,20,63
2025-06-02,4318044.44,4398000.0,4037000.0,19,45
2025-06-03,4322214.29,4399000.0,3600000.0,17,28
2025-06-04,4364380.95,4392000.0,4037000.0,15,63
2025-06-05,4037000.0,4392000.0,3996000.0,19,172
2025-06-06,4161030.77,4349000.0,3600000.0,20,65
2025-06-07,3961130.95,4248000.0,3606000.0,24,84
2025-06-08,4250000.0,4390000.0,3609000.0,47,173
2025-06-09,3751000.0,4391000.0,2978000.0,31,118
2025-06-10,4259784.31,4391000.0,3661000.0,17,51
2025-06-11,4195971.43,4387000.0,3664000.0,17,35
2025-06-12,4175347.83,4379000.0,3664000.0,16,46
2025-06-13,4352333.33,4372000.0,4199000.0,18,48
2025-06-14,4100465.52,4192500.0,3664000.0,16,58
2025-06-15,4171718.75,4188000.0,3664000.0,15,32
2025-06-16,4091761.9,4186000.0,3664000.0,20,42
2025-06-17,3918603.77,4148000.0,3663000.0,13,53
2025-06-18,4186000.0,4200000.0,4147000.0,26,131
2025-06-19,4148420.29,4381000.0,3664000.0,25,69
2025-06-20,4206370.37,4368000.0,3664000.0,24,54
2025-06-21,4148971.43,4360000.0,3666000.0,24,70
2025-06-22,4337000.0,4339000.0,4334000.0,26,122
2025-06-23,4177236.11,4333000.0,3803000.0,21,72
2025-06-24,4291873.68,4327000.0,3803000.0,19,95
2025-06-25,4228207.55,4327000.0,3803500.0,14,53
2025-06-26,4030472.97,4323000.0,3805000.0,26,74
2025-06-27,3807000.0,4249000.0,3806000.0,24,158
2025-06-28,4241909.09,4320000.0,3805000.0,25,66
2025-06-29,4219900.0,4314000.0,3805000.0,20,60
2025-06-30,4103943.4,4285000.0,3805000.0,19,53
2025-07-01,3947482.14,4270000.0,3800000.0,12,56
2025-07-02,3897000.0,3898000.0,3897000.0,17,144
2025-07-03,3889183.91,3894000.0,3806000.0,26,87
2025-07-04,3959068.97,4417000.0,3892000.0,22,87
2025-07-05,3931040.4,4417000.0,3893000.0,18,99
