date,average,highest,lowest,order_count,volume
2025-05-22,19662000.0,42980000.0,8003000.0,3,3
2025-05-23,8002000.0,8002000.0,8002000.0,1,1
2025-05-26,29850000.0,29850000.0,29850000.0,1,1
2025-05-27,30000000.0,30000000.0,30000000.0,1,1
2025-06-05,9000000.0,9000000.0,9000000.0,1,1
2025-06-06,27870000.0,27870000.0,27870000.0,1,1
2025-06-07,8100000.0,8100000.0,8100000.0,1,1
2025-06-08,8100000.0,8100000.0,8100000.0,1,1
2025-06-09,16550000.0,25000000.0,8100000.0,2,2
2025-06-10,8100000.0,8100000.0,8100000.0,1,1
2025-06-11,25300000.0,25600000.0,25000000.0,2,2
2025-06-12,25670000.0,25670000.0,25670000.0,1,1
2025-06-29,8800000.0,8800000.0,8800000.0,1,1
2025-07-03,16970000.0,16970000.0,16970000.0,1,1
2025-07-04,16980000.0,16980000.0,16980000.0,1,1
2025-07-08,8820000.0,8820000.0,8820000.0,1,1
2025-07-14,13900000.0,13900000.0,13900000.0,1,1
2025-07-19,8856666.67,8880000.0,8810000.0,2,3
2025-07-20,8102000.0,8102000.0,8102000.0,1,1
2025-07-23,12800000.0,12800000.0,12800000.0,1,1
2025-08-05,12870000.0,12870000.0,12870000.0,1,1
2025-08-09,8102000.0,8102000.0,8102000.0,1,1
2025-08-10,8102000.0,8102000.0,8102000.0,1,1
2025-08-11,12000000.0,12000000.0,12000000.0,1,1
2025-08-12,14452500.0,15970000.0,12935000.0,4,4
2025-08-13,15945000.0,15950000.0,15940000.0,2,2
2025-08-16,16308000.0,17800000.0,15940000.0,5,5
2025-08-19,18250000.0,18250000.0,18250000.0,1,1
2025-08-28,18280000.0,18280000.0,18280000.0,1,1
2025-09-02,17940000.0,17940000.0,17940000.0,1,1
2025-09-10,8103000.0,8103000.0,8103000.0,1,1
2025-09-15,12000000.0,12000000.0,12000000.0,1,1
2025-09-24,8116000.0,8116000.0,8116000.0,1,1
2025-09-28,8115000.0,8115000.0,8115000.0,1,1
2025-09-30,11895000.0,11900000.0,11890000.0,2,2
2025-10-01,16800000.0,16800000.0,16800000.0,1,1
2025-10-06,8108500.0,8115000.0,8102000.0,2,2
2025-10-07,16720000.0,16720000.0,16720000.0,1,1
2025-10-12,15000000.0,15000000.0,15000000.0,1,1
2025-10-22,14710000.0,14710000.0,14710000.0,1,1
2025-10-24,14960000.0,14960000.0,14960000.0,1,1
2025-10-27,8103000.0,8103000.0,8103000.0,1,1
2025-11-03,14910000.0,14910000.0,14910000.0,1,1
2025-11-05,8105000.0,8105000.0,8105000.0,1,1
2025-11-06,8105000.0,8105000.0,8105000.0,1,1
2025-11-08,8104000.0,8104000.0,8104000.0,1,1
2025-11-10,8104000.0,8104000.0,8104000.0,1,9
