date,average,highest,lowest,order_count,volume
2025-05-22,20.05,50.0,10.06,2,4
2025-05-24,499100.0,499100.0,499100.0,1,1
2025-05-26,10.06,10.06,10.06,1,1
2025-05-31,10.06,10.06,10.06,1,1
2025-06-04,498700.0,498700.0,498700.0,1,1
2025-06-06,298950.0,497900.0,100000.0,2,2
2025-06-07,497900.0,497900.0,497900.0,1,1
2025-06-08,497900.0,497900.0,497900.0,1,1
2025-06-10,248805.03,497600.0,10.06,2,2
2025-06-15,200000.0,200000.0,200000.0,1,2
2025-06-16,100005.02,200000.0,10.03,2,2
2025-06-20,497200.0,497200.0,497200.0,1,1
2025-06-22,497250.0,497300.0,497200.0,2,2
2025-06-26,10.03,10.03,10.03,1,1
2025-06-28,10.03,10.03,10.03,1,1
2025-06-29,10.03,10.03,10.03,1,2
2025-06-30,10.03,10.03,10.03,1,1
2025-07-03,248555.02,497100.0,10.03,2,2
2025-07-06,10.03,10.03,10.03,1,1
2025-07-15,479700.0,479700.0,479700.0,1,1
2025-07-18,479700.0,479700.0,479700.0,1,1
2025-07-20,479700.0,479700.0,479700.0,1,1
2025-07-27,474000.0,474000.0,474000.0,1,1
2025-07-30,475000.0,475000.0,475000.0,1,1
2025-08-07,479300.0,479300.0,479300.0,1,1
2025-08-09,400000.0,400000.0,400000.0,1,1
2025-08-12,479000.0,479000.0,479000.0,1,1
2025-08-13,479100.0,479100.0,479100.0,2,2
2025-08-17,474900.0,474900.0,474900.0,1,1
2025-08-23,300000.0,300000.0,300000.0,1,1
2025-08-24,475000.0,475000.0,475000.0,1,1
2025-09-11,1.01,1.01,1.01,1,1
2025-09-13,266600.33,399900.0,1.0,2,3
2025-09-18,1.0,1.0,1.0,1,3
2025-09-21,324950.0,399900.0,250000.0,2,2
2025-09-23,399900.0,399900.0,399900.0,1,2
2025-10-05,1.0,1.0,1.0,1,1
2025-10-16,1.04,1.04,1.04,1,1
2025-10-18,1.05,1.05,1.05,1,3
2025-10-22,1.05,1.05,1.05,1,1
2025-10-24,399600.0,399600.0,399600.0,1,1
2025-10-25,389996.97,399900.0,200000.0,7,33
2025-10-26,250000.0,250000.0,250000.0,1,2
2025-10-29,2.0,2.0,2.0,1,2
2025-11-02,2.01,2.01,2.01,1,1
2025-11-03,2.01,2.01,2.01,1,1
2025-11-04,918501.02,1837000.0,2.03,2,2
2025-11-05,3.0,3.0,3.0,1,1
2025-11-06,3.0,3.0,3.0,1,1
2025-11-08,3.0,3.0,3.0,1,2
