date,average,highest,lowest,order_count,volume
2025-05-20,525.7,525.7,525.7,18,9500
2025-05-21,525.7,525.7,525.7,14,8196
2025-05-22,525.7,525.7,525.7,7,4797
2025-05-23,527.8,527.8,527.8,11,16900
2025-05-24,527.7,527.7,527.7,31,24202
2025-05-25,527.7,527.7,527.7,22,11067
2025-05-26,529.1,529.1,529.1,23,14991
2025-05-27,529.2,529.2,529.2,12,2591
2025-05-28,515.3,515.3,515.3,34,83017
2025-05-29,200.1,200.1,200.1,17,4368
2025-05-30,250.1,250.1,250.1,9,3650
2025-05-31,250.1,250.1,250.1,16,6999
2025-06-01,1015.0,1015.0,252.4,32,43429
2025-06-02,252.5,252.5,252.5,8,1900
2025-06-03,252.5,252.5,252.5,12,4035
2025-06-04,252.5,252.5,252.5,8,3937
2025-06-05,252.5,252.5,252.5,14,9364
2025-06-06,252.5,252.5,252.5,13,3180
2025-06-07,252.5,252.5,252.5,14,4200
2025-06-08,252.5,252.5,252.5,19,4348
2025-06-09,252.5,252.5,252.5,15,6333
2025-06-10,550.0,558.4,252.5,13,9543
2025-06-11,252.5,252.5,252.5,8,1626
2025-06-12,542.6,551.5,397.55,7,3001
2025-06-13,252.5,252.5,252.5,13,14417
2025-06-14,252.5,252.5,252.5,13,3134
2025-06-15,260.1,260.1,260.1,15,4840
2025-06-16,260.1,260.1,260.1,12,8000
2025-06-17,260.25,260.3,260.2,18,4898
2025-06-18,499.7,499.8,499.4,30,48265
2025-06-19,262.7,262.7,262.7,9,3600
2025-06-20,264.2,264.2,264.2,15,12200
2025-06-21,264.3,264.3,264.3,13,19503
2025-06-22,264.3,264.3,264.3,18,20260
2025-06-23,265.8,265.8,265.8,15,6932
2025-06-24,265.9,265.9,265.9,21,8023
2025-06-25,785.0,800.0,784.9,12,16832
2025-06-26,887.0,887.0,887.0,13,64400
2025-06-27,268.6,268.6,268.6,10,2739
2025-06-28,270.5,270.5,270.5,24,8190
2025-06-29,270.5,270.5,270.5,14,6145
2025-06-30,270.5,270.5,270.5,8,3471
2025-07-01,270.5,270.5,270.5,15,3505
2025-07-02,270.5,270.5,270.5,4,4653
2025-07-03,270.5,270.5,270.5,13,6350
2025-07-04,270.5,270.5,270.5,20,6222
2025-07-05,884.1,884.1,884.1,29,14574
2025-07-06,274.5,274.6,274.5,22,7695
2025-07-07,884.0,884.0,884.0,6,3048
2025-07-08,274.6,274.6,274.6,12,3712
2025-07-09,274.5,274.5,274.5,15,13054
2025-07-10,884.0,884.0,884.0,7,7392
2025-07-11,884.0,884.0,884.0,15,35657
2025-07-12,274.6,274.6,274.6,14,9550
2025-07-13,274.6,274.6,274.6,13,2772
2025-07-14,250.0,250.0,250.0,11,7987
2025-07-15,276.3,276.3,276.3,13,6431
2025-07-16,276.4,276.4,276.4,7,1750
2025-07-17,276.4,276.4,276.4,12,4738
2025-07-18,276.4,276.4,276.4,13,4307
2025-07-19,276.4,276.4,276.4,19,41288
2025-07-20,881.7,881.7,881.7,22,685927
2025-07-21,281.7,880.8,279.0,14,6208
2025-07-22,281.7,281.7,281.7,12,5150
2025-07-23,281.8,281.8,281.8,9,3486
2025-07-24,281.8,281.8,281.8,12,9300
2025-07-25,283.4,869.0,281.8,16,5450
2025-07-26,283.4,283.4,283.4,9,2683
2025-07-27,868.9,870.0,859.0,22,29427
2025-07-28,1012.0,1012.0,1012.0,8,2188
2025-07-29,1011.0,1011.0,1011.0,12,5200
2025-07-30,350.0,350.0,350.0,5,2600
2025-07-31,350.4,350.4,350.4,13,10350
2025-08-01,1006.0,1006.0,1006.0,17,15548
2025-08-02,400.3,400.3,400.3,12,5943
2025-08-03,999.4,999.5,600.0,13,10780
2025-08-04,600.1,600.9,600.1,12,5903
2025-08-05,600.9,600.9,600.9,5,10689
2025-08-06,604.6,604.6,604.6,14,3255
2025-08-07,604.7,604.7,604.7,9,2345
2025-08-08,604.7,604.7,604.7,5,3086
2025-08-09,606.3,606.3,606.3,9,19255
2025-08-10,607.6,607.6,607.6,13,2150
2025-08-11,607.7,607.7,607.7,16,13504
2025-08-12,610.3,610.3,610.3,5,8517
2025-08-13,610.4,610.4,610.4,14,5800
2025-08-14,987.0,987.0,987.0,12,92765
2025-08-15,610.3,610.3,610.3,8,3600
2025-08-16,610.3,610.3,610.3,9,5608
2025-08-17,300.0,300.0,300.0,10,6844
2025-08-18,300.0,300.0,300.0,10,3551
2025-08-19,306.5,306.5,306.5,6,2500
2025-08-20,400.0,400.0,400.0,7,2500
2025-08-21,400.1,400.1,400.1,13,4117
2025-08-22,400.4,400.4,400.4,8,6475
2025-08-23,403.8,403.8,403.8,10,5837
2025-08-24,405.3,407.1,403.8,13,3876
2025-08-25,409.0,409.0,408.9,6,3003
2025-08-26,411.0,411.0,411.0,15,35817
2025-08-27,411.1,411.1,411.1,5,1180
2025-08-28,411.3,413.5,411.1,11,4125
2025-08-29,413.5,413.5,413.5,10,3046
2025-08-30,419.7,419.7,419.7,11,5089
2025-08-31,419.7,419.7,419.7,13,6905
2025-09-01,419.7,419.7,419.7,4,1100
2025-09-02,421.1,421.1,421.1,11,8840
2025-09-03,421.3,421.3,421.3,11,7248
2025-09-04,421.8,928.7,421.7,13,3157
2025-09-05,930.0,930.0,930.0,12,41987
2025-09-06,424.4,424.4,424.4,9,14377
2025-09-07,931.9,932.0,425.0,8,3400
2025-09-08,931.0,931.0,931.0,10,13931
2025-09-09,425.3,425.3,425.1,18,1070053
2025-09-10,932.0,932.0,932.0,9,3310
2025-09-11,151.6,151.6,151.6,14,4518
2025-09-12,932.0,932.0,932.0,10,14300
2025-09-13,151.7,151.7,151.7,7,3888
2025-09-14,151.7,153.32,151.7,10,2300
2025-09-15,156.4,156.4,156.4,6,1700
2025-09-16,931.9,931.9,900.0,10,6230
2025-09-17,165.0,165.0,165.0,12,4712
2025-09-18,929.8,929.8,929.8,12,7800
2025-09-19,929.2,929.3,929.2,7,4412
2025-09-20,201.0,201.0,201.0,13,8100
2025-09-21,201.4,201.4,201.4,9,2130
2025-09-22,201.4,201.5,201.3,4,870
2025-09-23,201.6,201.6,201.6,6,1569
2025-09-24,205.0,205.0,205.0,10,7438
2025-09-25,207.1,207.1,207.1,8,3230
2025-09-26,905.9,905.9,905.9,12,5580
2025-09-27,207.2,207.2,207.2,14,2449
2025-09-28,499.0,499.0,499.0,13,24200
2025-09-29,207.2,207.2,207.2,10,8100
2025-09-30,899.5,899.5,899.5,12,13234
2025-10-01,209.3,209.3,209.3,5,1640
2025-10-02,209.3,209.3,209.3,11,11959
2025-10-03,209.3,209.3,209.3,7,2991
2025-10-04,209.4,209.4,209.3,12,5000
2025-10-05,209.4,209.4,209.4,6,4200
2025-10-06,899.5,899.5,899.5,285,1053439
2025-10-07,211.3,211.3,211.3,329,73444
2025-10-08,214.6,214.7,211.5,393,126798
2025-10-09,214.8,214.8,214.8,322,99807
2025-10-10,214.8,214.8,214.8,394,115658
2025-10-11,214.8,214.8,214.8,436,140665
2025-10-12,215.0,215.0,215.0,483,169532
2025-10-13,215.0,215.1,214.9,409,167227
2025-10-14,215.1,215.2,214.8,422,177215
2025-10-15,215.3,215.3,215.3,394,144269
2025-10-16,215.6,215.7,215.5,412,168268
2025-10-17,215.8,215.8,215.8,429,154579
2025-10-18,215.8,215.8,215.5,457,190128
2025-10-19,217.2,217.3,217.1,492,190558
2025-10-20,217.5,217.7,217.4,421,193790
2025-10-21,217.3,217.6,217.1,376,149378
2025-10-22,217.6,217.6,217.6,401,177958
2025-10-23,201.4,201.6,201.2,397,174364
2025-10-24,202.4,202.5,202.3,400,159257
2025-10-25,170.2,201.1,170.1,466,215695
2025-10-26,170.6,170.6,170.6,450,168920
2025-10-27,170.8,234.0,170.7,391,173894
2025-10-28,171.4,180.9,171.2,444,190542
2025-10-29,171.4,171.5,171.4,428,182081
2025-10-30,194.3,194.4,171.8,414,197823
2025-10-31,171.0,171.0,171.0,453,201057
2025-11-01,171.5,171.7,171.3,412,164753
2025-11-02,172.9,172.9,172.9,491,208591
2025-11-03,173.1,173.1,173.1,469,195606
2025-11-04,170.6,170.6,170.6,385,354834
2025-11-05,187.8,187.9,187.7,205,121155
2025-11-06,188.5,188.5,188.4,155,155801
2025-11-07,188.7,188.7,188.7,125,272998
2025-11-08,188.9,188.9,188.9,148,124691
2025-11-09,189.7,189.8,189.4,143,87187
2025-11-10,190.2,190.3,190.0,110,50503
2025-11-11,170.0,170.0,170.0,139,519164
2025-11-12,100.3,100.5,100.2,81,48033
2025-11-13,100.8,100.8,100.8,83,66875
2025-11-14,125.9,125.9,125.9,102,96857
