date,average,highest,lowest,order_count,volume
2025-05-20,189400.0,189700.0,189400.0,45,557
2025-05-21,189800.0,192300.0,189700.0,56,951
2025-05-22,243900.0,254500.0,210000.0,56,1205
2025-05-23,258100.0,258300.0,257900.0,59,218
2025-05-24,256300.0,257600.0,255600.0,81,1446
2025-05-25,191000.0,191000.0,191000.0,62,1329
2025-05-26,220300.0,220700.0,156100.0,63,2769
2025-05-27,217400.0,217400.0,217400.0,64,708
2025-05-28,214100.0,214300.0,214100.0,66,1258
2025-05-29,209100.0,209500.0,155500.0,76,986
2025-05-30,208300.0,208300.0,208300.0,82,1412
2025-05-31,188500.0,188800.0,165500.0,92,1409
2025-06-01,188200.0,188300.0,188100.0,92,797
2025-06-02,190000.0,199400.0,188400.0,86,2419
2025-06-03,198000.0,198000.0,198000.0,58,507
2025-06-04,150800.0,150800.0,150800.0,50,760
2025-06-05,195700.0,208200.0,188400.0,77,1457
2025-06-06,204800.0,204800.0,204700.0,58,632
2025-06-07,202500.0,203600.0,150900.0,49,131
2025-06-08,150600.0,150600.0,150600.0,90,585
2025-06-09,191800.0,193400.0,150600.0,65,113
2025-06-10,189500.0,190400.0,189000.0,69,2094
2025-06-11,189900.0,192900.0,189000.0,56,405
2025-06-12,188700.0,188800.0,188600.0,45,368
2025-06-13,170400.0,188200.0,170300.0,62,471
2025-06-14,187200.0,187200.0,187200.0,60,456
2025-06-15,186900.0,186900.0,186900.0,60,473
2025-06-16,186700.0,186800.0,186600.0,58,618
2025-06-17,184900.0,184900.0,184900.0,37,324
2025-06-18,186800.0,186800.0,186800.0,39,746
2025-06-19,187200.0,188400.0,186900.0,67,1436
2025-06-20,187600.0,187800.0,187400.0,69,369
2025-06-21,184500.0,184500.0,184500.0,79,625
2025-06-22,170300.0,184300.0,137300.0,75,2882
2025-06-23,183900.0,184000.0,137400.0,51,469
2025-06-24,182600.0,182700.0,182500.0,43,573
2025-06-25,137500.0,182500.0,137400.0,57,742
2025-06-26,181800.0,181800.0,181800.0,54,625
2025-06-27,180900.0,181200.0,179900.0,82,334
2025-06-28,180800.0,180800.0,180800.0,54,671
2025-06-29,181100.0,181200.0,180800.0,76,2281
2025-06-30,181400.0,181400.0,181400.0,77,1616
2025-07-01,161059.3,182300.0,139300.0,32,86
2025-07-02,179900.0,180000.0,179900.0,53,1002
2025-07-03,181900.0,181900.0,181650.0,51,1149
2025-07-04,181000.0,181500.0,152100.0,40,666
2025-07-05,181500.0,181700.0,181500.0,54,924
2025-07-06,180900.0,181000.0,152300.0,83,942
2025-07-07,177700.0,177700.0,177700.0,59,416
2025-07-08,175000.0,177800.0,175000.0,70,334
2025-07-09,152800.0,152800.0,152800.0,40,198
2025-07-10,168800.0,168800.0,168800.0,48,512
2025-07-11,165500.0,165500.0,165500.0,64,1625
2025-07-12,152800.0,165200.0,152000.0,64,562
2025-07-13,164200.0,164300.0,151000.0,83,1438
2025-07-14,164100.0,164100.0,164100.0,47,137
2025-07-15,152000.0,152000.0,152000.0,44,194
2025-07-16,152000.0,162800.0,139000.0,45,727
2025-07-17,161700.0,161700.0,161700.0,42,1088
2025-07-18,161600.0,161600.0,161600.0,45,891
2025-07-19,161000.0,161000.0,161000.0,64,345
2025-07-20,159000.0,159000.0,159000.0,72,489
2025-07-21,158000.0,158900.0,139600.0,66,323
2025-07-22,158400.0,158400.0,158400.0,56,927
2025-07-23,157900.0,158300.0,157800.0,66,790
2025-07-24,160900.0,160900.0,160900.0,64,1841
2025-07-25,160700.0,160900.0,160700.0,82,1393
2025-07-26,148775.92,159300.0,139600.0,59,98
2025-07-27,159300.0,159300.0,159300.0,87,679
2025-07-28,139600.0,139600.0,139600.0,49,334
2025-07-29,159800.0,159800.0,159800.0,39,349
2025-07-30,155000.0,155000.0,155000.0,41,208
2025-07-31,161100.0,161100.0,161100.0,57,732
2025-08-01,159800.0,159800.0,159700.0,33,341
2025-08-02,139900.0,139900.0,139900.0,45,763
2025-08-03,161100.0,161200.0,161100.0,52,1005
2025-08-04,160000.0,160000.0,160000.0,53,263
2025-08-05,150000.0,150000.0,150000.0,50,314
2025-08-06,161300.0,161500.0,154900.0,47,884
2025-08-07,157614.63,161300.0,139700.0,40,82
2025-08-08,159700.0,159700.0,159700.0,54,179
2025-08-09,159100.0,159200.0,139700.0,51,243
2025-08-10,159300.0,159400.0,159300.0,62,525
2025-08-11,159400.0,159400.0,159400.0,69,1435
2025-08-12,163500.0,163500.0,163500.0,56,645
2025-08-13,163400.0,163500.0,163400.0,45,2851
2025-08-14,165600.0,165600.0,165600.0,73,499
2025-08-15,165600.0,165600.0,165600.0,45,1956
2025-08-16,150000.0,150000.0,150000.0,53,292
2025-08-17,135000.0,135000.0,135000.0,80,884
2025-08-18,135000.0,135000.0,135000.0,51,184
2025-08-19,135000.0,158800.0,130000.0,62,3604
2025-08-20,165500.0,165500.0,165500.0,43,946
2025-08-21,165500.0,165500.0,165500.0,55,1657
2025-08-22,161000.0,161000.0,161000.0,59,177
2025-08-23,165400.0,165500.0,164900.0,78,458
2025-08-24,160000.0,164900.0,160000.0,62,334
2025-08-25,163000.0,163400.0,163000.0,55,357
2025-08-26,162900.0,162900.0,162900.0,47,259
2025-08-27,165000.0,165600.0,163500.0,74,3252
2025-08-28,164500.0,164500.0,164500.0,44,985
2025-08-29,165100.0,165200.0,165100.0,46,1661
2025-08-30,149100.0,166900.0,149000.0,47,1275
2025-08-31,149100.0,149100.0,149100.0,55,503
2025-09-01,166700.0,166800.0,165000.0,57,1588
2025-09-02,166800.0,166800.0,166800.0,41,178
2025-09-03,110600.0,144800.0,110350.0,54,307
2025-09-04,144100.0,144200.0,144100.0,45,122
2025-09-05,142800.0,143000.0,134300.0,50,490
2025-09-06,149150.0,149600.0,144400.0,56,274
2025-09-07,149100.0,149100.0,149100.0,65,482
2025-09-08,149200.0,149600.0,149200.0,45,1381
2025-09-09,161200.0,161200.0,159000.0,40,165
2025-09-10,111200.0,111200.0,111100.0,58,1142
2025-09-11,153800.0,154000.0,153800.0,42,901
2025-09-12,153800.0,153800.0,80000.0,45,170
2025-09-13,134400.0,134400.0,134400.0,65,1267
2025-09-14,134200.0,134200.0,134200.0,57,556
2025-09-15,134100.0,134100.0,134100.0,38,362
2025-09-16,124000.0,124000.0,124000.0,45,337
2025-09-17,123400.0,123400.0,123400.0,47,1123
2025-09-18,134400.0,134400.0,134400.0,46,727
2025-09-19,153600.0,153600.0,153600.0,40,130
2025-09-20,152900.0,153000.0,152900.0,40,148
2025-09-21,124800.0,151700.0,91230.0,52,499
2025-09-22,151300.0,151300.0,151300.0,43,406
2025-09-23,105170.79,130400.0,91510.0,27,76
2025-09-24,130400.0,130400.0,130400.0,37,160
2025-09-25,91630.0,114700.0,91620.0,48,331
2025-09-26,114700.0,114700.0,114700.0,47,658
2025-09-27,151200.0,151600.0,130500.0,65,1349
2025-09-28,165500.0,168700.0,150000.0,89,16420
2025-09-29,149800.0,149800.0,149800.0,59,273
2025-09-30,91850.0,91850.0,91840.0,34,2447
2025-10-01,134518.09,147400.0,91820.0,38,47
2025-10-02,134900.0,139900.0,134900.0,42,348
2025-10-03,134200.0,134200.0,134200.0,60,1235
2025-10-04,133500.0,133500.0,133000.0,49,117
2025-10-05,132000.0,132000.0,132000.0,45,980
2025-10-06,132000.0,132100.0,131700.0,60,1305
2025-10-07,131100.0,131100.0,131100.0,56,373
2025-10-08,130800.0,130800.0,130800.0,38,1671
2025-10-09,129900.0,130100.0,129900.0,46,490
2025-10-10,130500.0,130500.0,130500.0,46,186
2025-10-11,131000.0,131500.0,130300.0,68,1481
2025-10-12,130000.0,130000.0,130000.0,41,527
2025-10-13,128300.0,129300.0,92330.0,50,494
2025-10-14,127900.0,127900.0,127900.0,50,541
2025-10-15,114000.0,114000.0,114000.0,43,183
2025-10-16,113900.0,113900.0,113900.0,49,1428
2025-10-17,92280.0,92280.0,92270.0,46,998
2025-10-18,113500.0,126900.0,109900.0,60,1835
2025-10-19,127700.0,127900.0,124000.0,75,356
2025-10-20,123900.0,123900.0,123900.0,49,221
2025-10-21,123100.0,123100.0,123100.0,42,687
2025-10-22,128900.0,147000.0,128800.0,68,2917
2025-10-23,150000.0,150000.0,150000.0,30,1719
2025-10-24,141500.0,149100.0,141400.0,59,724
2025-10-25,120000.0,139500.0,120000.0,86,880
2025-10-26,139300.0,139400.0,139000.0,65,1107
2025-10-27,138600.0,138600.0,138600.0,32,1009
2025-10-28,138100.0,138100.0,138100.0,56,1335
