date,average,highest,lowest,order_count,volume
2025-05-20,3015000.0,3015000.0,3015000.0,1,1
2025-05-28,13950000.0,13950000.0,13950000.0,1,1
2025-06-01,14330000.0,14330000.0,14330000.0,1,1
2025-06-03,32500000.0,32500000.0,32500000.0,2,2
2025-06-06,49180000.0,63990000.0,34370000.0,2,2
2025-06-13,63400000.0,63400000.0,63400000.0,1,1
2025-06-25,50000000.0,50000000.0,50000000.0,1,1
2025-07-02,45940000.0,45940000.0,45940000.0,1,1
2025-07-03,15960000.0,15960000.0,15960000.0,1,2
2025-07-06,45950000.0,45950000.0,45950000.0,1,1
2025-07-08,45930000.0,45930000.0,45930000.0,1,1
2025-07-16,45930000.0,45930000.0,45930000.0,3,3
2025-07-18,45930000.0,45930000.0,45930000.0,1,1
2025-07-21,45412500.0,45420000.0,45410000.0,4,8
2025-07-29,24900000.0,24900000.0,24900000.0,1,1
2025-08-02,15965000.0,15970000.0,15960000.0,2,2
2025-08-04,24900000.0,24900000.0,24900000.0,1,1
2025-08-13,24900000.0,24900000.0,24900000.0,2,2
2025-08-14,24900000.0,24900000.0,24900000.0,1,1
2025-08-18,24900000.0,24900000.0,24900000.0,1,1
2025-08-19,20470000.0,25000000.0,15940000.0,2,2
2025-08-21,25000000.0,25000000.0,25000000.0,1,1
2025-08-23,15940000.0,15940000.0,15940000.0,1,1
2025-08-25,44990000.0,44990000.0,44990000.0,1,1
2025-09-06,43920000.0,43920000.0,43920000.0,1,1
2025-09-15,39000000.0,39000000.0,39000000.0,1,1
2025-09-25,39010000.0,39010000.0,39010000.0,1,1
2025-09-26,39990000.0,39990000.0,39990000.0,1,1
2025-09-27,40000000.0,40000000.0,40000000.0,1,1
2025-09-30,43500000.0,43500000.0,43500000.0,1,1
2025-10-02,43865000.0,43930000.0,43800000.0,2,2
2025-10-03,43940000.0,43940000.0,43940000.0,1,1
2025-10-07,44372000.0,45000000.0,43950000.0,4,5
2025-10-11,45400000.0,45400000.0,45400000.0,1,1
2025-10-12,11300000.0,11300000.0,11300000.0,1,1
2025-10-13,44995000.0,45000000.0,44990000.0,2,2
2025-10-18,45136666.67,45410000.0,45000000.0,2,3
2025-10-23,145000000.0,145000000.0,145000000.0,1,2
2025-10-25,50000000.0,50000000.0,50000000.0,1,1
2025-10-26,175000000.0,175000000.0,175000000.0,1,1
2025-11-02,11380000.0,11380000.0,11380000.0,1,1
2025-11-03,12583333.33,15010000.0,11370000.0,2,3
2025-11-04,15000000.0,15000000.0,15000000.0,1,1
