date,average,highest,lowest,order_count,volume
2025-05-20,47880000.0,48930000.0,47870000.0,86,105
2025-05-21,47870000.0,47880000.0,47805000.0,76,104
2025-05-22,44390000.0,44940000.0,41530000.0,79,109
2025-05-23,43985000.0,44010000.0,43200000.0,101,130
2025-05-24,41990000.0,42960000.0,41890000.0,108,157
2025-05-25,42000000.0,42620000.0,41990000.0,89,144
2025-05-26,42590000.0,42610000.0,42500000.0,111,177
2025-05-27,42580000.0,42750000.0,42490000.0,86,128
2025-05-28,44020000.0,44030000.0,43980000.0,83,111
2025-05-29,43990000.0,44020000.0,43880000.0,100,150
2025-05-30,41390000.0,41490000.0,37990000.0,65,120
2025-05-31,39995000.0,41400000.0,39960000.0,99,134
2025-06-01,41260000.0,41370000.0,39990000.0,104,126
2025-06-02,41410000.0,41440000.0,40000000.0,106,127
2025-06-03,42573626.37,43970000.0,39030000.0,76,91
2025-06-04,43630000.0,43740000.0,43550000.0,69,102
2025-06-05,43290000.0,43310000.0,43240000.0,106,141
2025-06-06,39990000.0,40000000.0,39960000.0,122,215
2025-06-07,41940000.0,41960000.0,41930000.0,118,126
2025-06-08,43130000.0,43150000.0,41990000.0,108,142
2025-06-09,43110000.0,43120000.0,43110000.0,100,113
2025-06-10,42837604.17,43740000.0,38000000.0,61,96
2025-06-11,42774390.24,43720000.0,37970000.0,68,82
2025-06-12,42199484.54,43710000.0,38020000.0,85,97
2025-06-13,42981428.57,43690000.0,39010000.0,74,91
2025-06-14,43000000.0,43710000.0,42980000.0,104,146
2025-06-15,43695000.0,43700000.0,43670000.0,84,104
2025-06-16,41783913.04,43600000.0,39010000.0,77,92
2025-06-17,43500000.0,43520000.0,43250000.0,108,137
2025-06-18,43530000.0,43660000.0,43490000.0,97,125
2025-06-19,43560000.0,43580000.0,38070000.0,80,103
2025-06-20,41160918.37,41990000.0,40990000.0,63,98
2025-06-21,42017692.31,43610000.0,38225000.0,66,78
2025-06-22,43660000.0,43700000.0,43640000.0,118,139
2025-06-23,42970000.0,43650000.0,39050000.0,78,103
2025-06-24,42855000.0,42900000.0,42780000.0,90,112
2025-06-25,41702608.7,42880000.0,37990000.0,79,92
2025-06-26,42860000.0,42860000.0,42860000.0,83,109
2025-06-27,42292051.28,43610000.0,38270000.0,64,78
2025-06-28,43460000.0,43550000.0,43400000.0,84,140
2025-06-29,42290000.0,42960000.0,42250000.0,90,101
2025-06-30,42320000.0,42340000.0,38410000.0,76,105
2025-07-01,42340000.0,42400000.0,41980000.0,83,120
2025-07-02,40981326.53,41900000.0,38140000.0,84,98
2025-07-03,42950000.0,43310000.0,41910000.0,81,113
2025-07-04,42626619.72,43400000.0,38510000.0,66,71
2025-07-05,43070000.0,43400000.0,43050000.0,128,158
2025-07-06,43680000.0,43700000.0,43385000.0,91,128
2025-07-07,43660000.0,43660000.0,43660000.0,102,183
2025-07-08,42200000.0,43630000.0,42190000.0,73,102
2025-07-09,41982837.84,42210000.0,41095000.0,55,74
2025-07-10,42190000.0,42220000.0,42155000.0,86,114
2025-07-11,42796288.66,43660000.0,40270000.0,65,97
2025-07-12,43112371.13,43605000.0,42000000.0,84,97
2025-07-13,43440000.0,43470000.0,40210000.0,105,201
2025-07-14,41990000.0,42870000.0,41970000.0,81,120
2025-07-15,41970000.0,41980000.0,41970000.0,73,103
2025-07-16,41223870.97,41930000.0,38240000.0,68,93
2025-07-17,41064352.94,41990000.0,41000000.0,76,85
2025-07-18,41920000.0,41960000.0,41900000.0,84,147
2025-07-19,43935000.0,47900000.0,42500000.0,106,146
2025-07-20,47750000.0,47780000.0,47740000.0,100,127
2025-07-21,47390000.0,47420000.0,47350000.0,82,101
2025-07-22,47050000.0,47160000.0,40420000.0,115,200
2025-07-23,46960000.0,46980000.0,45880000.0,100,167
2025-07-24,43980000.0,44895000.0,43950000.0,81,139
