date,average,highest,lowest,order_count,volume
2025-05-22,115700.0,115700.0,115700.0,1,1
2025-05-25,3686000.0,3686000.0,3686000.0,1,1
2025-05-29,116450.0,116500.0,116400.0,2,2
2025-06-01,111505.0,116700.0,110200.0,3,20
2025-06-06,332700.0,999900.0,110300.0,4,4
2025-06-07,110300.0,110300.0,110300.0,1,1
2025-06-09,1492000.0,1492000.0,1492000.0,1,1
2025-06-10,323500.0,750000.0,110250.0,3,3
2025-06-13,1486000.0,1486000.0,1486000.0,1,1
2025-06-20,1482000.0,1482000.0,1482000.0,1,1
2025-06-23,1481000.0,1481000.0,1481000.0,1,1
2025-06-26,110300.0,110300.0,110300.0,1,1
2025-06-28,110300.0,110300.0,110300.0,1,1
2025-06-30,473200.0,1199000.0,110300.0,3,3
2025-07-01,110300.0,110300.0,110300.0,1,1
2025-07-02,2536258.06,4150000.0,1450000.0,16,31
2025-07-06,121000.0,121000.0,121000.0,1,2
2025-07-08,121050.0,121100.0,121000.0,2,2
2025-07-09,121000.0,121000.0,121000.0,1,1
2025-07-10,121000.0,121000.0,121000.0,1,1
2025-07-12,121000.0,121000.0,121000.0,1,2
2025-07-13,2443000.0,2443000.0,2443000.0,1,1
2025-07-14,121000.0,121000.0,121000.0,1,1
2025-07-15,2386000.0,2386000.0,2386000.0,1,1
2025-07-27,2355666.67,2356000.0,2355000.0,3,3
2025-07-29,126600.0,126600.0,126600.0,2,2
2025-08-05,131300.0,131300.0,131300.0,1,1
2025-08-10,885100.0,885100.0,885100.0,1,2
2025-08-11,385500.0,385500.0,385500.0,1,2
2025-08-18,879900.0,879900.0,879900.0,1,1
2025-08-20,879000.0,879000.0,879000.0,1,1
2025-08-21,131800.0,131800.0,131800.0,1,1
2025-08-26,133000.0,133000.0,133000.0,1,1
2025-08-28,878800.0,878800.0,878800.0,1,1
2025-09-02,877700.0,877700.0,877700.0,1,2
2025-09-04,877650.0,877700.0,877600.0,2,2
2025-09-05,133000.0,133000.0,133000.0,1,1
2025-09-07,132900.0,132900.0,132900.0,1,1
2025-09-10,877700.0,877700.0,877700.0,1,1
2025-09-12,877700.0,877700.0,877700.0,2,2
2025-09-14,132900.0,132900.0,132900.0,1,1
2025-09-15,399533.33,532850.0,132900.0,3,3
2025-09-16,505750.0,878600.0,132900.0,2,2
2025-09-17,884400.0,884400.0,884400.0,1,1
2025-09-21,132900.0,132900.0,132900.0,1,1
2025-09-22,2100727.27,2390000.0,999000.0,7,11
2025-09-23,134199.98,134199.98,134199.98,1,1
2025-09-24,1600000.0,1600000.0,1600000.0,1,2
2025-09-26,3000000.0,3000000.0,3000000.0,1,1
2025-09-27,134600.0,134600.0,134600.0,1,1
2025-09-28,3000000.0,3000000.0,3000000.0,2,3
2025-09-29,134800.0,134800.0,134800.0,1,1
2025-10-02,2341000.0,2341000.0,2341000.0,1,5
2025-10-03,2341000.0,2341000.0,2341000.0,1,1
2025-10-11,1900000.0,1900000.0,1900000.0,1,1
2025-10-14,1999000.0,1999000.0,1999000.0,1,1
2025-10-17,2341000.0,2341000.0,2341000.0,1,1
2025-10-24,2338000.0,2338000.0,2338000.0,1,1
2025-10-26,2325000.0,2325000.0,2325000.0,1,1
2025-10-30,177700.0,177700.0,177700.0,1,1
2025-11-01,2154000.0,2154000.0,2154000.0,1,3
2025-11-05,1830000.0,1990000.0,1350000.0,2,4
2025-11-08,1181500.0,1988000.0,375000.0,2,2
2025-11-09,377700.0,377700.0,377700.0,1,2
2025-11-10,402800.0,402800.0,402800.0,1,1
