date,average,highest,lowest,order_count,volume
2025-05-20,8300000.0,8300000.0,8300000.0,1,1
2025-05-21,0.01,0.01,0.01,1,1
2025-05-22,8300000.0,8300000.0,8300000.0,1,1
2025-05-23,8300000.0,8300000.0,8300000.0,2,2
2025-05-24,8380000.0,8380000.0,8380000.0,1,1
2025-05-25,8380000.0,8380000.0,8380000.0,1,1
2025-05-26,8380000.0,8380000.0,8380000.0,1,1
2025-05-29,8350000.0,8350000.0,8350000.0,1,1
2025-06-01,8250000.0,8250000.0,8250000.0,1,1
2025-06-02,0.02,0.02,0.02,1,2
2025-06-12,8050000.0,8050000.0,8050000.0,1,1
2025-06-17,8097000.0,8097000.0,8097000.0,1,1
2025-06-21,35000.0,35000.0,35000.0,1,1
2025-06-27,8095000.0,8095000.0,8095000.0,1,1
2025-06-29,8095000.0,8095000.0,8095000.0,1,1
2025-07-01,4065500.0,8096000.0,35000.0,2,2
2025-07-03,8097000.0,8097000.0,8097000.0,2,2
2025-07-05,8099000.0,8099000.0,8099000.0,2,2
2025-07-08,8099000.0,8099000.0,8099000.0,1,1
2025-07-10,8349000.0,8349000.0,8349000.0,1,1
2025-07-12,8349000.0,8349000.0,8349000.0,1,1
2025-07-15,8349000.0,8349000.0,8349000.0,1,1
2025-07-19,8349500.0,8350000.0,8349000.0,2,2
2025-07-21,8347000.0,8347000.0,8347000.0,1,1
2025-07-22,8349000.0,8349000.0,8349000.0,1,1
2025-07-25,8329500.0,8330000.0,8329000.0,2,2
2025-07-28,8349000.0,8349000.0,8349000.0,1,1
2025-07-29,8348000.0,8348000.0,8348000.0,1,1
2025-08-01,8349000.0,8349000.0,8349000.0,1,1
2025-08-05,8349000.0,8349000.0,8349000.0,1,1
2025-08-12,6598333.33,7795000.0,6000000.0,2,3
2025-08-23,7656000.0,7656000.0,7656000.0,1,1
2025-08-27,35000.0,35000.0,35000.0,1,3
2025-08-30,7625000.0,7625000.0,7625000.0,1,1
2025-09-05,7596000.0,7596000.0,7596000.0,1,1
2025-09-17,7535000.0,7535000.0,7535000.0,1,1
2025-09-19,7530000.0,7530000.0,7530000.0,1,1
2025-09-23,5992000.0,5992000.0,5992000.0,1,1
2025-09-27,5952000.0,5952000.0,5952000.0,1,1
2025-09-28,32240.0,32240.0,32240.0,1,1
2025-09-30,5927000.0,5927000.0,5927000.0,1,1
2025-10-05,6084500.0,7520000.0,5926000.0,4,10
2025-10-11,5931000.0,5931000.0,5931000.0,1,1
2025-10-18,4643100.0,5931000.0,4500000.0,2,10
2025-11-02,5932000.0,5932000.0,5932000.0,1,1
2025-11-04,5932000.0,5932000.0,5932000.0,1,1
2025-11-07,7519000.0,7519000.0,7519000.0,1,1
2025-11-12,7518000.0,7518000.0,7518000.0,1,1
2025-11-13,32290.0,32290.0,32290.0,1,9
