date,average,highest,lowest,order_count,volume
2025-05-20,15354500.0,15740000.0,15000000.0,9,60
2025-05-21,15493333.33,15740000.0,15000000.0,3,3
2025-05-22,15740000.0,15740000.0,15740000.0,2,4
2025-05-23,15615000.0,15740000.0,15000000.0,5,12
2025-05-24,15585000.0,15740000.0,15500000.0,7,8
2025-05-25,15168823.53,15730000.0,15000000.0,11,17
2025-05-26,15142580.65,15740000.0,15000000.0,12,62
2025-05-27,15735000.0,15740000.0,15730000.0,4,8
2025-05-28,15365000.0,15740000.0,15000000.0,8,14
2025-05-29,15181666.67,15740000.0,15000000.0,9,12
2025-05-30,12898000.0,15740000.0,12000000.0,7,20
2025-05-31,14091111.11,15740000.0,12030000.0,5,9
2025-06-01,15153333.33,15740000.0,15000000.0,5,9
2025-06-02,15573461.54,15740000.0,15500000.0,9,26
2025-06-03,15525000.0,15750000.0,15000000.0,7,10
2025-06-04,15185000.0,15740000.0,15000000.0,5,36
2025-06-05,14631764.71,15000000.0,12340000.0,8,17
2025-06-06,15730000.0,15730000.0,15730000.0,2,2
2025-06-07,14423333.33,15365000.0,12540000.0,4,12
2025-06-08,15720000.0,15720000.0,15720000.0,3,5
2025-06-09,15016250.0,15720000.0,15000000.0,10,32
2025-06-10,15017878.79,15730000.0,15000000.0,13,33
2025-06-11,14940000.0,15000000.0,12700000.0,5,14
2025-06-12,15425833.33,15730000.0,15000000.0,3,12
2025-06-13,15271250.0,15740000.0,13865000.0,6,8
2025-06-14,15478823.53,15740000.0,14990000.0,8,17
2025-06-15,14641666.67,15000000.0,12850000.0,2,6
2025-06-16,15153750.0,15615000.0,15000000.0,4,8
2025-06-17,15043548.39,15740000.0,15000000.0,16,31
2025-06-18,15594000.0,15990000.0,15000000.0,6,10
2025-06-19,15217777.78,15990000.0,15000000.0,12,18
2025-06-20,15021555.56,15990000.0,15000000.0,8,45
2025-06-21,15076451.61,15990000.0,15000000.0,12,62
2025-06-22,12272727.27,15000000.0,12000000.0,3,11
2025-06-23,15450000.0,15990000.0,15000000.0,9,11
2025-06-24,14927142.86,15000000.0,12000000.0,5,14
