date,average,highest,lowest,order_count,volume
2025-05-20,79.26,79.26,79.26,2,198
2025-05-30,79.26,79.26,79.26,1,57
2025-06-01,79.26,79.26,79.26,1,53
2025-06-09,79.26,79.26,79.26,1,9
2025-06-10,79.26,79.26,79.26,1,6
2025-06-23,79.35,79.35,79.35,1,1
2025-06-24,79.35,79.35,79.35,1,31
2025-07-24,79.51,79.51,79.51,1,35
2025-08-03,79.51,79.51,79.51,1,32
2025-08-05,79.51,79.51,79.51,1,13
2025-08-07,79.51,79.51,79.51,1,1
2025-08-19,79.51,79.51,79.51,1,91
2025-08-20,79.51,79.51,79.51,2,38
2025-08-22,79.51,79.51,79.51,1,70
2025-08-24,79.51,79.51,79.51,1,10
2025-08-26,79.51,79.51,79.51,1,95
2025-09-04,79.51,79.51,79.51,1,8
2025-09-14,79.51,79.51,79.51,1,40
2025-10-04,501.2,501.2,501.2,1,10
2025-10-05,501.2,501.2,501.2,1,631
2025-10-10,501.2,501.2,501.2,1,12
2025-10-18,501.2,501.2,501.2,1,95
2025-10-29,501.2,501.2,501.2,1,99
2025-11-01,501.2,501.2,501.2,1,38
2025-11-02,501.2,501.2,501.2,1,1
2025-11-08,501.2,501.2,501.2,1,78
2025-11-11,750.0,750.0,750.0,1,2
2025-11-13,2000.0,2000.0,2000.0,1,45
