date,average,highest,lowest,order_count,volume
2025-05-20,5609395.35,5844000.0,4884000.0,27,86
2025-05-21,5078355.56,5837000.0,4889000.0,11,45
2025-05-22,4889153.85,4891000.0,4889000.0,8,13
2025-05-23,4890500.0,4891000.0,4890000.0,11,48
2025-05-24,4887529.41,4890000.0,4886500.0,7,17
2025-05-25,5738000.0,6500000.0,5736000.0,45,299
2025-05-26,7439000.0,7839000.0,7315000.0,35,121
2025-05-27,5402117.65,7700000.0,4907000.0,13,34
2025-05-28,7749000.0,7749000.0,7747000.0,27,116
2025-05-29,4960766.67,4962000.0,4960000.0,13,30
2025-05-30,5697000.0,7120000.0,4967000.0,30,116
2025-05-31,5000000.0,5000000.0,5000000.0,32,143
2025-06-01,8244000.0,8244000.0,8244000.0,354,1703
2025-06-02,7689000.0,11000000.0,6100000.0,263,403
2025-06-03,6152000.0,6200000.0,6150000.0,348,461
2025-06-04,5647000.0,5681000.0,5628000.0,175,257
2025-06-05,5909000.0,6998000.0,5830000.0,232,322
2025-06-06,6001000.0,6299000.0,5973000.0,198,249
2025-06-07,6018000.0,7166000.0,6002000.0,239,760
2025-06-08,6300000.0,6300000.0,6014000.0,164,933
2025-06-09,6010000.0,6999000.0,6002000.0,225,711
2025-06-10,5632000.0,5855000.0,4995000.0,165,654
2025-06-11,7298000.0,7562000.0,6896000.0,113,640
2025-06-12,5970000.0,7796000.0,5403000.0,167,294
2025-06-13,5708000.0,5803000.0,5706000.0,104,173
2025-06-14,5887000.0,6350000.0,5810000.0,116,225
2025-06-15,8250000.0,8598000.0,5902000.0,139,385
2025-06-16,7000000.0,7998000.0,5902000.0,75,279
2025-06-17,6004000.0,7888000.0,6001000.0,92,243
2025-06-18,5902000.0,5902000.0,5902000.0,64,102
2025-06-19,5899000.0,5903000.0,5362000.0,60,187
2025-06-20,5371000.0,6296000.0,5362000.0,68,201
2025-06-21,5402000.0,5411000.0,5399000.0,68,127
2025-06-22,5420000.0,5433000.0,5417000.0,65,237
2025-06-23,5438000.0,5438000.0,5438000.0,43,113
2025-06-24,6825000.0,7200000.0,5473000.0,83,295
2025-06-25,5546000.0,6997000.0,5528000.0,59,123
2025-06-26,5907923.08,6669000.0,5564000.0,42,78
2025-06-27,5616000.0,7220000.0,5581000.0,67,132
2025-06-28,5627000.0,5670000.0,5620000.0,77,207
2025-06-29,5830000.0,6894000.0,5774000.0,66,163
2025-06-30,6100000.0,6794500.0,5892000.0,70,129
2025-07-01,7867000.0,8999000.0,7585000.0,99,825
2025-07-02,5983000.0,6650000.0,5963000.0,48,155
2025-07-03,6106000.0,6106000.0,6106000.0,53,132
2025-07-04,6146262.5,6201000.0,6109000.0,27,80
2025-07-05,6120000.0,7591000.0,6119000.0,59,158
2025-07-06,6200000.0,6310000.0,6121000.0,64,129
2025-07-07,6408000.0,7245000.0,6407000.0,54,156
2025-07-08,6600000.0,6600000.0,6596500.0,49,211
2025-07-09,7000000.0,7300000.0,6596000.0,52,130
2025-07-10,6831956.52,7553000.0,6602000.0,51,92
2025-07-11,6601676.47,6602000.0,6597000.0,38,68
2025-07-12,7118000.0,7359000.0,5980000.0,76,308
2025-07-13,5969000.0,5972000.0,5969000.0,46,110
2025-07-14,5975000.0,7000000.0,5975000.0,77,162
2025-07-15,6003000.0,6664000.0,6000000.0,65,134
2025-07-16,6990000.0,7587000.0,6002000.0,59,203
2025-07-17,6002000.0,6002000.0,6002000.0,60,141
2025-07-18,6006000.0,6006000.0,6005000.0,46,110
2025-07-19,6009000.0,6009000.0,6009000.0,49,141
2025-07-20,7256000.0,8990000.0,6900000.0,119,590
2025-07-21,6014000.0,6017000.0,6014000.0,62,339
2025-07-22,6220000.0,8499000.0,6208000.0,50,117
2025-07-23,8297000.0,8410500.0,6601000.0,60,282
2025-07-24,6268000.0,6500000.0,6256000.0,56,176
2025-07-25,6282000.0,6283000.0,6281000.0,58,103
2025-07-26,6284000.0,6740000.0,6283000.0,77,250
2025-07-27,6288000.0,6292000.0,6283000.0,50,283
2025-07-28,6300000.0,7289000.0,6269000.0,72,167
2025-07-29,6310000.0,6502000.0,6303000.0,51,139
2025-07-30,6331062.5,6500000.0,6301000.0,37,80
2025-07-31,6300000.0,6307000.0,6263000.0,47,125
2025-08-01,6263000.0,6546000.0,6262000.0,60,232
2025-08-02,6996000.0,7889000.0,6263000.0,75,285
2025-08-03,6276000.0,6276000.0,6276000.0,47,278
2025-08-04,8490000.0,8497000.0,7389000.0,54,209
2025-08-05,8780000.0,8780000.0,8780000.0,33,712
2025-08-06,6269237.29,6302000.0,5350000.0,29,59
2025-08-07,6298325.84,6300000.0,6295000.0,24,89
2025-08-08,6843500.0,6869000.0,6303000.0,62,230
2025-08-09,7099000.0,7395000.0,6306000.0,49,136
2025-08-10,6297689.19,6311000.0,5350000.0,31,74
2025-08-11,6232486.11,6310000.0,5350000.0,28,72
2025-08-12,6276000.0,6276000.0,6276000.0,36,113
2025-08-13,6074609.76,6784000.0,6010000.0,41,82
2025-08-14,5961000.0,6500000.0,5941000.0,55,201
2025-08-15,5492603.77,5499000.0,5350000.0,28,53
2025-08-16,5547352.94,6244000.0,5499000.0,32,68
2025-08-17,7602000.0,7602000.0,7601000.0,79,505
2025-08-18,5924783.78,7397000.0,5521500.0,34,74
2025-08-19,6265638.91,6988000.0,5527000.0,46,94
2025-08-20,5990000.0,7000000.0,5533000.0,42,123
2025-08-21,7397000.0,8298000.0,5544000.0,58,168
2025-08-22,5642410.26,5883000.0,5559000.0,17,39
2025-08-23,5735082.47,6298000.0,5571000.0,46,97
2025-08-24,5594000.0,6099000.0,5577000.0,48,102
2025-08-25,6136750.0,7945000.0,5599000.0,30,72
2025-08-26,5611557.38,5615000.0,5609000.0,28,61
2025-08-27,5626000.0,7697000.0,5624000.0,42,145
2025-08-28,5624000.0,7497000.0,5622000.0,52,218
2025-08-29,5600463.77,5622000.0,5350000.0,36,69
2025-08-30,5858180.72,6392500.0,5642000.0,47,83
2025-08-31,5653000.0,5654000.0,5636000.0,54,202
2025-09-01,5639000.0,5639000.0,5639000.0,36,110
2025-09-02,5639066.67,5640000.0,5639000.0,24,60
2025-09-03,6048890.41,6991000.0,5640000.0,30,73
2025-09-04,6000000.0,6991000.0,6000000.0,51,148
2025-09-05,6018157.89,7323000.0,5652000.0,38,76
2025-09-06,7324000.0,7389000.0,6599000.0,61,263
2025-09-07,5669000.0,6997000.0,5667000.0,41,104
2025-09-08,7586000.0,7730000.0,7499000.0,42,240
2025-09-09,6270020.41,7947000.0,5749000.0,23,49
2025-09-10,6996908.16,7940000.0,5764000.0,32,98
2025-09-11,7936000.0,7939000.0,5780000.0,46,171
2025-09-12,5810000.0,8249000.0,5805000.0,41,134
2025-09-13,5826000.0,5834000.0,5824000.0,45,156
2025-09-14,5845000.0,5858000.0,5806000.0,72,507
2025-09-15,5653000.0,6198000.0,5650000.0,42,171
2025-09-16,5757416.67,6663000.0,5665000.0,23,48
2025-09-17,5825280.0,6662000.0,5668000.0,36,100
2025-09-18,7969000.0,8296000.0,5797000.0,86,286
2025-09-19,5796000.0,5803000.0,5796000.0,28,126
2025-09-20,6350000.0,6998000.0,5817000.0,63,221
2025-09-21,6986000.0,7976000.0,5907000.0,338,753
2025-09-22,6052000.0,6057000.0,5919000.0,267,401
2025-09-23,5937000.0,5937000.0,5933000.0,226,488
2025-09-24,5946000.0,5951000.0,5945000.0,200,306
2025-09-25,5975000.0,8935000.0,5949000.0,269,519
2025-09-26,5956000.0,6799000.0,5954000.0,282,499
2025-09-27,5964000.0,5965000.0,5964000.0,160,287
2025-09-28,5972000.0,5972000.0,5971000.0,154,325
2025-09-29,5975000.0,6000000.0,5974000.0,165,446
2025-09-30,5985000.0,5990000.0,5980000.0,118,271
2025-10-01,6383500.0,6598000.0,5991000.0,185,454
2025-10-02,5991000.0,5993000.0,5990000.0,108,277
2025-10-03,5997000.0,6003000.0,5992000.0,92,141
2025-10-04,6550000.0,7483000.0,5989000.0,173,625
2025-10-05,6016000.0,6027000.0,6010000.0,80,177
2025-10-06,6027000.0,6031000.0,6021000.0,109,196
2025-10-07,5999000.0,6012000.0,5999000.0,73,121
2025-10-08,6555000.0,6665000.0,5990000.0,127,487
2025-10-09,5963000.0,5963500.0,5962000.0,90,187
2025-10-10,5659000.0,5962000.0,5652000.0,96,175
2025-10-11,5665000.0,5666000.0,5663000.0,132,289
2025-10-12,5668000.0,5669000.0,5666000.0,147,295
2025-10-13,5667000.0,5807000.0,5665000.0,83,295
2025-10-14,5665000.0,5665000.0,5665000.0,82,212
2025-10-15,5664000.0,5664000.0,5664000.0,85,193
2025-10-16,5667000.0,5668000.0,5667000.0,102,300
2025-10-17,6249000.0,6495000.0,5670000.0,92,281
2025-10-18,5701000.0,5701000.0,5700000.0,84,183
2025-10-19,5668000.0,6490000.0,5666000.0,133,311
2025-10-20,5664000.0,5664000.0,5664000.0,75,156
2025-10-21,5894000.0,6499000.0,5663000.0,115,613
2025-10-22,5662000.0,6000000.0,5661000.0,73,150
2025-10-23,5663000.0,5664000.0,5662000.0,96,261
2025-10-24,5663000.0,5782000.0,5662000.0,89,292
2025-10-25,4808000.0,5661000.0,4802000.0,73,206
2025-10-26,4810000.0,5690000.0,4001000.0,80,217
2025-10-27,4006000.0,5789000.0,4002000.0,76,241
2025-10-28,6420000.0,6600000.0,4899000.0,90,452
2025-10-29,4286000.0,4289000.0,4270000.0,76,167
2025-10-30,4307000.0,4311000.0,4305000.0,55,147
2025-10-31,4319000.0,4876000.0,4315000.0,75,285
2025-11-01,5196000.0,5300000.0,4318000.0,95,305
2025-11-02,4999000.0,5579000.0,4326000.0,110,413
2025-11-03,5200000.0,6090000.0,4328000.0,100,483
2025-11-04,4341000.0,6088000.0,4334000.0,99,314
2025-11-05,4402000.0,6200000.0,4341000.0,73,231
2025-11-06,4355000.0,4366000.0,4352000.0,51,144
2025-11-07,5175500.0,5999000.0,4368000.0,60,186
2025-11-08,5694000.0,6070000.0,4378000.0,96,497
2025-11-09,4397000.0,4397000.0,4397000.0,82,182
2025-11-10,4431000.0,6049000.0,4422000.0,81,251
2025-11-11,4448000.0,5999000.0,4447000.0,98,495
2025-11-12,4455000.0,4458000.0,4454000.0,90,353
2025-11-13,4993000.0,5000000.0,4466000.0,73,300
2025-11-14,4471000.0,4474000.0,4470000.0,67,269
