date,average,highest,lowest,order_count,volume
2025-05-20,338800.0,338800.0,338800.0,1,1
2025-05-22,5120950.0,9900000.0,341900.0,2,2
2025-05-23,9990000.0,9990000.0,9990000.0,1,1
2025-05-24,9900000.0,9900000.0,9900000.0,1,1
2025-05-25,352900.0,352900.0,352900.0,1,1
2025-05-28,3900000.0,7000000.0,800000.0,2,2
2025-05-30,8495000.0,8495000.0,8495000.0,1,1
2025-06-01,8750000.0,9000000.0,8500000.0,2,2
2025-06-03,363800.0,363800.0,363800.0,1,1
2025-06-05,367100.0,367100.0,367100.0,1,4
2025-06-06,7980000.0,7980000.0,7980000.0,1,1
2025-06-07,6000000.0,6000000.0,6000000.0,1,1
2025-06-08,367200.0,367200.0,367200.0,1,3
2025-06-10,367400.0,367400.0,367400.0,1,2
2025-06-15,3497666.67,3499000.0,3497000.0,3,3
2025-06-16,495300.0,495300.0,495300.0,1,1
2025-06-17,3000000.0,3000000.0,3000000.0,3,3
2025-06-19,3332000.0,3498000.0,3000000.0,3,3
2025-06-21,3000000.0,3000000.0,3000000.0,1,1
2025-06-22,4197800.0,6000000.0,3747500.0,5,5
2025-06-24,10000000.0,10000000.0,10000000.0,1,1
2025-06-27,8445133.33,12420000.0,495400.0,3,3
2025-06-29,495400.0,495400.0,495400.0,1,2
2025-07-03,495600.0,495600.0,495600.0,1,1
2025-07-04,4330366.67,12000000.0,495550.0,3,3
2025-07-06,495350.0,495500.0,495300.0,2,4
2025-07-12,495400.0,495400.0,495400.0,2,2
2025-07-15,9990000.0,9990000.0,9990000.0,1,1
2025-07-17,9000000.0,9000000.0,9000000.0,1,1
2025-07-18,8998000.0,8998000.0,8998000.0,1,1
2025-07-19,7496000.0,7496000.0,7496000.0,1,1
2025-07-30,5693000.0,5693000.0,5693000.0,1,1
2025-07-31,5694500.0,5695000.0,5694000.0,2,2
2025-08-02,5698000.0,5698000.0,5698000.0,1,1
2025-08-03,5699000.0,5699000.0,5699000.0,1,1
2025-08-04,5690000.0,5690000.0,5690000.0,1,1
2025-08-07,4850000.0,4850000.0,4850000.0,2,2
2025-08-09,4840000.0,4840000.0,4840000.0,1,1
2025-08-17,4820000.0,4820000.0,4820000.0,1,1
2025-08-18,4820000.0,4820000.0,4820000.0,1,1
2025-08-20,4000000.0,4000000.0,4000000.0,1,1
2025-08-21,4820000.0,4820000.0,4820000.0,1,1
2025-08-23,497100.0,497100.0,497100.0,1,1
2025-08-25,4000000.0,4000000.0,4000000.0,1,1
2025-08-27,4099350.0,4820000.0,497100.0,3,6
2025-08-29,497150.0,497200.0,497100.0,3,4
2025-08-30,3900000.0,3900000.0,3900000.0,1,1
2025-09-02,4795000.0,4795000.0,4795000.0,1,1
2025-09-04,4790666.67,4796000.0,4780000.0,3,3
2025-09-05,4818000.0,4822000.0,4798000.0,5,6
2025-09-06,4822000.0,4822000.0,4822000.0,1,1
2025-09-08,4819800.0,4820000.0,4819000.0,2,5
2025-09-09,4800000.0,4800000.0,4800000.0,1,1
2025-09-10,4821000.0,4821000.0,4821000.0,1,1
2025-09-11,500000.0,500000.0,500000.0,1,1
2025-09-12,4500000.0,4500000.0,4500000.0,1,1
2025-09-13,4822000.0,4822000.0,4822000.0,1,1
2025-09-17,4822000.0,4822000.0,4822000.0,2,2
2025-09-18,2661050.0,4822000.0,500100.0,2,2
2025-09-19,2660050.0,4820000.0,500100.0,2,2
2025-09-20,4821500.0,4822000.0,4821000.0,2,2
2025-09-22,4821666.67,4822000.0,4821000.0,3,3
2025-09-25,4822000.0,4822000.0,4822000.0,1,1
2025-09-27,4821500.0,4822000.0,4821000.0,2,2
2025-09-29,4800000.0,4800000.0,4800000.0,1,1
2025-10-01,4822000.0,4823000.0,4821000.0,2,2
2025-10-02,4836000.0,4836000.0,4836000.0,1,1
2025-10-05,4836000.0,4836000.0,4836000.0,1,1
2025-10-07,4836000.0,4836000.0,4836000.0,1,1
2025-10-08,4836000.0,4836000.0,4836000.0,1,1
2025-10-12,4834000.0,4834000.0,4834000.0,1,1
2025-10-16,2668250.0,4836000.0,500500.0,2,2
2025-10-19,4897000.0,4897000.0,4897000.0,1,1
2025-10-20,1834200.0,4501000.0,500800.0,2,3
2025-10-21,4500500.0,4501000.0,4500000.0,2,2
2025-10-23,4700000.0,4700000.0,4700000.0,1,1
2025-10-24,4899333.33,4900000.0,4899000.0,3,3
2025-10-25,4963000.0,4963000.0,4963000.0,1,1
2025-10-26,7487500.0,7490000.0,7484000.0,4,6
2025-10-27,7000000.0,7000000.0,7000000.0,1,1
2025-10-28,14990000.0,14990000.0,14990000.0,1,1
2025-11-04,2600350.0,4700000.0,500700.0,3,6
2025-11-05,510100.0,510100.0,510100.0,2,3
