date,average,highest,lowest,order_count,volume
2025-05-21,3736000.0,3736000.0,3736000.0,1,1
2025-05-22,4948500.0,5997000.0,3900000.0,2,2
2025-05-23,7988000.0,7988000.0,7988000.0,1,1
2025-05-25,4430800.0,7900000.0,961600.0,2,2
2025-05-26,962000.0,962000.0,962000.0,1,1
2025-05-27,7990000.0,7990000.0,7990000.0,1,1
2025-05-29,1002000.0,1002000.0,1002000.0,1,1
2025-05-30,8900000.0,8900000.0,8900000.0,1,1
2025-05-31,8900000.0,8900000.0,8900000.0,1,1
2025-06-01,8980000.0,8980000.0,8980000.0,1,1
2025-06-02,2002000.0,2002000.0,2002000.0,1,1
2025-06-05,2201000.0,2201000.0,2201000.0,1,1
2025-06-06,8663333.33,8745000.0,8500000.0,3,3
2025-06-07,8882000.0,8884000.0,8880000.0,2,2
2025-06-10,6625333.33,8737500.0,2401000.0,3,3
2025-06-11,8700000.0,8700000.0,8700000.0,1,1
2025-06-12,8697000.0,8697000.0,8697000.0,1,1
2025-06-13,2405000.0,2405000.0,2405000.0,1,2
2025-06-14,2404000.0,2404000.0,2404000.0,1,1
2025-06-16,2502000.0,2502000.0,2502000.0,1,1
2025-06-20,4201500.0,5900000.0,2503000.0,2,2
2025-06-21,4997000.0,4997000.0,4997000.0,1,1
2025-06-23,2600000.0,2600000.0,2600000.0,1,2
2025-06-25,4990000.0,5000000.0,4980000.0,2,2
2025-06-27,5985666.67,6000000.0,5978500.0,3,3
2025-06-28,3250500.0,5500000.0,1001000.0,2,2
2025-06-29,926350.0,1000000.0,852700.0,2,4
2025-06-30,5988000.0,5988000.0,5988000.0,1,1
2025-07-01,5899000.0,5899000.0,5899000.0,1,1
2025-07-03,852700.0,852700.0,852700.0,1,1
2025-07-04,5895000.0,5900000.0,5890000.0,2,2
2025-07-05,852700.0,852700.0,852700.0,1,1
2025-07-06,880000.0,880000.0,880000.0,1,1
2025-07-07,5970000.0,5970000.0,5970000.0,1,1
2025-07-09,4220000.0,5890000.0,880000.0,3,3
2025-07-11,5950000.0,5950000.0,5950000.0,1,1
2025-07-12,5950000.0,5950000.0,5950000.0,1,1
2025-07-14,5960000.0,5960000.0,5960000.0,1,1
2025-07-15,5969750.0,5970000.0,5969000.0,4,4
2025-07-17,5967000.0,5967000.0,5967000.0,1,1
2025-07-19,5969000.0,5969000.0,5969000.0,1,1
2025-07-20,5500000.0,5500000.0,5500000.0,1,1
2025-07-21,5970000.0,5970000.0,5970000.0,1,1
2025-07-22,902000.0,902000.0,902000.0,1,1
2025-07-23,5989000.0,5989000.0,5989000.0,1,1
2025-07-29,7398000.0,7398000.0,7398000.0,1,1
2025-08-04,7390000.0,7390000.0,7390000.0,1,1
2025-08-05,7390000.0,7390000.0,7390000.0,1,1
2025-08-06,902000.0,902000.0,902000.0,1,2
2025-08-07,7303000.0,7303000.0,7303000.0,1,1
2025-08-08,7389000.0,7389000.0,7389000.0,1,1
