date,average,highest,lowest,order_count,volume
2025-05-20,53560000.0,53560000.0,53560000.0,1,1
2025-05-21,16120000.0,16120000.0,16120000.0,1,3
2025-05-22,34837500.0,53555000.0,16120000.0,4,4
2025-05-23,52880000.0,52880000.0,52880000.0,1,1
2025-05-24,52895000.0,52900000.0,52890000.0,2,2
2025-05-28,47000000.0,47000000.0,47000000.0,1,1
2025-05-31,47285000.0,47295000.0,47275000.0,4,4
2025-06-01,47340000.0,47380000.0,47300000.0,2,2
2025-06-05,35874285.71,42770000.0,30000000.0,7,7
2025-06-07,28878000.0,42650000.0,20030000.0,4,5
2025-06-09,41495000.0,41500000.0,41490000.0,2,2
2025-06-10,19080000.0,19080000.0,19080000.0,1,1
2025-06-11,39940000.0,39940000.0,39940000.0,1,1
2025-06-13,32070000.0,32070000.0,32070000.0,1,1
2025-06-14,34805000.0,34810000.0,34800000.0,2,2
2025-06-15,34950000.0,34950000.0,34950000.0,1,1
2025-06-16,29995000.0,30000000.0,29990000.0,2,2
2025-06-17,33246666.67,34870000.0,30000000.0,3,3
2025-06-18,30975000.0,34950000.0,19070000.0,4,4
2025-06-19,34950000.0,34950000.0,34950000.0,1,1
2025-06-20,34960000.0,34960000.0,34960000.0,1,1
2025-06-21,35070000.0,35070000.0,35070000.0,1,1
2025-06-23,19110000.0,19110000.0,19110000.0,1,1
2025-06-24,35060000.0,35070000.0,35050000.0,2,2
2025-06-25,37440000.0,39800000.0,35080000.0,2,2
2025-06-27,39263333.33,39895000.0,38000000.0,3,3
2025-06-28,31005000.0,42890000.0,19120000.0,2,2
2025-06-29,19090000.0,19090000.0,19090000.0,1,1
2025-06-30,42850000.0,42850000.0,42850000.0,1,1
2025-07-03,42600000.0,42700000.0,42500000.0,2,2
2025-07-04,42820000.0,42820000.0,42820000.0,1,1
2025-07-06,42840000.0,42840000.0,42840000.0,1,1
2025-07-07,39990000.0,39990000.0,39990000.0,1,1
2025-07-08,40000000.0,40000000.0,40000000.0,2,2
2025-07-10,41000000.0,41000000.0,41000000.0,1,1
2025-07-12,40995000.0,41000000.0,40990000.0,2,2
2025-07-13,35000000.0,35000000.0,35000000.0,2,2
2025-07-15,41000000.0,41000000.0,41000000.0,1,1
2025-07-16,41900000.0,41900000.0,41900000.0,2,2
2025-07-17,42000000.0,42000000.0,42000000.0,2,2
2025-07-18,42000000.0,42000000.0,42000000.0,1,1
2025-07-19,42000000.0,42000000.0,42000000.0,1,1
2025-07-20,42880000.0,42890000.0,42870000.0,2,2
2025-07-21,42890000.0,42890000.0,42890000.0,1,1
2025-07-25,40950000.0,40950000.0,40950000.0,1,1
2025-07-26,41333333.33,42000000.0,41000000.0,3,3
2025-07-27,41000000.0,41000000.0,41000000.0,2,2
2025-07-28,42600000.0,42600000.0,42600000.0,1,1
2025-07-29,40995000.0,41000000.0,40990000.0,2,2
2025-07-31,40960000.0,40960000.0,40960000.0,1,1
