date,average,highest,lowest,order_count,volume
2025-05-20,452600.0,452700.0,452600.0,179,449
2025-05-21,454100.0,455500.0,452400.0,179,500
2025-05-22,455200.0,455400.0,452300.0,170,260
2025-05-23,452200.0,455200.0,404100.0,184,371
2025-05-24,455500.0,455500.0,455400.0,280,647
2025-05-25,456900.0,456900.0,456900.0,224,647
2025-05-26,468700.0,468700.0,468600.0,252,1197
2025-05-27,489800.0,489800.0,489800.0,212,602
2025-05-28,489800.0,489900.0,489800.0,226,556
2025-05-29,490600.0,491300.0,490000.0,264,768
2025-05-30,529100.0,529200.0,528700.0,241,555
2025-05-31,526700.0,526700.0,526700.0,259,1763
2025-06-01,805900.0,805900.0,805900.0,261,1804
2025-06-02,1086000.0,2462000.0,512400.0,208,424
2025-06-03,783800.0,898700.0,602000.0,244,1323
2025-06-04,602800.0,603000.0,602800.0,204,1409
2025-06-05,645800.0,649900.0,645500.0,251,674
2025-06-06,644500.0,645100.0,642700.0,237,629
2025-06-07,599300.0,599300.0,599200.0,257,821
2025-06-08,589700.0,590200.0,584900.0,242,793
2025-06-09,583300.0,584200.0,581200.0,194,474
2025-06-10,520900.0,574300.0,520800.0,212,760
2025-06-11,572200.0,572300.0,572100.0,219,550
2025-06-12,522200.0,569900.0,520900.0,192,786
2025-06-13,567800.0,568200.0,530300.0,224,511
2025-06-14,566300.0,566600.0,530300.0,224,401
2025-06-15,565100.0,565300.0,564700.0,229,514
2025-06-16,530300.0,530300.0,530300.0,174,974
2025-06-17,559800.0,561500.0,519600.0,190,335
2025-06-18,559100.0,559100.0,559000.0,267,606
2025-06-19,557800.0,558700.0,554900.0,247,651
2025-06-20,555600.0,557500.0,554400.0,219,444
2025-06-21,551250.0,554400.0,443400.0,235,546
2025-06-22,539900.0,548800.0,443500.0,252,628
2025-06-23,539500.0,539700.0,410600.0,222,631
2025-06-24,535000.0,539000.0,411100.0,232,501
2025-06-25,533900.0,534600.0,531400.0,205,465
2025-06-26,531000.0,531100.0,530900.0,247,396
2025-06-27,529500.0,530000.0,413900.0,197,468
2025-06-28,529300.0,529400.0,529100.0,233,733
2025-06-29,523900.0,528500.0,500000.0,228,594
2025-06-30,519600.0,520900.0,418500.0,176,586
2025-07-01,515900.0,518600.0,420100.0,214,589
2025-07-02,499650.0,499700.0,422100.0,178,500
2025-07-03,492900.0,496300.0,423300.0,175,356
2025-07-04,489700.0,489800.0,489500.0,171,556
2025-07-05,486000.0,487900.0,424000.0,260,645
2025-07-06,484700.0,485200.0,424300.0,249,588
2025-07-07,483900.0,484200.0,483700.0,208,491
2025-07-08,483500.0,483700.0,483100.0,197,529
2025-07-09,480500.0,483400.0,426300.0,175,428
2025-07-10,477900.0,478000.0,477800.0,167,423
2025-07-11,466700.0,467400.0,427700.0,164,415
2025-07-12,464800.0,464900.0,464600.0,178,485
2025-07-13,464400.0,464800.0,428400.0,235,685
2025-07-14,464500.0,464600.0,464300.0,163,479
2025-07-15,464900.0,465000.0,445000.0,183,597
