date,average,highest,lowest,order_count,volume
2025-05-20,116192187.5,119200000.0,109100000.0,58,64
2025-05-21,114915517.24,116100000.0,109300000.0,54,58
2025-05-22,112574074.07,114400000.0,108400000.0,48,54
2025-05-23,113779268.29,115000000.0,108400000.0,66,82
2025-05-24,115600000.0,115700000.0,115500000.0,79,101
2025-05-25,118900000.0,119650000.0,118150000.0,87,109
2025-05-26,119900000.0,120500000.0,119900000.0,63,104
2025-05-27,126229729.73,130400000.0,114200000.0,59,74
2025-05-28,123737113.4,128700000.0,115100000.0,83,97
2025-05-29,122927160.49,126100000.0,116400000.0,75,81
2025-05-30,125700000.0,125900000.0,125400000.0,86,104
2025-05-31,129000000.0,129550000.0,128100000.0,88,103
2025-06-01,126600000.0,127100000.0,124300000.0,91,114
2025-06-02,120926744.19,124400000.0,111950000.0,65,86
2025-06-03,123010526.32,124300000.0,111500000.0,80,95
2025-06-04,122924390.24,126500000.0,113200000.0,64,82
2025-06-05,119351685.39,126000000.0,113300000.0,75,89
2025-06-06,114093103.45,119100000.0,107700000.0,62,87
2025-06-07,108860327.87,111700000.0,100400000.0,56,61
2025-06-08,111043488.37,113100000.0,100000000.0,75,86
2025-06-09,110756037.74,114850000.0,98970000.0,46,53
2025-06-10,111045681.82,114700000.0,100200000.0,71,88
2025-06-11,114274090.91,115400000.0,98850000.0,51,66
2025-06-12,112220957.45,115000000.0,99000000.0,83,94
2025-06-13,114600000.0,115500000.0,114000000.0,75,134
2025-06-14,112397600.0,116000000.0,99855000.0,62,75
2025-06-15,111441666.67,113600000.0,101300000.0,56,72
2025-06-16,110879591.84,113000000.0,103200000.0,43,49
2025-06-17,108836585.37,111500000.0,103350000.0,75,82
2025-06-18,109841882.35,111700000.0,100100000.0,67,85
2025-06-19,111296875.0,115000000.0,99590000.0,66,80
2025-06-20,112763764.71,115300000.0,99900000.0,67,85
2025-06-21,113960204.08,115400000.0,107300000.0,84,98
2025-06-22,109874647.89,112300000.0,107500000.0,58,71
2025-06-23,106965529.41,109300000.0,99660000.0,56,85
2025-06-24,107843300.0,110600000.0,107500000.0,74,100
2025-06-25,104704500.0,107550000.0,99630000.0,57,60
2025-06-26,101788536.59,104000000.0,99230000.0,56,82
2025-06-27,99890000.0,100700000.0,97100000.0,79,112
2025-06-28,98956052.63,99940000.0,95690000.0,61,76
2025-06-29,95677391.3,99380000.0,95550000.0,64,69
2025-06-30,94122234.04,95470000.0,90005000.0,67,94
2025-07-01,94435000.0,94520000.0,94370000.0,95,138
2025-07-02,89073026.32,94440000.0,88055000.0,66,76
2025-07-03,97000000.0,99000000.0,94450000.0,80,131
2025-07-04,97141190.48,99355000.0,88190000.0,68,84
2025-07-05,99690000.0,99750000.0,88500000.0,75,104
2025-07-06,97368695.65,98480000.0,89000000.0,59,69
2025-07-07,94257352.94,97550000.0,88660000.0,50,68
2025-07-08,94515270.27,95970000.0,89145000.0,61,74
2025-07-09,93571609.2,95290000.0,89160000.0,70,87
2025-07-10,95260000.0,95400000.0,95170000.0,94,140
2025-07-11,92250901.0,98480000.0,98350.0,34,50
2025-07-12,95054794.52,96905000.0,89610000.0,56,73
2025-07-13,93475324.68,95950000.0,89770000.0,67,77
2025-07-14,93398636.36,95770000.0,90010000.0,59,88
2025-07-15,95159875.0,95840000.0,89510000.0,62,80
