date,average,highest,lowest,order_count,volume
2025-05-20,135145714.29,142400000.0,129600000.0,27,35
2025-05-21,142003947.37,149000000.0,129100000.0,45,76
2025-05-22,141374509.8,153550000.0,132400000.0,42,51
2025-05-23,148369642.86,152100000.0,135600000.0,38,56
2025-05-24,142380357.14,149200000.0,136500000.0,44,56
2025-05-25,140329885.06,146700000.0,129100000.0,55,87
2025-05-26,135430769.23,139400000.0,129900000.0,33,39
2025-05-27,132284507.04,137000000.0,128000000.0,49,71
2025-05-28,137500000.0,139700000.0,105900000.0,52,101
2025-05-29,123050000.0,133400000.0,111000000.0,36,48
2025-05-30,122865333.33,126700000.0,115500000.0,54,75
2025-05-31,127169072.16,134600000.0,125000000.0,61,97
2025-06-01,130693750.0,133800000.0,118650000.0,52,80
2025-06-02,119200000.0,129800000.0,117400000.0,71,107
2025-06-03,126900000.0,134650000.0,121800000.0,68,111
2025-06-04,144400000.0,145700000.0,126300000.0,58,111
2025-06-05,126423529.41,138600000.0,117400000.0,39,68
2025-06-06,122601562.5,125250000.0,116800000.0,47,64
2025-06-07,127311594.2,136800000.0,117200000.0,45,69
2025-06-08,121405405.41,128450000.0,116100000.0,53,74
2025-06-09,125442372.88,129800000.0,116000000.0,40,59
2025-06-10,118257407.41,129500000.0,111100000.0,34,54
2025-06-11,120486666.67,127450000.0,111500000.0,41,60
2025-06-12,117775000.0,123800000.0,110700000.0,41,72
2025-06-13,112072727.27,120300000.0,105600000.0,29,44
2025-06-14,117892592.59,123400000.0,106200000.0,54,81
2025-06-15,113287037.04,119750000.0,107300000.0,38,54
2025-06-16,112885333.33,120100000.0,107300000.0,38,75
2025-06-17,111402222.22,117800000.0,107200000.0,33,45
2025-06-18,111974418.6,116200000.0,105550000.0,25,43
2025-06-19,104944687.5,110000000.0,95040000.0,42,64
2025-06-20,108275810.81,113300000.0,95600000.0,43,74
2025-06-21,107736145.83,114450000.0,95810000.0,72,96
2025-06-22,110254500.0,117900000.0,96550000.0,49,60
2025-06-23,110967571.43,115100000.0,105600000.0,40,70
2025-06-24,114288513.51,115500000.0,114000000.0,39,74
2025-06-25,113853333.33,120900000.0,105000000.0,23,30
2025-06-26,116823529.41,123000000.0,110650000.0,37,68
2025-06-27,117420731.71,123800000.0,111350000.0,45,82
2025-06-28,117926966.29,122500000.0,111800000.0,56,89
2025-06-29,120150000.0,128050000.0,110300000.0,54,116
2025-06-30,118164027.78,125000000.0,106000000.0,47,72
2025-07-01,118127586.21,127250000.0,107900000.0,56,87
2025-07-02,113454545.45,116800000.0,110000000.0,37,55
2025-07-03,120421686.75,129200000.0,110300000.0,44,83
2025-07-04,122000000.0,129500000.0,120700000.0,64,120
2025-07-05,128590769.23,137700000.0,109550000.0,47,65
2025-07-06,125658823.53,137600000.0,112300000.0,45,68
2025-07-07,126818390.8,129000000.0,115100000.0,55,87
2025-07-08,128065384.62,135400000.0,117800000.0,35,52
2025-07-09,130576811.59,135200000.0,129500000.0,39,69
2025-07-10,122558730.16,128000000.0,119400000.0,48,63
2025-07-11,127150847.46,135700000.0,117500000.0,38,59
2025-07-12,134700000.0,135800000.0,119400000.0,71,109
2025-07-13,122472727.27,129000000.0,119700000.0,44,66
2025-07-14,118350000.0,125600000.0,116500000.0,30,48
2025-07-15,111662745.1,118700000.0,109400000.0,27,51
2025-07-16,108396590.91,109550000.0,96945000.0,29,44
2025-07-17,109003200.0,114300000.0,97090000.0,37,50
2025-07-18,103909600.0,111700000.0,97210000.0,38,75
2025-07-19,99022363.64,103000000.0,97020000.0,32,55
2025-07-20,101550000.0,102100000.0,96950000.0,47,102
2025-07-21,95706881.36,98980000.0,55675000.0,40,59
2025-07-22,77298000.0,103950000.0,67270000.0,38,55
2025-07-23,73516285.71,85215000.0,70200000.0,24,35
2025-07-24,78780000.0,79760000.0,70500000.0,61,131
2025-07-25,85200000.0,89670000.0,77770000.0,60,104
2025-07-26,114800000.0,127100000.0,108800000.0,54,122
2025-07-27,121280555.56,133000000.0,90475000.0,49,72
2025-07-28,115538965.52,132400000.0,94180000.0,53,87
2025-07-29,103704920.63,123500000.0,95590000.0,31,63
2025-07-30,113100714.29,120800000.0,96175000.0,46,70
2025-07-31,112818615.38,120100000.0,97780000.0,39,65
2025-08-01,109559531.25,117300000.0,98040000.0,38,64
2025-08-02,100700563.38,108800000.0,98130000.0,42,71
2025-08-03,100608000.0,104700000.0,98090000.0,43,60
2025-08-04,105200000.0,105900000.0,98010000.0,67,133
2025-08-05,100318709.68,106600000.0,91720000.0,40,62
2025-08-06,101651935.48,106000000.0,91770000.0,39,62
2025-08-07,96356153.85,101650000.0,91660000.0,38,52
2025-08-08,93736481.48,101400000.0,75790000.0,41,54
2025-08-09,96155849.06,97980000.0,77820000.0,37,53
2025-08-10,101606000.0,104250000.0,85620000.0,62,90
2025-08-11,101996212.12,108600000.0,90080000.0,44,66
2025-08-12,106644387.75,114700000.0,90310000.0,57,98
2025-08-13,104535483.87,109600000.0,90705000.0,38,62
2025-08-14,94300779.22,99735000.0,92000000.0,49,77
2025-08-15,95157200.0,99680000.0,86070000.0,45,75
2025-08-16,91780298.51,99140000.0,85220000.0,39,67
2025-08-17,88267608.7,98220000.0,85400000.0,49,92
2025-08-18,85376907.22,88880000.0,79545000.0,52,97
2025-08-19,90820000.0,90860000.0,85340000.0,66,115
2025-08-20,87014606.74,90005000.0,80330000.0,44,89
2025-08-21,87356385.54,90630000.0,80610000.0,52,83
2025-08-22,91620618.56,97250000.0,90700000.0,55,97
2025-08-23,91807272.73,96990000.0,82090000.0,38,55
2025-08-24,91850800.0,96150000.0,82350000.0,60,100
2025-08-25,91426615.38,95870000.0,88030000.0,37,65
2025-08-26,91054545.45,94860000.0,88050000.0,41,55
2025-08-27,91898684.21,94360000.0,85010000.0,29,38
2025-08-28,94990000.0,96730000.0,85220000.0,59,106
2025-08-29,105200000.0,117700000.0,98350000.0,79,143
2025-08-30,108020843.37,117200000.0,95770000.0,47,83
2025-08-31,108584729.73,115300000.0,96080000.0,44,74
2025-09-01,100303846.15,108600000.0,96320000.0,39,52
2025-09-02,101684878.05,104200000.0,96290000.0,51,82
2025-09-03,102995352.11,104550000.0,95610000.0,45,71
2025-09-04,103983636.36,108100000.0,95760000.0,50,55
2025-09-05,103055473.68,108900000.0,95890000.0,60,95
2025-09-06,107700000.0,109500000.0,95710000.0,62,155
2025-09-07,93856122.45,101800000.0,85470000.0,35,49
2025-09-08,96738817.2,100100000.0,86100000.0,53,93
2025-09-09,97211800.0,101200000.0,86470000.0,35,50
2025-09-10,91982000.0,99990000.0,87290000.0,47,80
2025-09-11,97398064.52,101300000.0,87450000.0,49,62
