date,average,highest,lowest,order_count,volume
2025-05-20,27389.11,94990.0,20830.0,34,45
2025-05-21,23679.76,80805.0,20830.0,41,84
2025-05-22,22916.09,93425.0,20810.0,25,69
2025-05-23,24616.67,94980.0,20810.0,32,78
2025-05-24,20821.61,20865.0,20820.0,32,56
2025-05-25,20820.0,20820.0,20820.0,46,132
2025-05-26,20820.0,20820.0,20820.0,40,119
2025-05-27,89950.0,89950.0,89950.0,38,175
2025-05-28,20814.44,20820.0,20810.0,33,90
2025-05-29,20792.28,20810.0,20790.0,42,79
2025-05-30,21532.37,89820.0,20790.0,32,93
2025-05-31,20790.0,20790.0,20790.0,44,123
2025-06-01,20790.0,20790.0,20790.0,51,109
2025-06-02,20790.0,20790.0,20790.0,32,70
2025-06-03,25877.68,59990.0,20790.0,37,69
2025-06-04,59990.0,59990.0,59990.0,42,202
2025-06-05,21700.74,69980.0,20790.0,31,54
2025-06-06,30970.29,79800.0,20790.0,37,70
2025-06-07,20790.0,20790.0,20790.0,46,274
2025-06-08,94985.0,94990.0,94970.0,40,394
2025-06-09,20790.0,20790.0,20790.0,43,104
2025-06-10,20790.0,20790.0,20790.0,41,123
2025-06-11,20790.0,20790.0,20790.0,26,110
2025-06-12,20790.0,20790.0,20790.0,41,169
2025-06-13,22701.54,160600.0,20910.0,24,78
2025-06-14,39464.69,160700.0,20920.0,42,98
2025-06-15,20810.0,20810.0,20810.0,33,105
2025-06-16,20812.41,20820.0,20810.0,30,83
2025-06-17,20810.0,20810.0,20810.0,41,149
2025-06-18,20807.27,20810.0,20800.0,22,55
2025-06-19,35225.98,148000.0,20810.0,35,97
2025-06-20,1000.0,1000.0,1000.0,39,111
2025-06-21,3744.12,140900.0,1001.0,29,51
2025-06-22,160900.0,160900.0,160900.0,54,386
2025-06-23,51737.08,160800.0,2007.0,37,83
2025-06-24,160900.0,160900.0,160900.0,33,683
2025-06-25,161000.0,161000.0,161000.0,43,366
2025-06-26,12286.67,167600.0,5003.5,33,67
2025-06-27,47572.39,166400.0,5005.0,27,64
2025-06-28,5010.06,5011.0,5009.0,34,70
2025-06-29,38671.79,149700.0,5013.0,33,67
2025-06-30,12445.96,149300.0,10000.0,28,57
2025-07-01,13988.41,20000.0,10000.0,27,79
2025-07-02,47626.83,123400.0,20000.0,23,41
2025-07-03,30447.46,90000.0,20000.0,26,67
2025-07-04,20000.0,20000.0,20000.0,36,139
2025-07-05,20010.0,20010.0,20010.0,37,117
2025-07-06,25763.21,100000.0,22010.0,31,56
2025-07-07,148800.0,169000.0,22100.0,69,192
2025-07-08,47521.19,51160.0,22100.0,33,77
2025-07-09,63825.22,150000.0,52150.0,31,67
2025-07-10,53834.44,140000.0,52210.0,24,54
2025-07-11,22010.0,52210.0,22000.0,29,164
2025-07-12,26239.65,139600.0,22140.0,37,86
2025-07-13,33038.52,109700.0,22210.0,41,88
2025-07-14,22260.0,99900.0,22230.0,45,110
2025-07-15,22259.43,22260.0,22250.0,38,88
2025-07-16,47525.38,139700.0,22270.0,27,93
2025-07-17,22310.0,22310.0,22300.0,28,262
2025-07-18,71419.0,139800.0,22310.0,30,70
2025-07-19,25465.49,138000.0,24080.0,38,82
2025-07-20,26921.56,30000.0,24230.0,45,90
2025-07-21,24295.53,24410.0,24280.0,23,38
2025-07-22,25553.67,120000.0,24345.0,30,79
2025-07-23,28629.57,123850.0,24305.0,31,46
2025-07-24,45661.47,125000.0,24320.0,33,68
2025-07-25,25709.22,114400.0,24300.0,31,64
2025-07-26,40160.83,114800.0,24300.0,31,60
2025-07-27,49335.44,111850.0,24340.0,36,90
2025-07-28,26509.25,111100.0,24340.0,33,80
2025-07-29,24350.0,110000.0,24350.0,33,113
2025-07-30,47527.93,75000.0,24370.0,30,57
2025-07-31,24370.0,24370.0,24370.0,23,44
2025-08-01,29720.65,106700.0,24370.0,28,77
2025-08-02,24380.0,24380.0,24380.0,27,127
2025-08-03,24384.4,24410.0,24370.0,32,50
2025-08-04,24410.0,24410.0,24410.0,33,182
2025-08-05,59036.24,92950.0,24380.0,26,93
2025-08-06,24390.0,139400.0,24380.0,56,208
2025-08-07,28788.0,134400.0,24390.0,24,50
2025-08-08,32246.88,132300.0,24380.0,36,96
2025-08-09,51856.79,131900.0,24390.0,29,81
2025-08-10,32134.06,131900.0,24390.0,34,69
2025-08-11,57836.09,131400.0,24380.0,32,92
2025-08-12,61738.1,131300.0,24410.0,26,63
2025-08-13,24422.94,24450.0,24420.0,25,51
2025-08-14,49781.15,129400.0,24460.0,30,87
2025-08-15,25542.67,126200.0,24390.0,25,90
2025-08-16,27187.54,103845.0,24400.0,34,57
2025-08-17,29874.14,79980.0,25000.0,44,87
2025-08-18,30377.07,78885.0,25000.0,30,58
2025-08-19,77760.0,79930.0,25030.0,35,143
2025-08-20,33946.33,35030.0,25040.0,31,79
2025-08-21,24420.0,24420.0,24420.0,43,351
2025-08-22,28208.51,113850.0,24400.0,30,47
2025-08-23,24405.51,24410.0,24400.0,26,98
2025-08-24,34086.88,98880.0,24410.0,33,77
