date,average,highest,lowest,order_count,volume
2025-05-20,31762500.0,34470000.0,26375000.0,9,12
2025-05-21,30442500.0,34345000.0,26540000.0,4,4
2025-05-22,33240000.0,33240000.0,33240000.0,2,2
2025-05-23,33657096.77,34800000.0,33090000.0,17,31
2025-05-24,33071111.11,34850000.0,26830000.0,8,9
2025-05-25,43275555.56,52445000.0,34390000.0,17,18
2025-05-26,54365192.86,59760000.0,597700.0,9,28
2025-05-27,40908181.82,54990000.0,27610000.0,6,11
2025-05-28,41931666.67,59730000.0,27770000.0,5,6
2025-05-29,42530000.0,47800000.0,27950000.0,10,10
2025-05-30,46590769.23,47665000.0,35000000.0,10,13
2025-05-31,39470000.0,46800000.0,28480000.0,5,5
2025-06-01,28603076.92,28630000.0,28600000.0,6,13
2025-06-02,28820000.0,28820000.0,28820000.0,1,1
2025-06-03,44416428.55,45530000.0,29179999.73,9,14
2025-06-04,40077777.78,45500000.0,29240000.0,9,18
2025-06-05,36304285.71,45460000.0,29430000.0,7,7
2025-06-06,38024285.71,38795000.0,29870000.0,7,7
2025-06-07,34446250.0,36950000.0,31690000.0,7,8
2025-06-08,30512352.94,30800000.0,30220000.0,14,17
2025-06-09,30722000.0,31190000.0,30155000.0,12,15
2025-06-10,32376000.0,32940000.0,30120000.0,5,5
2025-06-11,32036470.59,32910000.0,30010000.0,12,17
2025-06-12,30038941.18,32980000.0,29600000.0,16,17
2025-06-13,31078333.33,32965000.0,29110000.0,12,12
2025-06-14,31254000.0,32960000.0,29110000.0,5,5
2025-06-15,29832500.0,32000000.0,29110000.0,4,4
2025-06-16,32285384.62,32900000.0,32000000.0,13,13
2025-06-17,36801538.46,38480000.0,29845000.0,11,13
2025-06-18,40026000.0,46380000.0,30495000.0,5,5
2025-06-19,32672500.0,46720000.0,26680000.0,4,4
2025-06-20,26690000.0,26690000.0,26690000.0,1,1
2025-06-21,32878333.33,38970000.0,26800000.0,6,6
2025-06-22,34861111.11,38965000.0,26990000.0,8,9
2025-06-23,33497500.0,34690000.0,27050000.0,4,4
2025-06-24,35280000.0,35280000.0,35280000.0,1,1
2025-06-25,36072857.14,37155000.0,34940000.0,6,7
2025-06-26,30663846.15,34940000.0,27270000.0,9,13
2025-06-27,29739166.67,31955000.0,27360000.0,8,12
2025-06-28,28987500.0,31960000.0,27390000.0,8,8
2025-06-29,28940000.0,31210000.0,27420000.0,5,5
2025-06-30,28747142.86,31080000.0,27455000.0,6,7
2025-07-01,27680000.0,29730000.0,27440000.0,8,17
2025-07-02,28088888.89,29670000.0,27210000.0,5,9
2025-07-03,24976666.67,26250000.0,19170000.0,9,15
2025-07-04,26393164.21,28000000.0,12015060.0,18,38
2025-07-05,17486543.85,25910000.0,42025.0,11,13
2025-07-06,17264400.0,25840000.0,103200.0,5,6
2025-07-07,22773125.0,25890000.0,10050000.0,11,16
2025-07-08,24997777.78,29600000.0,23520000.0,8,9
2025-07-09,20850000.0,31260000.0,10440000.0,2,2
2025-07-10,20840000.0,31200000.0,10480000.0,6,6
2025-07-11,10816666.67,10840000.0,10770000.0,2,3
2025-07-12,26528181.82,28980000.0,26000000.0,10,11
2025-07-13,25093750.0,29955000.0,10965000.0,8,8
2025-07-14,15662500.0,29260000.0,11160000.0,4,4
2025-07-15,28985000.0,28990000.0,28980000.0,2,2
2025-07-16,28546000.0,28935000.0,27000000.0,5,5
2025-07-17,19050000.0,25965000.0,12135000.0,4,4
2025-07-18,19790000.0,24930000.0,12370000.0,11,12
2025-07-19,19395000.0,25940000.0,12850000.0,2,2
2025-07-20,20205714.29,23360000.0,13000000.0,7,7
2025-07-21,20335000.0,23350000.0,13300000.0,10,10
2025-07-22,20625454.55,23315000.0,13400000.0,10,11
2025-07-23,17850000.0,21955000.0,13745000.0,4,4
2025-07-24,20900000.0,21890000.0,13960000.0,8,8
2025-07-25,21816956.52,21880000.0,21780000.0,11,23
2025-07-26,22040000.0,23280000.0,21940000.0,6,14
2025-07-27,22942500.0,23250000.0,22000000.0,4,4
2025-07-28,18144000.0,23315000.0,14710000.0,5,5
2025-07-29,20950000.0,22960000.0,14910000.0,4,4
2025-07-30,23339090.91,23500000.0,19040000.0,11,11
2025-07-31,22038333.33,25935000.0,15210000.0,6,6
2025-08-01,36440208.33,46650000.0,29980000.0,30,48
