date,average,highest,lowest,order_count,volume
2025-05-20,94166538.46,94845000.0,93960000.0,21,26
2025-05-21,92838571.43,93900000.0,85010000.0,14,28
2025-05-22,90632222.22,93880000.0,85120000.0,16,27
2025-05-23,94957065.22,95420000.0,93890000.0,34,92
2025-05-24,105397500.0,117600000.0,85750000.0,14,20
2025-05-25,97805263.16,109500000.0,87490000.0,19,19
2025-05-26,98813076.92,100900000.0,86920000.0,12,13
2025-05-27,103426804.12,110200000.0,100900000.0,43,97
2025-05-28,106450238.1,106800000.0,106300000.0,46,84
2025-05-29,103559333.33,109000000.0,100000000.0,48,60
2025-05-30,106274242.42,108750000.0,92770000.0,30,33
2025-05-31,107163750.0,109000000.0,93460000.0,35,48
2025-06-01,107070400.0,110000000.0,93960000.0,46,50
2025-06-02,106660000.0,109800000.0,96185000.0,18,18
2025-06-03,104018888.89,109200000.0,96540000.0,22,27
2025-06-04,103481190.48,109700000.0,93570000.0,34,42
2025-06-05,104356666.67,109600000.0,89250000.0,17,18
2025-06-06,106747727.27,110100000.0,104900000.0,24,44
2025-06-07,108074324.32,110000000.0,89455000.0,31,37
2025-06-08,107095714.29,109800000.0,90420000.0,14,14
2025-06-09,105333478.26,108200000.0,91595000.0,15,23
2025-06-10,108188292.68,109900000.0,106900000.0,23,41
2025-06-11,105079629.63,109900000.0,92060000.0,19,27
2025-06-12,106965833.33,108900000.0,93050000.0,22,24
2025-06-13,107179444.44,108900000.0,93215000.0,14,18
2025-06-14,107011875.0,108800000.0,94545000.0,9,16
2025-06-15,107854000.0,108800000.0,100640000.0,17,20
2025-06-16,101596428.57,109100000.0,94360000.0,14,14
2025-06-17,107140952.38,108500000.0,94430000.0,17,21
2025-06-18,105956842.11,108100000.0,94460000.0,16,19
2025-06-19,105491851.85,108000000.0,94580000.0,16,27
2025-06-20,104181764.71,108000000.0,95010000.0,17,17
2025-06-21,103047600.0,107900000.0,95120000.0,22,25
2025-06-22,104215000.0,105700000.0,94720000.0,12,16
2025-06-23,99543333.33,102900000.0,94730000.0,8,9
2025-06-24,99394444.44,102200000.0,95010000.0,23,36
2025-06-25,99872222.22,102350000.0,95000000.0,18,18
2025-06-26,99484210.53,102000000.0,94450000.0,16,19
2025-06-27,99445000.0,100600000.0,91710000.0,14,16
