date,average,highest,lowest,order_count,volume
2025-06-02,1650000.0,1650000.0,1650000.0,1,1
2025-06-10,0.01,0.01,0.01,1,4
2025-06-11,0.01,0.01,0.01,1,4
2025-06-13,0.01,0.01,0.01,1,7
2025-06-20,0.01,0.01,0.01,1,1
2025-07-02,1400000.0,1400000.0,1400000.0,1,1
2025-07-06,25.0,25.0,25.0,1,1
2025-07-12,500000.0,500000.0,500000.0,1,1
2025-07-14,125018.75,500000.0,25.0,2,4
2025-07-19,5000.0,5000.0,5000.0,1,4
2025-07-25,5000.0,5000.0,5000.0,1,1
2025-07-31,300000.0,300000.0,300000.0,2,9
2025-08-16,300000.0,300000.0,300000.0,1,1
2025-09-01,364212.5,1163000.0,250100.0,2,8
2025-09-02,250100.0,250100.0,250100.0,1,2
2025-09-03,1164000.0,1164000.0,1164000.0,1,1
2025-09-14,1211843.75,1294000.0,1166000.0,6,32
2025-09-15,300000.0,300000.0,300000.0,1,3
2025-09-23,350100.0,350100.0,350100.0,1,3
2025-09-25,350100.0,350100.0,350100.0,1,6
2025-09-26,300000.0,300000.0,300000.0,1,1
2025-10-07,331250.0,350000.0,300000.0,2,16
2025-10-10,2000000.0,2000000.0,2000000.0,1,4
2025-10-18,100100.0,100100.0,100100.0,1,1
2025-10-21,1994000.0,1994000.0,1994000.0,1,1
2025-10-25,150100.0,150100.0,150100.0,1,2
2025-11-03,836000.0,1994000.0,450000.0,2,4
2025-11-04,575000.0,575000.0,575000.0,1,5
2025-11-08,1101000.0,1101000.0,1101000.0,1,2
2025-11-11,1101000.0,1101000.0,1101000.0,1,1
2025-11-12,5799000.0,5799000.0,5799000.0,1,1
