date,average,highest,lowest,order_count,volume
2025-05-20,538640.0,799950.0,16020.0,3,3
2025-05-21,799900.0,799900.0,799900.0,1,1
2025-05-22,400000.0,400000.0,400000.0,1,1
2025-05-23,16020.0,16020.0,16020.0,2,2
2025-05-25,16030.0,16030.0,16030.0,1,1
2025-05-26,16040.0,16040.0,16040.0,1,2
2025-05-27,257920.0,499800.0,16040.0,2,2
2025-05-28,16040.0,16040.0,16040.0,2,2
2025-05-30,499500.0,499500.0,499500.0,1,1
2025-05-31,338613.33,499900.0,16040.0,3,3
2025-06-01,144026.67,400000.0,16040.0,2,3
2025-06-02,380000.0,380000.0,380000.0,1,1
2025-06-03,375000.0,375000.0,375000.0,1,1
2025-06-05,16040.0,16040.0,16040.0,3,9
2025-06-06,300000.0,300000.0,300000.0,1,1
2025-06-07,16040.0,16040.0,16040.0,2,4
2025-06-08,17000.0,17000.0,17000.0,1,1
2025-06-09,158500.0,300000.0,17000.0,2,2
2025-06-11,300000.0,300000.0,300000.0,2,2
2025-06-12,17000.0,17000.0,17000.0,1,1
2025-06-13,158500.0,300000.0,17000.0,2,2
2025-06-14,17010.0,17010.0,17010.0,1,1
2025-06-15,17010.0,17010.0,17010.0,2,8
2025-06-16,17015.0,17020.0,17010.0,2,2
2025-06-17,236168.33,280000.0,17010.0,2,6
2025-06-19,275000.0,275000.0,275000.0,2,2
2025-06-20,17010.0,17010.0,17010.0,1,1
2025-06-21,17020.0,17020.0,17020.0,1,6
2025-06-22,192273.33,279900.0,17020.0,2,3
2025-06-23,37233.08,279900.0,17010.0,4,13
2025-06-24,273333.33,275000.0,270000.0,4,12
2025-06-25,103006.67,275000.0,17010.0,3,3
2025-06-26,25159.24,275000.0,0.05,5,50
2025-06-27,186600.02,279900.0,0.05,3,3
2025-06-28,279800.0,279800.0,279800.0,1,1
2025-06-29,124975.5,249950.0,1.0,4,4
2025-06-30,1.0,1.0,1.0,1,1
2025-07-01,249900.0,249900.0,249900.0,1,1
2025-07-02,1.0,1.0,1.0,1,1
2025-07-03,250000.0,250000.0,250000.0,1,1
2025-07-05,146667.0,220000.0,1.0,3,3
2025-07-06,36667.5,220000.0,1.0,4,6
2025-07-07,1.01,1.01,1.01,1,1
2025-07-08,219800.0,219800.0,219800.0,1,1
2025-07-09,19991.83,219900.0,1.01,3,11
2025-07-10,219825.0,219900.0,219800.0,2,4
2025-07-11,1.01,1.01,1.01,1,3
2025-07-12,19946.37,219400.0,1.01,3,11
2025-07-13,272898.47,499900.0,219200.0,15,64
2025-07-14,120000.0,120000.0,120000.0,4,5
2025-07-15,1.0,1.0,1.0,1,1
