date,average,highest,lowest,order_count,volume
2025-05-20,48400000.0,61480000.0,35330000.0,4,6
2025-05-21,35350000.0,35350000.0,35350000.0,2,2
2025-05-22,61370000.0,61370000.0,61370000.0,1,1
2025-05-23,61150000.0,61150000.0,61150000.0,1,1
2025-05-24,61123333.33,61130000.0,61110000.0,2,3
2025-05-25,61070000.0,61115000.0,60980000.0,3,3
2025-05-26,61077142.86,61080000.0,61070000.0,5,7
2025-05-27,60895000.0,61100000.0,59990000.0,5,6
2025-05-28,60990000.0,60990000.0,60990000.0,1,1
2025-05-29,61000000.0,61000000.0,61000000.0,1,2
2025-05-30,48315000.0,60990000.0,35640000.0,2,2
2025-05-31,62444000.0,63570000.0,61100000.0,14,50
2025-06-01,55226666.67,64895000.0,35890000.0,3,3
2025-06-02,64960000.0,64960000.0,64960000.0,1,2
2025-06-07,63220000.0,63220000.0,63220000.0,2,3
2025-06-08,40090666.67,40110000.0,40000000.0,8,15
2025-06-09,63950000.0,63960000.0,63940000.0,2,4
2025-06-12,63060000.0,63550000.0,63000000.0,6,27
2025-06-13,40290000.0,40290000.0,40290000.0,1,2
2025-06-14,51908333.33,63530000.0,40280000.0,5,6
2025-06-15,63530000.0,63530000.0,63530000.0,1,1
2025-06-16,64758888.89,64960000.0,63970000.0,13,27
2025-06-18,114000000.0,114000000.0,114000000.0,2,2
2025-06-19,80000000.0,80000000.0,80000000.0,1,1
2025-06-21,69996666.67,70000000.0,69990000.0,2,3
2025-06-22,86631666.67,114900000.0,70000000.0,3,6
2025-06-26,55640000.0,55640000.0,55640000.0,3,5
2025-06-27,55630000.0,55630000.0,55630000.0,1,2
2025-06-28,61058000.0,69200000.0,55630000.0,2,5
2025-06-30,57818000.0,59530000.0,55200000.0,9,15
2025-07-03,55200000.0,55200000.0,55200000.0,1,1
2025-07-04,56196000.0,58995000.0,45000000.0,4,5
2025-07-05,59000000.0,59000000.0,59000000.0,1,1
2025-07-06,59400000.0,59400000.0,59400000.0,1,1
2025-07-10,59466666.67,59500000.0,59400000.0,2,3
2025-07-11,60642000.0,70000000.0,56385000.0,9,25
2025-07-12,30020000.0,30020000.0,30020000.0,1,1
2025-07-13,111500000.0,111500000.0,111500000.0,1,1
2025-07-14,30220000.0,30220000.0,30220000.0,1,3
2025-07-15,79900000.0,79900000.0,79900000.0,1,3
2025-07-17,79950000.0,80000000.0,79900000.0,2,2
2025-07-20,48560000.0,66700000.0,30420000.0,2,2
2025-07-22,43782222.22,66800000.0,30430000.0,6,9
2025-07-25,77880000.0,77880000.0,77880000.0,1,1
2025-07-27,66032500.0,77890000.0,30450000.0,7,8
2025-07-30,64960000.0,65000000.0,64950000.0,3,4
2025-07-31,73900000.0,73900000.0,73900000.0,1,3
2025-08-01,73990000.0,73990000.0,73990000.0,1,1
2025-08-02,73500000.0,73500000.0,73500000.0,1,1
2025-08-03,32020000.0,32020000.0,32020000.0,1,2
2025-08-06,73950000.0,73950000.0,73950000.0,1,1
2025-08-07,73930000.0,73940000.0,73920000.0,2,2
2025-08-08,73970000.0,73970000.0,73970000.0,1,3
2025-08-10,73963333.33,73970000.0,73960000.0,2,3
2025-08-11,73975000.0,74000000.0,73970000.0,2,6
2025-08-14,73993333.33,74000000.0,73990000.0,2,3
2025-08-15,32375000.0,32380000.0,32370000.0,2,6
2025-08-16,72860000.0,72860000.0,72860000.0,1,1
2025-08-17,72830000.0,72830000.0,72830000.0,1,2
2025-08-18,32450000.0,32450000.0,32450000.0,1,1
2025-08-19,32450000.0,32450000.0,32450000.0,1,1
2025-08-23,32460000.0,32460000.0,32460000.0,1,2
2025-08-28,33550000.0,33550000.0,33550000.0,1,1
2025-08-29,33550000.0,33550000.0,33550000.0,1,2
2025-08-30,33560000.0,33560000.0,33560000.0,1,2
2025-08-31,49707500.0,49725000.0,49690000.0,6,8
2025-09-03,48000000.0,48000000.0,48000000.0,1,2
2025-09-05,34000000.0,34000000.0,34000000.0,2,3
2025-09-07,48590000.0,49000000.0,47990000.0,4,13
2025-09-08,34130000.0,34130000.0,34130000.0,1,3
2025-09-09,71460000.0,71460000.0,71460000.0,1,1
2025-09-10,71470000.0,71480000.0,71460000.0,2,4
2025-09-15,41850000.0,64410000.0,34330000.0,4,4
2025-09-18,34390000.0,34390000.0,34390000.0,1,7
2025-09-19,60350000.0,60350000.0,60350000.0,2,3
2025-09-20,34000000.0,34000000.0,34000000.0,3,3
2025-09-21,61583750.0,61995000.0,60350000.0,7,8
2025-09-22,34157500.0,34340000.0,33610000.0,2,4
2025-09-24,59000000.0,59000000.0,59000000.0,1,1
2025-09-27,60970000.0,60970000.0,60970000.0,1,1
2025-09-28,60970000.0,60970000.0,60970000.0,1,1
2025-10-02,50582000.0,60970000.0,35000000.0,3,5
2025-10-04,35000000.0,35000000.0,35000000.0,1,5
2025-10-05,61158333.33,62000000.0,61000000.0,4,6
2025-10-06,8035289.47,33715000.0,500.0,6,57
2025-10-09,61890000.0,61990000.0,61840000.0,2,3
2025-10-11,46984750.0,60920000.0,5024000.0,7,8
2025-10-12,5034666.67,5035000.0,5034000.0,2,3
2025-10-14,62977500.0,62980000.0,62960000.0,3,4
2025-10-15,70352318.18,72780000.0,65000000.0,10,22
2025-10-18,75000000.0,75000000.0,75000000.0,1,3
2025-10-19,72500000.0,75000000.0,70000000.0,2,2
2025-10-27,28450000.0,28450000.0,28450000.0,1,1
2025-10-29,74806000.0,74870000.0,74760000.0,3,5
2025-11-01,74884444.44,74890000.0,74880000.0,3,9
2025-11-02,91491666.67,173950000.0,75000000.0,6,12
2025-11-05,169000000.0,169000000.0,169000000.0,1,1
2025-11-09,44326666.67,44330000.0,44320000.0,2,6
