date,average,highest,lowest,order_count,volume
2025-05-22,412100.0,412100.0,412100.0,1,1
2025-05-26,6800000.0,6800000.0,6800000.0,1,1
2025-05-27,5128725.0,6800000.0,414900.0,4,4
2025-05-28,413500.0,414900.0,412100.0,2,2
2025-06-02,6800000.0,6800000.0,6800000.0,1,1
2025-06-04,6899000.0,6899000.0,6899000.0,2,2
2025-06-05,6899000.0,6899000.0,6899000.0,1,1
2025-06-08,415000.0,415000.0,415000.0,1,1
2025-06-10,412100.0,412100.0,412100.0,2,2
2025-06-11,6899000.0,6899000.0,6899000.0,1,1
2025-06-14,2033825.0,6899000.0,412100.0,2,4
2025-06-20,412200.0,412200.0,412200.0,1,1
2025-06-22,4999000.0,4999000.0,4999000.0,1,1
2025-06-23,412185.71,412200.0,412100.0,2,7
2025-06-30,412200.0,412200.0,412200.0,1,1
2025-07-08,412200.0,412200.0,412200.0,1,1
2025-07-10,412200.0,412200.0,412200.0,1,5
2025-07-19,4961000.0,4961000.0,4961000.0,1,1
2025-07-20,412200.0,412200.0,412200.0,1,2
2025-07-28,4958000.0,4958000.0,4958000.0,1,1
2025-08-18,4879000.0,4879000.0,4879000.0,1,1
2025-08-27,4847000.0,4847000.0,4847000.0,1,1
2025-09-03,4843000.0,4843000.0,4843000.0,1,1
2025-09-04,4843000.0,4843000.0,4843000.0,1,1
2025-09-05,4843000.0,4843000.0,4843000.0,1,1
2025-09-07,4843000.0,4843000.0,4843000.0,1,1
2025-09-08,4842000.0,4842000.0,4842000.0,2,2
2025-09-09,4842000.0,4842000.0,4842000.0,1,1
2025-09-11,4842000.0,4842000.0,4842000.0,1,1
2025-09-13,4842000.0,4842000.0,4842000.0,1,1
2025-09-15,510100.0,510100.0,510100.0,1,2
2025-09-17,510300.0,510300.0,510300.0,1,1
2025-09-22,4493000.0,4493000.0,4493000.0,1,1
2025-09-30,530100.0,530100.0,530100.0,1,1
2025-10-09,550200.0,550200.0,550200.0,1,1
2025-10-10,4491000.0,4491000.0,4491000.0,1,1
2025-10-11,4536117.65,4858500.0,4492000.0,6,17
2025-10-15,668525.0,670000.0,667050.0,3,4
2025-10-24,751600.0,751600.0,751600.0,1,1
2025-10-29,811000.0,811000.0,811000.0,1,1
2025-10-30,11040000.0,11040000.0,11040000.0,1,1
2025-11-01,10510000.0,10510000.0,10510000.0,1,1
2025-11-03,870050.0,870100.0,870000.0,2,4
2025-11-09,9779000.0,9779000.0,9779000.0,1,1
2025-11-11,9778000.0,9778000.0,9778000.0,1,1
2025-11-14,940400.0,940400.0,940400.0,1,1
