date,average,highest,lowest,order_count,volume
2025-05-23,1813000.0,1813000.0,1813000.0,1,1
2025-06-06,16880000.0,16880000.0,16880000.0,1,1
2025-06-07,16880000.0,16880000.0,16880000.0,1,1
2025-06-15,16400000.0,16400000.0,16400000.0,1,1
2025-06-28,11990000.0,11990000.0,11990000.0,1,1
2025-07-04,14990000.0,14990000.0,14990000.0,1,1
2025-07-05,16570000.0,16570000.0,16570000.0,1,1
2025-07-20,5901000.0,5901000.0,5901000.0,1,1
2025-07-25,16000000.0,16000000.0,16000000.0,1,1
2025-08-30,16890000.0,16890000.0,16890000.0,1,1
2025-09-12,16890000.0,16890000.0,16890000.0,1,2
2025-09-14,16890000.0,16890000.0,16890000.0,1,1
2025-09-15,1905000.0,1905000.0,1905000.0,1,1
2025-10-07,16860000.0,16860000.0,16860000.0,1,1
2025-10-08,15000000.0,15000000.0,15000000.0,1,1
2025-10-09,16940000.0,17000000.0,16880000.0,2,2
2025-10-30,2014000.0,2014000.0,2014000.0,1,1
