date,average,highest,lowest,order_count,volume
2025-05-20,57000.0,57000.0,57000.0,1,1
2025-05-21,57000.0,57000.0,57000.0,1,1
2025-05-22,628250.0,1199500.0,57000.0,4,4
2025-05-23,57000.0,57000.0,57000.0,2,2
2025-05-24,392500.0,1399000.0,57000.0,5,8
2025-05-25,438000.0,1200000.0,57000.0,2,3
2025-05-26,313400.0,1339000.0,57000.0,6,10
2025-05-27,910700.0,1337500.0,57100.0,3,3
2025-05-28,57100.0,57100.0,57100.0,1,2
2025-05-29,57115.0,57120.0,57110.0,2,2
2025-05-30,57140.0,57140.0,57140.0,1,1
2025-05-31,403070.0,749000.0,57140.0,2,2
2025-06-01,230105.0,749000.0,57140.0,2,4
2025-06-02,279760.0,725000.0,57140.0,3,3
2025-06-03,287766.67,749000.0,57150.0,2,3
2025-06-06,57160.0,57160.0,57160.0,1,3
2025-06-07,57160.0,57160.0,57160.0,4,5
2025-06-08,57160.0,57160.0,57160.0,2,3
2025-06-09,57160.0,57160.0,57160.0,3,3
2025-06-10,57160.0,57160.0,57160.0,1,1
2025-06-12,57200.0,57200.0,57200.0,1,4
2025-06-13,57200.0,57200.0,57200.0,3,4
2025-06-14,666100.0,666100.0,666100.0,1,1
2025-06-15,57220.0,57220.0,57220.0,2,5
2025-06-17,394435.56,664900.0,57230.0,6,9
2025-06-18,57250.0,57250.0,57250.0,1,1
2025-06-19,328125.0,599000.0,57250.0,2,2
2025-06-20,57280.0,57280.0,57280.0,2,2
2025-06-21,57300.0,57300.0,57300.0,2,8
2025-06-22,186225.0,573000.0,57300.0,4,4
2025-06-23,57300.0,57300.0,57300.0,1,1
2025-06-24,278650.0,500000.0,57300.0,2,2
2025-06-25,192625.0,598600.0,57300.0,4,4
2025-06-26,57280.0,57280.0,57280.0,1,1
2025-06-27,57280.0,57280.0,57280.0,1,1
2025-06-29,165560.0,598600.0,57300.0,4,5
2025-07-01,57300.0,57300.0,57300.0,1,2
2025-07-02,57300.0,57300.0,57300.0,4,4
2025-07-03,57300.0,57300.0,57300.0,1,2
2025-07-04,57312.0,57320.0,57300.0,2,5
2025-07-05,126291.43,540000.0,57340.0,3,7
2025-07-06,57340.0,57340.0,57340.0,2,7
2025-07-07,57340.0,57340.0,57340.0,1,2
2025-07-08,57370.0,57370.0,57370.0,1,2
2025-07-09,57390.0,57400.0,57370.0,2,6
2025-07-10,537000.0,537000.0,537000.0,1,1
2025-07-11,57370.0,57370.0,57370.0,1,1
2025-07-12,153200.0,537000.0,57250.0,3,5
2025-07-13,57250.0,57250.0,57250.0,3,3
2025-07-14,57175.0,57250.0,57150.0,4,8
2025-07-15,604713.0,748400.0,537000.0,20,50
2025-07-16,957200.0,957200.0,957200.0,2,2
2025-07-17,56280.0,56280.0,56280.0,1,1
2025-07-18,356520.0,957000.0,56280.0,3,3
2025-07-19,56270.0,56280.0,56250.0,3,3
