date,average,highest,lowest,order_count,volume
2025-05-20,253050000.0,254300000.0,252800000.0,6,6
2025-05-21,254733333.33,254800000.0,254600000.0,6,6
2025-05-22,255000000.0,255000000.0,255000000.0,4,4
2025-05-23,225500000.0,225500000.0,225500000.0,1,1
2025-05-24,244866666.67,249800000.0,235000000.0,3,3
2025-05-25,251566666.67,255400000.0,237800000.0,9,9
2025-05-26,248233333.33,259300000.0,226100000.0,3,3
2025-05-27,259083333.33,259300000.0,259000000.0,6,6
2025-05-28,239150000.0,252000000.0,226300000.0,2,2
2025-05-29,249800000.0,249800000.0,249800000.0,1,1
2025-05-30,237350000.0,248900000.0,225800000.0,2,2
2025-05-31,244466666.67,247400000.0,232900000.0,9,9
2025-06-01,248600000.0,252600000.0,225800000.0,7,7
2025-06-02,226000000.0,226000000.0,226000000.0,1,1
2025-06-03,257460000.0,257500000.0,257350000.0,5,5
2025-06-04,257666666.67,257700000.0,257600000.0,3,3
2025-06-05,255100000.0,255100000.0,255100000.0,1,1
2025-06-06,238600000.0,251000000.0,226200000.0,2,2
2025-06-07,247142857.14,250900000.0,226200000.0,7,7
2025-06-08,248328571.43,251050000.0,231200000.0,7,7
2025-06-09,257571428.57,259900000.0,255200000.0,7,7
2025-06-10,266366666.67,269550000.0,260000000.0,3,3
2025-06-11,270283333.33,275000000.0,269300000.0,6,6
2025-06-12,275300000.0,275300000.0,275300000.0,1,1
2025-06-13,265466666.67,273700000.0,249000000.0,3,3
2025-06-14,253542857.14,257900000.0,227500000.0,7,7
2025-06-15,275340000.0,275950000.0,274900000.0,5,5
2025-06-16,276000000.0,276000000.0,276000000.0,1,1
2025-06-17,269033333.33,269400000.0,268300000.0,3,3
2025-06-18,268500000.0,268500000.0,268500000.0,1,1
2025-06-19,240200000.0,240200000.0,240200000.0,1,1
2025-06-20,240800000.0,244900000.0,239700000.0,4,5
2025-06-21,239966666.67,243250000.0,238200000.0,5,6
2025-06-22,233000000.0,239400000.0,220300000.0,8,8
2025-06-23,234450000.0,239200000.0,220300000.0,4,4
2025-06-24,239350000.0,239500000.0,239200000.0,2,2
2025-06-25,239800000.0,240000000.0,239600000.0,2,2
2025-06-26,234400000.0,235300000.0,233950000.0,3,3
2025-06-27,206600000.0,239650000.0,140500000.0,3,3
2025-06-28,206866666.67,238000000.0,144600000.0,3,3
2025-06-29,218900000.0,219000000.0,218800000.0,2,2
2025-06-30,219700000.0,220000000.0,219400000.0,2,2
2025-07-01,212375000.0,238900000.0,151000000.0,4,4
2025-07-02,241440000.0,244050000.0,239600000.0,5,5
2025-07-03,230350000.0,230400000.0,230300000.0,2,2
