date,average,highest,lowest,order_count,volume
2025-05-21,20067.0,29950.0,301.0,3,3
2025-05-22,301.0,301.0,301.0,3,8
2025-05-23,11375.28,22450.0,300.55,4,4
2025-05-24,15148.0,29995.0,301.0,4,4
2025-05-25,8651.16,29990.0,301.0,5,32
2025-05-26,30000.0,30000.0,30000.0,12,155
2025-05-27,75203.33,225000.0,305.0,6,6
2025-05-28,42061.43,292600.0,305.0,5,7
2025-05-29,108016.67,292400.0,100000.0,4,24
2025-05-30,104971.43,132800.0,100000.0,6,7
2025-05-31,101900.0,101900.0,101900.0,3,3
2025-06-01,132988.89,248450.0,100000.0,6,9
2025-06-02,97219.72,100000.0,305.0,8,72
2025-06-03,62253.8,248100.0,305.1,4,4
2025-06-04,43367.23,50000.0,20152.55,3,9
2025-06-05,68413.14,243500.0,12000.0,7,8
2025-06-06,52953.53,199200.0,309.0,4,4
2025-06-07,309.0,309.0,309.0,1,1
2025-06-08,40157.8,99990.0,309.0,12,20
2025-06-09,18408.18,199400.0,309.0,6,11
2025-06-10,30187.65,199500.0,309.0,8,20
2025-06-11,309.0,309.0,309.0,5,5
2025-06-12,309.8,310.0,309.0,6,10
2025-06-14,137277.98,179900.0,40000.0,9,13
2025-06-15,124053.45,150000.0,313.8,4,4
2025-06-16,313.8,313.8,313.8,2,4
2025-06-17,313.8,313.8,313.8,4,4
2025-06-18,313.8,313.8,313.8,2,3
2025-06-19,29347.65,160000.0,313.8,8,11
2025-06-20,313.76,313.8,313.69,3,3
2025-06-21,313.8,313.8,313.8,8,12
2025-06-22,40168.28,99950.0,313.8,5,5
2025-06-23,33539.2,99990.0,313.8,3,3
2025-06-24,33457.53,99745.0,313.8,4,6
2025-06-25,313.8,313.8,313.8,2,2
2025-06-26,313.8,313.8,313.8,3,4
2025-06-27,313.8,313.8,313.8,2,3
2025-06-28,313.8,313.8,313.8,4,4
2025-06-29,29768.28,73950.0,313.8,5,5
2025-06-30,9280.24,85495.0,313.8,7,19
2025-07-01,63431.27,94990.0,313.8,3,3
2025-07-02,31842.53,94900.0,313.8,3,3
2025-07-03,313.83,313.9,313.8,4,4
2025-07-04,47651.9,94990.0,313.8,2,2
2025-07-05,313.8,313.8,313.8,2,6
2025-07-06,311.0,311.0,311.0,2,24
2025-07-07,4143.11,34800.0,311.0,6,9
