date,average,highest,lowest,order_count,volume
2025-05-20,0.02,0.02,0.01,6,6
2025-05-21,49990.0,49990.0,49990.0,1,1
2025-05-22,16332.24,49000.0,0.02,4,9
2025-05-23,13330.01,39990.0,0.01,3,3
2025-05-24,5712.87,39990.0,0.01,7,7
2025-05-25,0.01,0.01,0.01,4,26
2025-05-26,4759.7,10000.0,1000.0,12,67
2025-05-27,36354.55,79980.0,0.01,8,11
2025-05-28,10.0,10.0,10.0,6,9
2025-05-29,3997.0,39880.0,10.0,8,10
2025-05-30,5287.14,31950.0,10.0,9,14
2025-05-31,6256.67,29990.0,10.0,10,12
2025-06-01,634.32,9999.0,10.01,12,16
2025-06-02,31970.0,32000.0,30000.0,24,128
2025-06-03,4292.86,15000.0,10.01,7,7
2025-06-04,42335.77,69810.0,15000.0,12,26
2025-06-05,27927.02,69800.0,10.03,10,10
2025-06-06,6058.93,54450.0,10.05,12,18
2025-06-07,21673.37,65000.0,10.05,3,3
2025-06-08,26760.74,68500.0,10.05,21,42
2025-06-09,16154.95,79900.0,10.05,17,26
2025-06-10,10.05,10.05,10.05,6,25
2025-06-11,10.05,10.05,10.05,1,1
2025-06-12,1216.48,16900.0,10.05,6,14
2025-06-13,10.05,10.05,10.05,3,3
2025-06-14,10.05,10.05,10.05,7,9
2025-06-15,1932.54,7700.0,10.05,4,4
2025-06-16,525.75,1900.0,10.05,14,28
2025-06-17,388.04,1900.0,10.05,5,5
2025-06-18,10.05,10.05,10.01,7,10
2025-06-19,853.06,1499.0,10.01,13,21
2025-06-20,1480.01,5000.0,10.01,4,4
2025-06-21,372.28,2500.0,10.01,10,22
2025-06-22,1343.64,4900.0,10.01,9,11
2025-06-23,892.86,3100.0,10.01,5,7
2025-06-24,3386.07,8450.0,10.11,5,5
2025-06-25,10.11,10.11,10.11,7,8
2025-06-26,2686.26,34800.0,10.11,9,13
2025-06-27,10.11,10.11,10.11,1,1
2025-06-28,3688.18,18400.0,10.26,3,5
2025-06-29,10.27,10.27,10.27,4,4
2025-06-30,510.05,18500.0,10.33,6,37
2025-07-01,6606.2,16500.0,10.33,3,5
2025-07-02,3664.27,18280.0,10.34,5,5
2025-07-03,10.34,10.34,10.34,3,6
2025-07-04,10.34,10.34,10.34,5,5
2025-07-05,553.05,2000.0,10.45,6,11
2025-07-06,531.68,18280.0,10.45,8,72
2025-07-07,10.45,10.45,10.45,7,13
2025-07-08,9145.23,18280.0,10.45,4,4
2025-07-09,10.69,11.0,10.45,7,9
2025-07-10,1070.33,1600.0,11.0,3,3
2025-07-11,11.0,11.0,11.0,5,7
2025-07-12,11.0,11.0,11.0,2,2
2025-07-13,1554.45,8500.0,11.0,7,11
2025-07-14,4508.27,18000.0,11.03,4,4
2025-07-15,18000.0,18000.0,18000.0,2,2
2025-07-16,12.83,13.0,12.0,6,6
2025-07-17,13.0,13.0,13.0,4,4
2025-07-18,13.0,13.0,13.0,4,5
2025-07-19,13.0,13.0,13.0,5,6
2025-07-20,13.56,15.0,13.0,6,9
2025-07-21,15.0,15.0,15.0,5,5
2025-07-22,14.91,15.0,14.0,6,11
2025-07-23,85.35,999.9,15.0,6,14
2025-07-24,348.07,1000.0,14.0,11,68
2025-07-25,211.2,1000.0,14.0,3,5
2025-07-26,14.4,15.0,14.0,4,5
2025-07-27,1248.63,4949.5,15.0,8,8
2025-07-28,15.0,15.0,15.0,4,9
2025-07-29,15.0,15.0,15.0,3,3
2025-07-30,15.0,15.0,15.0,2,2
2025-07-31,15.0,15.0,15.0,4,4
2025-08-01,227.07,1499.5,15.0,7,14
2025-08-02,676.56,2000.0,15.0,7,9
2025-08-03,812.0,4000.0,15.0,5,5
2025-08-04,15.0,15.0,15.0,5,6
2025-08-05,15.0,15.0,15.0,1,1
2025-08-06,15.0,15.01,15.0,5,7
2025-08-07,1011.25,4000.0,15.0,4,4
2025-08-08,4498.0,4498.0,4498.0,14,118
2025-08-09,6086.67,18230.0,15.0,6,6
2025-08-10,412.0,2000.0,15.01,4,5
2025-08-11,411.8,1999.0,15.0,5,5
2025-08-12,15.0,15.0,15.0,2,3
2025-08-13,1007.5,2000.0,15.0,2,2
2025-08-14,263.13,2000.0,15.0,3,8
2025-08-15,1206.0,2000.0,15.0,3,5
2025-08-16,6333.33,8000.0,5000.0,3,15
