date,average,highest,lowest,order_count,volume
2025-05-21,499950.0,500000.0,499900.0,2,2
2025-05-22,166400.01,998400.0,0.01,3,6
2025-05-23,0.01,0.01,0.01,1,1
2025-05-24,998000.0,998000.0,998000.0,1,1
2025-05-25,0.01,0.01,0.01,1,5
2025-05-26,0.01,0.01,0.01,1,1
2025-05-28,995700.0,995700.0,995700.0,1,1
2025-05-29,940108.33,997200.0,100000.0,10,12
2025-06-01,100000.0,100000.0,100000.0,3,3
2025-06-02,100000.0,100000.0,100000.0,3,7
2025-06-04,315440.0,400000.0,199350.0,4,10
2025-06-05,769333.33,1104000.0,100000.0,3,3
2025-06-06,1105000.0,1105000.0,1105000.0,1,1
2025-06-07,433333.33,600000.0,100000.0,3,3
2025-06-08,100000.0,100000.0,100000.0,1,5
2025-06-09,101000.0,101000.0,101000.0,2,3
2025-06-10,100375.0,101000.0,100000.0,3,8
2025-06-11,672250.0,1043500.0,301000.0,4,4
2025-06-13,100000.0,100000.0,100000.0,3,3
2025-06-14,814450.0,829700.0,646000.0,5,12
2025-06-15,842900.0,842900.0,842900.0,1,1
2025-06-16,347600.0,842800.0,100000.0,3,3
2025-06-18,743500.0,743500.0,743500.0,2,2
2025-06-19,174750.01,699000.0,0.01,4,4
2025-06-20,0.01,0.01,0.01,1,1
2025-06-21,0.01,0.01,0.01,3,6
2025-06-22,449800.0,449800.0,449800.0,1,1
2025-06-24,0.01,0.01,0.01,1,1
2025-06-25,0.01,0.01,0.01,1,1
2025-06-26,349800.0,349800.0,349800.0,1,1
2025-06-27,348900.0,348900.0,348900.0,1,1
2025-06-28,100.0,100.0,100.0,1,1
2025-06-29,100.0,100.0,100.0,1,1
2025-06-30,100.0,100.0,100.0,1,13
2025-07-01,100.0,100.0,100.0,2,2
2025-07-03,100.0,100.0,100.0,1,1
2025-07-04,120000.0,120000.0,120000.0,1,1
2025-07-05,170.0,170.0,170.0,1,1
2025-07-06,170.0,170.0,170.0,1,19
2025-07-07,170.0,170.0,170.0,2,4
2025-07-08,280765.71,350000.0,231600.0,11,21
2025-07-09,170.0,170.0,170.0,2,2
2025-07-10,537333.33,632000.0,490000.0,3,3
2025-07-12,255088.6,510000.0,177.2,2,2
2025-07-13,250088.6,500000.0,177.2,2,2
2025-07-15,178.0,178.0,178.0,2,2
2025-07-16,178.0,178.0,178.0,1,1
2025-07-18,178.0,178.0,178.0,1,1
2025-07-19,178.0,178.0,178.0,1,1
2025-07-20,190.0,202.0,178.0,2,2
2025-07-21,220101.0,440000.0,202.0,2,2
2025-07-22,449000.0,449000.0,449000.0,1,1
2025-07-23,463000.0,490000.0,449500.0,3,3
2025-07-26,202.0,202.0,202.0,1,1
2025-07-27,222250.0,222300.0,222200.0,2,2
2025-08-01,100051.0,199900.0,202.0,2,2
2025-08-02,211000.0,222000.0,200000.0,2,2
2025-08-03,200000.0,200000.0,200000.0,1,1
2025-08-09,199900.0,199900.0,199900.0,1,1
2025-08-10,204.05,204.1,204.0,2,2
2025-08-11,100000.0,100000.0,100000.0,1,1
2025-08-13,118401.33,177500.0,204.0,3,3
2025-08-14,204.0,204.0,204.0,2,3
2025-08-15,170000.0,170000.0,170000.0,1,1
2025-08-17,174900.0,174900.0,174900.0,1,1
2025-08-18,204.0,204.0,204.0,1,1
2025-08-19,174450.0,174500.0,174400.0,2,2
2025-08-22,182000.0,182000.0,182000.0,1,1
2025-08-23,300.0,300.0,300.0,1,1
2025-08-26,90000.0,90000.0,90000.0,1,1
2025-08-28,300.0,300.0,300.0,1,1
2025-08-29,300.1,300.1,300.1,1,1
2025-08-30,30000.0,30000.0,30000.0,2,21
2025-08-31,302.0,302.0,302.0,2,2
2025-09-01,70000.0,70000.0,70000.0,1,1
2025-09-03,302.0,302.0,302.0,1,1
2025-09-05,302.0,302.0,302.0,1,8
2025-09-08,123000.0,123000.0,123000.0,1,1
2025-09-09,122700.0,122700.0,122700.0,1,1
2025-09-10,122800.0,122800.0,122800.0,1,1
2025-09-11,302.0,302.0,302.0,1,1
2025-09-12,302.0,302.0,302.0,2,2
2025-09-13,61551.0,122800.0,302.0,2,2
2025-09-14,302.0,302.0,302.0,1,3
2025-09-16,302.0,302.0,302.0,1,1
2025-09-18,49601.0,98900.0,302.0,2,2
2025-09-19,302.0,302.0,302.0,2,2
2025-09-20,98900.0,98900.0,98900.0,1,1
2025-09-23,302.0,302.0,302.0,1,1
2025-09-24,302.0,302.0,302.0,1,1
2025-09-26,302.0,302.0,302.0,2,2
2025-09-27,25176.5,99800.0,302.0,2,4
2025-09-28,99900.0,99900.0,99900.0,1,1
2025-09-30,302.0,302.0,302.0,2,3
2025-10-01,50101.0,99900.0,302.0,2,2
2025-10-04,66734.0,99950.0,302.0,3,3
2025-10-05,60101.0,119900.0,302.0,2,2
2025-10-09,116975.0,123000.0,75000.0,4,4
2025-10-11,302.1,302.1,302.1,2,2
2025-10-13,149500.0,149500.0,149500.0,1,1
2025-10-14,302.1,302.1,302.1,1,1
2025-10-15,302.1,302.1,302.1,1,1
2025-10-16,149500.0,149500.0,149500.0,1,1
2025-10-17,99867.37,149650.0,302.1,3,3
2025-10-19,302.1,302.1,302.1,1,1
2025-10-20,149700.0,149700.0,149700.0,2,3
2025-10-21,302.2,302.2,302.2,1,1
2025-10-22,149700.0,149700.0,149700.0,2,2
2025-10-24,302.5,302.5,302.5,1,2
2025-10-25,149700.0,149700.0,149700.0,1,1
2025-10-26,303.0,303.0,303.0,1,1
2025-10-28,304.0,304.0,304.0,2,2
2025-10-29,305.0,305.0,305.0,2,3
2025-10-30,13440.91,144800.0,305.0,6,11
2025-10-31,305.0,305.0,305.0,1,1
2025-11-01,48504.0,144900.0,306.0,2,3
2025-11-02,87062.4,144900.0,306.0,5,5
2025-11-03,72603.05,144900.0,306.1,2,2
2025-11-04,107483.33,144900.0,100000.0,4,12
2025-11-06,307.09,307.1,307.0,2,7
2025-11-07,37654.0,75000.0,308.0,2,2
2025-11-08,100000.0,100000.0,100000.0,1,1
2025-11-09,308.2,308.2,308.2,2,2
2025-11-10,62654.15,125000.0,308.3,2,2
2025-11-12,308.4,308.4,308.4,1,1
2025-11-13,81893.07,98210.0,308.4,2,6
