date,average,highest,lowest,order_count,volume
2025-05-20,1083.2,1354.0,0.01,4,5
2025-05-22,49970.01,499700.0,0.01,5,10
2025-05-23,299900.0,299900.0,299900.0,1,2
2025-05-24,99833.34,299500.0,0.01,5,6
2025-05-25,0.01,0.01,0.01,5,18
2025-05-26,0.01,0.01,0.01,2,5
2025-05-27,0.01,0.01,0.01,3,12
2025-05-28,205625.0,299000.0,0.01,6,16
2025-05-29,97345.0,100000.0,0.01,8,20
2025-05-30,114768.97,314150.0,100000.0,7,29
2025-05-31,109833.33,395000.0,100000.0,9,30
2025-06-01,126790.91,394700.0,100000.0,8,11
2025-06-02,60717.86,100000.0,0.01,5,28
2025-06-03,10.01,10.01,10.01,1,2
2025-06-04,50015.56,90000.0,10.01,5,9
2025-06-05,179764.0,299600.0,10.01,5,5
2025-06-06,128462.86,299700.0,10.01,5,7
2025-06-07,149880.01,299750.0,10.02,4,4
2025-06-08,13403.4,240100.0,10.01,5,18
2025-06-09,39548.58,274800.0,10.01,6,7
2025-06-10,18377.38,174500.0,10.01,7,19
2025-06-11,10.01,10.01,10.01,1,1
2025-06-12,11.17,12.0,10.01,10,12
2025-06-13,41740.0,70000.0,50.0,5,5
2025-06-14,50.0,50.0,50.0,3,3
2025-06-15,1590.91,17000.0,50.0,4,11
2025-06-16,50.0,50.0,50.0,2,6
2025-06-17,50.0,50.0,50.0,4,4
2025-06-18,162.5,500.0,50.0,4,4
2025-06-19,5019.35,10250.0,5000.0,7,31
2025-06-20,19165.0,39995.0,9000.0,6,6
2025-06-21,2000.0,2000.0,2000.0,4,11
2025-06-22,21880.0,49040.0,2000.0,7,7
2025-06-23,25515.0,49030.0,2000.0,2,2
2025-06-24,8720.0,49040.0,2000.0,6,14
2025-06-25,2000.0,2000.0,2000.0,3,4
2025-06-26,2000.0,2000.0,2000.0,4,4
2025-06-27,2000.0,2000.0,2000.0,2,2
2025-06-28,33333.33,49000.0,2000.0,3,3
2025-06-29,2000.0,2000.0,2000.0,3,5
2025-06-30,3770.19,48000.0,2001.0,7,26
2025-07-01,47180.0,47750.0,45000.0,4,5
2025-07-02,2001.0,2001.0,2001.0,1,2
2025-07-03,2001.0,2001.0,2001.0,5,5
2025-07-04,12432.0,48940.0,2001.0,8,9
2025-07-05,7218.67,48960.0,2001.0,6,9
2025-07-06,5064.41,48970.0,2001.0,8,46
2025-07-07,2001.0,2001.0,2001.0,9,10
2025-07-08,17657.67,48970.0,2001.5,3,3
2025-07-09,2002.0,2002.0,2002.0,2,4
2025-07-10,2002.0,2002.0,2002.0,1,1
2025-07-11,24948.5,47895.0,2002.0,4,4
2025-07-12,2003.0,2003.0,2003.0,5,5
2025-07-13,5503.5,16005.0,2003.0,7,8
2025-07-14,6202.4,23000.0,2003.0,4,5
2025-07-15,8132.14,44900.0,2004.0,6,7
2025-07-16,2004.0,2004.0,2004.0,3,3
2025-07-17,2004.0,2004.0,2004.0,1,1
2025-07-18,7986.0,19950.0,2004.0,3,3
2025-07-19,19960.0,19960.0,19960.0,1,1
2025-07-20,11692.94,19970.0,2000.0,8,17
2025-07-21,2000.0,2000.0,2000.0,5,5
2025-07-22,1756.25,2000.0,50.0,7,8
2025-07-23,8398.0,14995.0,2000.0,5,5
2025-07-24,2000.0,2000.0,2000.0,4,4
2025-07-25,10980.0,19960.0,2000.0,2,2
2025-07-26,1512.5,2000.0,50.0,4,4
2025-07-27,2000.0,2000.0,2000.0,4,457
2025-07-28,2000.0,2000.0,2000.0,3,3
2025-07-29,8800.0,19000.0,2000.0,4,5
2025-07-30,7990.0,19970.0,2000.0,3,3
2025-07-31,2000.0,2000.0,2000.0,2,2
