date,average,highest,lowest,order_count,volume
2025-05-24,1500000000.0,1500000000.0,1500000000.0,1,1
2025-06-01,1681000000.0,1681000000.0,1681000000.0,1,1
2025-06-09,1200000000.0,1200000000.0,1200000000.0,1,1
2025-06-13,691150000.0,691200000.0,691100000.0,2,2
2025-06-17,1597000000.0,1597000000.0,1597000000.0,1,1
2025-06-26,1570000000.0,1590000000.0,1550000000.0,2,2
2025-07-05,1585000000.0,1585000000.0,1585000000.0,1,1
2025-07-13,700800000.0,700800000.0,700800000.0,1,1
2025-07-29,700800000.0,700800000.0,700800000.0,1,1
2025-08-17,1575000000.0,1575000000.0,1575000000.0,1,1
2025-09-04,1544000000.0,1544000000.0,1544000000.0,1,1
2025-09-19,701300000.0,701300000.0,701300000.0,1,1
2025-09-23,1519333333.33,1521000000.0,1518500000.0,3,3
2025-10-02,1314000.0,1314000.0,1314000.0,1,1
2025-10-13,1524000000.0,1524000000.0,1524000000.0,2,2
2025-10-16,1524000000.0,1524000000.0,1524000000.0,1,1
2025-11-04,1521000000.0,1521000000.0,1521000000.0,1,1
2025-11-13,798200000.0,798200000.0,798200000.0,1,1
