date,average,highest,lowest,order_count,volume
2025-05-26,1000000.0,1000000.0,1000000.0,1,2
2025-06-02,1000000.0,1000000.0,1000000.0,1,1
2025-06-05,8408285.71,8409000.0,8408000.0,3,7
2025-06-06,1000000.0,1000000.0,1000000.0,1,2
2025-06-22,1000000.0,1000000.0,1000000.0,1,2
2025-07-10,1000000.0,1000000.0,1000000.0,1,2
2025-07-16,1000000.0,1000000.0,1000000.0,1,2
2025-07-20,1000000.0,1000000.0,1000000.0,1,2
2025-08-06,8490000.0,8490000.0,8490000.0,1,1
2025-08-30,0.01,0.01,0.01,1,2
2025-09-23,2000000.0,2000000.0,2000000.0,1,2
2025-10-21,1000000.0,1000000.0,1000000.0,1,2
