date,average,highest,lowest,order_count,volume
2025-05-24,149000000.0,149000000.0,149000000.0,1,1
2025-05-25,140000000.0,140000000.0,140000000.0,1,1
2025-05-27,176000000.0,189000000.0,150000000.0,2,3
2025-05-30,285400000.0,285400000.0,285400000.0,1,1
2025-06-06,213200000.0,213200000.0,213200000.0,1,1
2025-07-01,226800000.0,226800000.0,226800000.0,1,1
2025-07-14,87150000.0,87150000.0,87150000.0,1,1
2025-07-15,152975000.0,185000000.0,140000000.0,3,4
2025-07-20,220000000.0,220000000.0,220000000.0,1,1
2025-07-22,265700000.0,265700000.0,265700000.0,1,2
2025-07-28,267214285.71,269000000.0,264800000.0,5,7
2025-08-10,271011111.11,279700000.0,268400000.0,8,9
2025-08-11,259450000.0,268900000.0,250000000.0,2,2
2025-08-12,268900000.0,268900000.0,268900000.0,1,1
2025-08-16,267900000.0,267900000.0,267900000.0,1,1
2025-08-23,162100000.0,162100000.0,162100000.0,1,1
2025-08-30,264400000.0,264400000.0,264400000.0,1,1
2025-09-06,257800000.0,257800000.0,257800000.0,1,1
2025-09-09,174600000.0,174600000.0,174600000.0,1,1
2025-09-16,225000000.0,225000000.0,225000000.0,1,1
2025-09-17,190100000.0,190100000.0,190100000.0,1,1
2025-09-24,197900000.0,200000000.0,195800000.0,2,2
2025-10-02,237400000.0,237400000.0,237400000.0,1,1
2025-10-06,238200000.0,240000000.0,237500000.0,4,4
2025-11-06,115300000.0,115300000.0,115300000.0,1,1
