date,average,highest,lowest,order_count,volume
2025-05-20,186200000.0,189000000.0,168000000.0,100,146
2025-05-21,190000000.0,195500000.0,173400000.0,80,188
2025-05-22,200000000.0,202700000.0,199600000.0,70,130
2025-05-23,187300000.0,194000000.0,185000000.0,69,161
2025-05-24,188300000.0,191000000.0,188200000.0,91,199
2025-05-25,193900000.0,202600000.0,191100000.0,115,282
2025-05-26,210000000.0,213000000.0,201100000.0,92,187
2025-05-27,216900000.0,227900000.0,209400000.0,89,212
2025-05-28,213800000.0,214200000.0,212000000.0,115,260
2025-05-29,239800000.0,247600000.0,215500000.0,125,303
2025-05-30,236500000.0,257300000.0,212700000.0,128,378
2025-05-31,217100000.0,218200000.0,212700000.0,107,323
2025-06-01,224000000.0,230800000.0,203000000.0,125,244
2025-06-02,205200000.0,222800000.0,204700000.0,111,279
2025-06-03,218050000.0,219700000.0,205000000.0,77,122
2025-06-04,248900000.0,295000000.0,219800000.0,111,306
2025-06-05,259400000.0,283700000.0,235600000.0,78,151
2025-06-06,235800000.0,236100000.0,223100000.0,117,231
2025-06-07,230000000.0,236200000.0,225600000.0,102,232
2025-06-08,222400000.0,226000000.0,206800000.0,101,319
2025-06-09,200000000.0,218100000.0,192500000.0,78,130
2025-06-10,203800000.0,215600000.0,184500000.0,79,131
2025-06-11,199700000.0,217000000.0,199300000.0,83,152
2025-06-12,199750000.0,207800000.0,199700000.0,65,156
2025-06-13,198800000.0,199700000.0,188600000.0,61,172
2025-06-14,207000000.0,218300000.0,184800000.0,103,221
2025-06-15,189700000.0,219200000.0,185500000.0,73,159
2025-06-16,191700000.0,191800000.0,190600000.0,49,199
2025-06-17,204550000.0,207100000.0,180800000.0,115,270
2025-06-18,216650000.0,219700000.0,206000000.0,68,104
2025-06-19,186600000.0,198200000.0,186000000.0,77,146
2025-06-20,181400000.0,182300000.0,180800000.0,42,130
2025-06-21,190600000.0,191950000.0,181600000.0,82,241
2025-06-22,189924719.1,198400000.0,179500000.0,64,89
2025-06-23,197000000.0,198400000.0,186000000.0,77,164
2025-06-24,188700000.0,197900000.0,188000000.0,63,213
2025-06-25,190500000.0,198800000.0,190100000.0,59,148
2025-06-26,190400000.0,191500000.0,190300000.0,51,179
2025-06-27,188700000.0,192600000.0,187000000.0,78,170
2025-06-28,184792857.14,192900000.0,178000000.0,55,98
2025-06-29,187700000.0,194600000.0,174100000.0,114,302
2025-06-30,174700000.0,189250000.0,174600000.0,67,140
2025-07-01,189500000.0,206250000.0,174700000.0,147,366
2025-07-02,201300000.0,207750000.0,201000000.0,60,150
2025-07-03,212250000.0,225000000.0,206000000.0,98,302
2025-07-04,190400000.0,220000000.0,187000000.0,67,187
2025-07-05,173500000.0,179900000.0,172200000.0,72,137
2025-07-06,165000000.0,180950000.0,163100000.0,56,105
2025-07-07,172900000.0,179100000.0,165800000.0,64,132
2025-07-08,170730303.03,179950000.0,166800000.0,52,99
2025-07-09,177200000.0,183200000.0,167700000.0,75,253
2025-07-10,184500000.0,190000000.0,171600000.0,72,139
2025-07-11,176000000.0,183800000.0,175700000.0,74,178
2025-07-12,181600000.0,191200000.0,177400000.0,82,168
2025-07-13,179000000.0,194300000.0,177600000.0,112,353
2025-07-14,183200000.0,188300000.0,170000000.0,79,150
2025-07-15,183200000.0,184300000.0,170300000.0,85,134
2025-07-16,173350000.0,184000000.0,172500000.0,72,198
2025-07-17,167200000.0,167700000.0,159300000.0,73,235
2025-07-18,134950000.0,142000000.0,111700000.0,73,164
2025-07-19,127600000.0,136200000.0,125600000.0,117,258
2025-07-20,127500000.0,135300000.0,124600000.0,103,228
2025-07-21,121950000.0,137000000.0,121600000.0,94,238
2025-07-22,126400000.0,134900000.0,125350000.0,70,230
2025-07-23,127000000.0,135100000.0,126200000.0,88,263
2025-07-24,138300000.0,140500000.0,128700000.0,63,134
2025-07-25,139000000.0,141300000.0,132250000.0,66,179
2025-07-26,138100000.0,141850000.0,137800000.0,68,156
2025-07-27,139800000.0,142300000.0,139000000.0,86,327
2025-07-28,143600000.0,149900000.0,143250000.0,86,247
2025-07-29,147700000.0,147900000.0,147400000.0,47,108
2025-07-30,150800000.0,155900000.0,150300000.0,57,104
2025-07-31,152000000.0,155100000.0,147000000.0,59,171
2025-08-01,145400000.0,153900000.0,143000000.0,88,173
2025-08-02,132950000.0,145350000.0,126500000.0,114,256
2025-08-03,129800000.0,143900000.0,128900000.0,55,102
2025-08-04,130800000.0,132700000.0,130700000.0,56,107
2025-08-05,137700000.0,141300000.0,132800000.0,90,187
2025-08-06,133400000.0,133600000.0,133100000.0,70,165
2025-08-07,131700000.0,131700000.0,131700000.0,45,154
2025-08-08,130500000.0,139400000.0,126300000.0,101,233
2025-08-09,137808823.53,146000000.0,127100000.0,48,68
2025-08-10,143800000.0,146900000.0,135400000.0,95,209
2025-08-11,135800000.0,143900000.0,130000000.0,65,165
2025-08-12,127400000.0,146900000.0,126800000.0,60,129
2025-08-13,116100000.0,116300000.0,115400000.0,51,157
2025-08-14,117800000.0,123800000.0,116000000.0,69,179
2025-08-15,117400000.0,127400000.0,117000000.0,51,149
2025-08-16,136700000.0,138500000.0,129400000.0,56,118
2025-08-17,137000000.0,144650000.0,131650000.0,94,196
2025-08-18,134000000.0,141700000.0,133300000.0,82,145
2025-08-19,133850000.0,134400000.0,130500000.0,54,102
2025-08-20,143250000.0,144100000.0,134150000.0,70,128
2025-08-21,138600000.0,145000000.0,137600000.0,62,197
2025-08-22,141200000.0,148100000.0,140100000.0,61,168
2025-08-23,148600000.0,149400000.0,141800000.0,55,128
2025-08-24,145400000.0,150000000.0,145200000.0,128,248
2025-08-25,146900000.0,151950000.0,145400000.0,80,155
2025-08-26,153700000.0,155000000.0,145700000.0,82,175
2025-08-27,153800000.0,159700000.0,147300000.0,85,251
2025-08-28,147300000.0,155300000.0,147200000.0,74,163
2025-08-29,149000000.0,163050000.0,147500000.0,63,129
2025-08-30,150900000.0,161200000.0,150800000.0,104,277
2025-08-31,162400000.0,165000000.0,155000000.0,76,149
2025-09-01,170400000.0,173400000.0,157900000.0,91,160
2025-09-02,161200000.0,168000000.0,160400000.0,58,134
2025-09-03,168500000.0,173400000.0,165400000.0,82,207
2025-09-04,168800000.0,172900000.0,167900000.0,47,128
2025-09-05,169400000.0,172700000.0,168500000.0,57,160
2025-09-06,174100000.0,175000000.0,168400000.0,49,183
2025-09-07,149850000.0,174000000.0,148500000.0,87,250
2025-09-08,149700000.0,151000000.0,144400000.0,77,293
2025-09-09,148311494.25,152900000.0,144000000.0,51,87
2025-09-10,141903448.28,149000000.0,126900000.0,56,87
2025-09-11,141470786.52,149700000.0,131700000.0,47,89
2025-09-12,151000000.0,151500000.0,144750000.0,59,126
2025-09-13,140500000.0,141200000.0,140000000.0,61,183
2025-09-14,145000000.0,147950000.0,136650000.0,98,198
2025-09-15,139500000.0,139900000.0,131500000.0,49,102
2025-09-16,130500000.0,137000000.0,130000000.0,56,101
2025-09-17,133000000.0,138250000.0,130500000.0,66,134
2025-09-18,133440000.0,139900000.0,132000000.0,48,90
2025-09-19,129364246.58,135300000.0,128800000.0,47,73
2025-09-20,123000000.0,132300000.0,118000000.0,73,151
2025-09-21,119400000.0,128300000.0,119100000.0,67,139
2025-09-22,123760227.27,125600000.0,119700000.0,51,88
2025-09-23,120100000.0,120300000.0,120100000.0,66,214
2025-09-24,119124489.8,121600000.0,112500000.0,53,98
2025-09-25,112300000.0,121700000.0,101300000.0,55,120
