date,average,highest,lowest,order_count,volume
2025-05-20,18190000.0,18190000.0,18180000.0,20,326
2025-05-21,17733913.04,18000000.0,16320000.0,11,69
2025-05-22,18195000.0,18400000.0,17975000.0,15,168
2025-05-23,18310000.0,18320000.0,18310000.0,12,168
2025-05-24,18235000.0,18270000.0,18185000.0,10,128
2025-05-25,18180000.0,18180000.0,18180000.0,19,252
2025-05-26,18160000.0,18160000.0,18160000.0,13,264
2025-05-27,18137777.78,18150000.0,18110000.0,8,54
2025-05-28,18035108.7,18050000.0,17980000.0,9,92
2025-05-29,17010000.0,17030000.0,17000000.0,14,144
2025-05-30,17020000.0,17030000.0,17000000.0,20,233
2025-05-31,16936538.46,17000000.0,16900000.0,6,78
2025-06-01,17000000.0,17000000.0,16900000.0,26,355
2025-06-02,17990000.0,18110000.0,17980000.0,22,407
2025-06-03,18660000.0,18660000.0,18650000.0,10,170
2025-06-04,18559859.15,18640000.0,18540000.0,10,71
2025-06-05,18535500.0,18550000.0,18530000.0,3,40
2025-06-06,18530000.0,18530000.0,18520000.0,20,199
2025-06-07,18540000.0,18540000.0,18540000.0,8,231
2025-06-08,18510000.0,18530000.0,18510000.0,8,107
2025-06-09,18453023.26,18480000.0,18430000.0,6,43
2025-06-10,18236117.65,18360000.0,17580000.0,9,85
2025-06-11,18350000.0,18360000.0,18350000.0,18,285
2025-06-12,18450000.0,18450000.0,18450000.0,19,743
2025-06-13,18890000.0,19590000.0,18550000.0,21,436
2025-06-14,19223055.56,19950000.0,16380000.0,10,72
2025-06-15,19380000.0,19380000.0,19380000.0,20,273
2025-06-16,19380000.0,19390000.0,19380000.0,32,320
2025-06-17,29800000.0,29840000.0,29700000.0,21,213
2025-06-18,29800000.0,29820000.0,29790000.0,21,203
2025-06-19,28000000.0,29300000.0,27280000.0,16,129
2025-06-20,29870000.0,31000000.0,29820000.0,19,280
2025-06-21,31664769.23,36030000.0,27860000.0,7,65
2025-06-22,25470000.0,27000000.0,25440000.0,18,127
2025-06-23,25280000.0,25310000.0,25260000.0,26,265
2025-06-24,25120000.0,25120000.0,25120000.0,11,130
2025-06-25,24490000.0,24550000.0,24440000.0,23,184
2025-06-26,23720000.0,23730000.0,21470000.0,23,251
2025-06-27,22000000.0,24090000.0,21470000.0,18,206
2025-06-28,23938974.36,23990000.0,23770000.0,9,78
2025-06-29,19610000.0,20500000.0,19600000.0,17,228
2025-06-30,23110000.0,23220000.0,23000000.0,19,115
2025-07-01,22930000.0,22930000.0,22930000.0,19,170
2025-07-02,22570000.0,22590000.0,22550000.0,13,122
2025-07-03,22216951.22,22530000.0,20260000.0,9,82
2025-07-04,22390000.0,22420000.0,20270000.0,9,80
2025-07-05,22270000.0,22340000.0,20300000.0,16,145
2025-07-06,20909770.11,21000000.0,20260000.0,12,87
2025-07-07,20980000.0,20980000.0,20980000.0,15,310
2025-07-08,20970000.0,21000000.0,20960000.0,17,111
2025-07-09,20000000.0,20000000.0,20000000.0,7,217
2025-07-10,20000000.0,20000000.0,20000000.0,11,216
2025-07-11,20874050.63,20910000.0,20870000.0,5,79
2025-07-12,20880000.0,21000000.0,20850000.0,27,766
2025-07-13,22090000.0,22090000.0,22090000.0,17,181
2025-07-14,21964285.71,22070000.0,21950000.0,6,42
2025-07-15,21990000.0,21990000.0,21990000.0,5,150
2025-07-16,22016891.89,22030000.0,21990000.0,9,74
2025-07-17,21840000.0,21840000.0,21840000.0,2,16
2025-07-18,21720000.0,21720000.0,21720000.0,22,271
2025-07-19,19000000.0,21180000.0,18970000.0,24,161
2025-07-20,20950000.0,21040000.0,18580000.0,17,163
2025-07-21,18025000.0,20755000.0,17980000.0,17,128
2025-07-22,20640000.0,20700000.0,19990000.0,34,579
2025-07-23,19950000.0,19950000.0,19900000.0,16,262
2025-07-24,19404303.8,19910000.0,15600000.0,9,79
2025-07-25,19907142.86,19910000.0,19900000.0,6,63
2025-07-26,19861304.35,19870000.0,19850000.0,5,46
2025-07-27,19800000.0,19800000.0,19800000.0,10,126
2025-07-28,19831346.15,19880000.0,19780000.0,8,52
2025-07-29,19990000.0,19990000.0,19990000.0,10,129
2025-07-30,19005555.56,19950000.0,18990000.0,7,90
2025-07-31,20970000.0,20970000.0,20970000.0,25,442
2025-08-01,20460000.0,20480000.0,17170000.0,15,137
2025-08-02,20405000.0,20420000.0,19990000.0,21,380
2025-08-03,20390000.0,20400000.0,20330000.0,24,491
2025-08-04,20860000.0,20860000.0,20850000.0,15,202
2025-08-05,20860000.0,20870000.0,20850000.0,10,127
2025-08-06,20352380.95,20840000.0,20200000.0,3,63
2025-08-07,20170000.0,20170000.0,20170000.0,13,191
2025-08-08,20126266.67,20160000.0,20120000.0,4,75
2025-08-09,20070000.0,20070000.0,20070000.0,5,158
2025-08-10,18260000.0,18260000.0,18260000.0,13,470
2025-08-11,18260000.0,18260000.0,18260000.0,11,118
2025-08-12,20050000.0,20060000.0,20050000.0,15,205
2025-08-13,18800000.0,19890000.0,17970000.0,21,257
2025-08-14,20040000.0,20040000.0,20020000.0,18,201
2025-08-15,19858545.45,19860000.0,19850000.0,7,55
2025-08-16,19790000.0,19800000.0,19790000.0,10,107
2025-08-17,18010000.0,18010000.0,18000000.0,13,563
2025-08-18,19710000.0,19720000.0,19690000.0,10,214
2025-08-19,19588461.54,19600000.0,19550000.0,4,78
2025-08-20,19259186.05,19480000.0,18990000.0,12,86
2025-08-21,19480000.0,19480000.0,19480000.0,17,223
2025-08-22,19480000.0,19480000.0,19480000.0,13,258
2025-08-23,19470000.0,19510000.0,19470000.0,14,187
2025-08-24,19859242.42,19860000.0,19850000.0,6,66
2025-08-25,20110000.0,20120000.0,20060000.0,14,256
2025-08-26,20120000.0,20120000.0,20110000.0,14,165
2025-08-27,21910000.0,21910000.0,21910000.0,10,224
2025-08-28,21900000.0,21900000.0,21890000.0,16,371
2025-08-29,21760000.0,21760000.0,21750000.0,12,170
2025-08-30,21514375.0,21640000.0,21470000.0,5,32
2025-08-31,21400000.0,21410000.0,21390000.0,18,221
2025-09-01,21700000.0,21910000.0,21470000.0,25,447
2025-09-02,22710000.0,22720000.0,22690000.0,12,236
2025-09-03,22600000.0,22600000.0,22600000.0,12,143
2025-09-04,22540000.0,22560000.0,22240000.0,15,194
2025-09-05,22530000.0,22550000.0,22250000.0,18,177
2025-09-06,22520000.0,22560000.0,22500000.0,13,148
2025-09-07,22210000.0,22210000.0,22210000.0,13,118
2025-09-08,22120000.0,22130000.0,22030000.0,12,126
2025-09-09,22070000.0,22070000.0,22040000.0,12,141
2025-09-10,22130000.0,22130000.0,22130000.0,15,265
2025-09-11,21940000.0,22000000.0,21940000.0,10,103
2025-09-12,21990000.0,21990000.0,21980000.0,15,106
2025-09-13,21990000.0,21990000.0,21990000.0,15,138
2025-09-14,22010000.0,22030000.0,21990000.0,11,242
2025-09-15,21890000.0,21890000.0,21890000.0,17,132
2025-09-16,9366000.0,9366000.0,9366000.0,15,223
2025-09-17,21679841.27,21680000.0,21630000.0,4,63
2025-09-18,21504843.75,21520000.0,21480000.0,6,64
2025-09-19,21300000.0,21305000.0,21280000.0,15,239
2025-09-20,21250000.0,21250000.0,21250000.0,13,178
2025-09-21,21203488.37,21240000.0,18180000.0,9,86
2025-09-22,21120000.0,21120000.0,21120000.0,6,267
2025-09-23,21060000.0,21080000.0,21050000.0,14,191
2025-09-24,20850000.0,20890000.0,20810000.0,10,132
2025-09-25,20123142.86,20460000.0,18360000.0,11,70
2025-09-26,20070000.0,20150000.0,19940000.0,14,198
2025-09-27,19830000.0,19890000.0,18360000.0,37,554
2025-09-28,19830000.0,19920000.0,18000000.0,16,230
2025-09-29,19810000.0,19830000.0,19800000.0,13,139
2025-09-30,19700000.0,19710000.0,19680000.0,15,248
2025-10-01,19571176.47,19710000.0,17350000.0,4,34
2025-10-02,19185280.9,19690000.0,17440000.0,8,89
2025-10-03,19153148.15,19420000.0,17550000.0,6,54
2025-10-04,19360000.0,19370000.0,19350000.0,16,225
2025-10-05,19311818.18,19330000.0,19290000.0,6,66
2025-10-06,19270000.0,19270000.0,19270000.0,24,394
2025-10-07,19260000.0,19270000.0,19250000.0,6,169
2025-10-08,18845000.0,18940000.0,13680000.0,20,216
2025-10-09,18730000.0,18730000.0,18730000.0,14,139
2025-10-10,18970000.0,19250000.0,18770000.0,12,156
2025-10-11,19400000.0,19410000.0,19280000.0,23,411
2025-10-12,19960000.0,19970000.0,19920000.0,11,136
2025-10-13,19980000.0,19980000.0,19980000.0,20,389
2025-10-14,19980000.0,19980000.0,19980000.0,4,107
2025-10-15,19800000.0,19850000.0,19800000.0,16,185
2025-10-16,19670000.0,19680000.0,19650000.0,12,116
2025-10-17,19586304.35,19620000.0,19570000.0,3,46
2025-10-18,19520000.0,19520000.0,19500000.0,16,335
2025-10-19,19540000.0,19550000.0,19540000.0,16,348
2025-10-20,19810000.0,19810000.0,19810000.0,11,157
2025-10-21,19780000.0,19780000.0,19770000.0,17,183
2025-10-22,19750000.0,19750000.0,19750000.0,9,117
2025-10-23,19322881.36,19670000.0,17420000.0,8,59
2025-10-24,19690000.0,19690000.0,19690000.0,19,208
2025-10-25,19000000.0,19000000.0,19000000.0,1,1
2025-10-26,19610000.0,19610000.0,19610000.0,5,65
2025-10-27,19520000.0,19530000.0,19520000.0,24,341
2025-10-28,19500000.0,19500000.0,19500000.0,9,118
2025-10-29,19390000.0,19390000.0,19390000.0,8,153
2025-10-30,19340000.0,19340000.0,19340000.0,16,211
2025-10-31,19360000.0,19390000.0,19350000.0,17,186
2025-11-01,19514175.82,19580000.0,19500000.0,7,91
2025-11-02,19510000.0,19510000.0,19500000.0,16,287
2025-11-03,19420000.0,19490000.0,19410000.0,19,368
2025-11-04,19510000.0,19520000.0,19510000.0,4,111
2025-11-05,19510000.0,19510000.0,19510000.0,12,150
2025-11-06,19480212.77,19500000.0,19470000.0,3,47
2025-11-07,18970348.84,19450000.0,17020000.0,9,86
2025-11-08,19420000.0,19420000.0,19420000.0,2,178
2025-11-09,19310000.0,19310000.0,19310000.0,16,304
2025-11-10,19263855.42,19380000.0,19170000.0,9,83
2025-11-11,19390000.0,19390000.0,19390000.0,14,349
2025-11-12,17160000.0,19900000.0,17150000.0,13,107
2025-11-13,19890000.0,19890000.0,19890000.0,13,155
2025-11-14,19680000.0,19680000.0,19680000.0,11,109
