date,average,highest,lowest,order_count,volume
2025-05-20,397700.0,398000.0,397600.0,116,1293
2025-05-21,397300.0,397300.0,395400.0,114,890
2025-05-22,130500.0,130500.0,130500.0,100,1521
2025-05-23,404000.0,405000.0,301100.0,124,1800
2025-05-24,305100.0,425700.0,305000.0,150,889
2025-05-25,309000.0,310200.0,307100.0,146,1471
2025-05-26,313400.0,314200.0,313300.0,125,1566
2025-05-27,317000.0,317100.0,316100.0,121,2359
2025-05-28,321500.0,322100.0,320000.0,124,1688
2025-05-29,323600.0,324100.0,323200.0,118,1219
2025-05-30,325800.0,373500.0,325400.0,159,2328
2025-05-31,329600.0,396900.0,328100.0,176,1353
2025-06-01,332000.0,332000.0,331700.0,137,876
2025-06-02,403000.0,406000.0,334700.0,149,2297
2025-06-03,336200.0,336300.0,336000.0,127,985
2025-06-04,337900.0,338000.0,337800.0,120,664
2025-06-05,339000.0,339600.0,338500.0,165,1485
2025-06-06,342100.0,342400.0,341700.0,139,1458
2025-06-07,345800.0,346000.0,343100.0,152,1960
2025-06-08,347300.0,347300.0,347200.0,142,1143
2025-06-09,348300.0,349100.0,347600.0,134,624
2025-06-10,350000.0,350400.0,349600.0,120,787
2025-06-11,351100.0,351400.0,351000.0,107,542
2025-06-12,352300.0,353500.0,352200.0,165,2259
2025-06-13,355300.0,422000.0,354200.0,140,1041
2025-06-14,357200.0,358100.0,357100.0,125,2287
2025-06-15,361300.0,362100.0,360500.0,123,1355
2025-06-16,363100.0,363300.0,363100.0,130,1289
2025-06-17,364300.0,364300.0,364300.0,129,893
2025-06-18,365900.0,366000.0,365800.0,118,1204
2025-06-19,367400.0,367600.0,367100.0,126,1313
2025-06-20,369300.0,369500.0,369300.0,124,899
2025-06-21,371800.0,414000.0,371200.0,126,1458
2025-06-22,372100.0,372100.0,371900.0,145,1670
2025-06-23,374800.0,374800.0,374800.0,136,1969
2025-06-24,376100.0,376200.0,376000.0,129,1374
2025-06-25,376100.0,376100.0,376100.0,94,887
2025-06-26,376300.0,376400.0,376200.0,96,526
2025-06-27,374500.0,376100.0,357900.0,116,2370
2025-06-28,360400.0,360800.0,360000.0,117,390
2025-06-29,363100.0,395200.0,363000.0,151,1556
2025-06-30,365800.0,365800.0,365700.0,95,800
2025-07-01,368500.0,368600.0,368500.0,108,1395
2025-07-02,368900.0,368900.0,368900.0,131,927
2025-07-03,370000.0,370000.0,370000.0,104,808
2025-07-04,369100.0,369300.0,369100.0,122,1460
2025-07-05,369000.0,369000.0,368800.0,139,2495
2025-07-06,357400.0,357500.0,357300.0,119,727
2025-07-07,357300.0,357300.0,357300.0,112,3257
2025-07-08,358000.0,358000.0,358000.0,111,614
2025-07-09,379900.0,383900.0,358800.0,121,997
2025-07-10,359400.0,359400.0,359300.0,91,817
2025-07-11,359900.0,359900.0,359900.0,119,579
2025-07-12,359600.0,360300.0,359300.0,145,2034
2025-07-13,359800.0,359800.0,359800.0,124,1126
2025-07-14,360900.0,361000.0,360900.0,112,2113
2025-07-15,361200.0,361300.0,361100.0,98,1196
2025-07-16,361200.0,361200.0,361200.0,125,788
2025-07-17,358100.0,361000.0,358000.0,109,2079
2025-07-18,358500.0,358500.0,358500.0,97,1233
2025-07-19,359200.0,376800.0,359000.0,130,1003
2025-07-20,360100.0,360100.0,360100.0,145,1031
2025-07-21,360800.0,361000.0,360700.0,112,1935
2025-07-22,361600.0,385100.0,361600.0,124,1887
2025-07-23,361800.0,361800.0,361800.0,134,858
2025-07-24,362700.0,362700.0,362700.0,121,1214
2025-07-25,363200.0,363200.0,363100.0,117,1095
2025-07-26,363550.0,363800.0,363400.0,134,1736
2025-07-27,373500.0,373900.0,364600.0,164,1843
2025-07-28,364600.0,364900.0,363800.0,109,1286
2025-07-29,368900.0,368900.0,368900.0,105,6389
2025-07-30,365400.0,365400.0,365400.0,92,582
2025-07-31,365600.0,365600.0,365600.0,103,1089
2025-08-01,363600.0,366100.0,363100.0,123,860
2025-08-02,363900.0,364000.0,363900.0,130,1470
2025-08-03,364800.0,364800.0,364800.0,107,564
2025-08-04,365300.0,365300.0,365200.0,121,1407
2025-08-05,365900.0,365900.0,365900.0,112,974
2025-08-06,365900.0,365900.0,365900.0,97,805
2025-08-07,365500.0,365500.0,365400.0,87,1675
2025-08-08,357400.0,357400.0,357300.0,110,1588
2025-08-09,358100.0,365000.0,358100.0,128,4439
2025-08-10,358600.0,358700.0,358400.0,129,2791
2025-08-11,358200.0,358500.0,358200.0,121,1157
2025-08-12,359100.0,359100.0,359100.0,120,1036
2025-08-13,358600.0,359000.0,357200.0,83,1917
2025-08-14,333800.0,333800.0,333300.0,82,699
2025-08-15,356200.0,356500.0,334600.0,92,1794
2025-08-16,335300.0,335300.0,335300.0,103,1187
2025-08-17,336400.0,336600.0,336100.0,113,1118
2025-08-18,337800.0,337800.0,337800.0,116,1049
2025-08-19,338200.0,338300.0,337900.0,93,392
2025-08-20,338700.0,338700.0,338700.0,103,809
2025-08-21,339800.0,353700.0,339500.0,84,940
2025-08-22,340000.0,340100.0,333000.0,118,1032
2025-08-23,333500.0,333500.0,333500.0,105,1153
2025-08-24,334000.0,334000.0,334000.0,119,907
2025-08-25,335200.0,335300.0,332900.0,113,1566
2025-08-26,333000.0,333000.0,333000.0,98,2045
2025-08-27,333300.0,333300.0,333300.0,104,999
2025-08-28,333800.0,333800.0,333800.0,103,938
2025-08-29,342800.0,342800.0,334200.0,125,2164
2025-08-30,334500.0,334500.0,334500.0,142,1494
2025-08-31,330000.0,330000.0,325100.0,144,3003
2025-09-01,330100.0,330100.0,330000.0,104,697
2025-09-02,330300.0,357900.0,330100.0,117,1151
2025-09-03,340100.0,340100.0,340100.0,106,931
2025-09-04,342000.0,342000.0,342000.0,93,561
2025-09-05,344000.0,344000.0,344000.0,104,1280
2025-09-06,372900.0,372900.0,353800.0,106,1253
2025-09-07,201100.0,300000.0,200400.0,121,1068
2025-09-08,344000.0,344000.0,344000.0,101,1131
2025-09-09,344000.0,344000.0,344000.0,91,1608
2025-09-10,330000.0,344100.0,300100.0,117,2039
2025-09-11,330000.0,330000.0,330000.0,118,664
2025-09-12,330200.0,334100.0,330100.0,97,650
2025-09-13,250200.0,250300.0,250000.0,118,763
2025-09-14,300000.0,300100.0,251000.0,107,520
2025-09-15,330100.0,330100.0,330100.0,104,602
2025-09-16,300100.0,330000.0,300000.0,85,997
2025-09-17,300100.0,320000.0,300100.0,89,982
2025-09-18,315000.0,315100.0,315000.0,94,790
2025-09-19,320400.0,320400.0,320400.0,88,756
2025-09-20,320800.0,320800.0,320800.0,110,1406
2025-09-21,321200.0,334700.0,321000.0,139,1048
2025-09-22,321000.0,321000.0,321000.0,122,1425
2025-09-23,310300.0,328000.0,310200.0,78,1063
2025-09-24,320000.0,320000.0,320000.0,109,680
2025-09-25,320100.0,320400.0,320000.0,100,635
2025-09-26,320500.0,320700.0,320500.0,89,626
2025-09-27,321500.0,321600.0,321400.0,103,1080
2025-09-28,311300.0,321500.0,311000.0,144,1819
2025-09-29,311800.0,349100.0,311700.0,98,1195
2025-09-30,312900.0,313000.0,312800.0,92,509
2025-10-01,320000.0,320000.0,320000.0,79,1048
2025-10-02,313400.0,325100.0,250100.0,103,3071
2025-10-03,320300.0,320300.0,320300.0,115,1233
2025-10-04,321300.0,321400.0,321200.0,142,1045
2025-10-05,323000.0,336700.0,322700.0,131,838
2025-10-06,324000.0,324500.0,323800.0,102,1003
2025-10-07,335100.0,335200.0,335100.0,99,975
2025-10-08,335900.0,336100.0,335700.0,87,990
2025-10-09,336300.0,336400.0,336300.0,97,2260
2025-10-10,337300.0,337300.0,337200.0,78,808
2025-10-11,338100.0,338100.0,338000.0,116,902
2025-10-12,338100.0,338100.0,338100.0,129,1749
2025-10-13,339400.0,339400.0,339300.0,97,1886
2025-10-14,339800.0,339900.0,339600.0,116,799
2025-10-15,340400.0,340400.0,340400.0,102,776
2025-10-16,342700.0,342800.0,341600.0,91,331
2025-10-17,357900.0,359700.0,343100.0,99,910
2025-10-18,343900.0,344000.0,343800.0,118,1569
2025-10-19,345100.0,345200.0,344800.0,122,1451
2025-10-20,345200.0,345300.0,345200.0,102,602
2025-10-21,346000.0,346000.0,346000.0,71,709
2025-10-22,346100.0,346600.0,346100.0,98,1524
2025-10-23,347600.0,347600.0,347600.0,85,536
2025-10-24,347600.0,347600.0,347600.0,82,670
2025-10-25,252000.0,252100.0,251400.0,114,1070
2025-10-26,255300.0,255400.0,255200.0,124,1730
2025-10-27,256200.0,343600.0,256000.0,91,790
