date,average,highest,lowest,order_count,volume
2025-05-20,22770000.0,44270000.0,12020000.0,3,3
2025-05-21,44170000.0,44170000.0,44170000.0,1,1
2025-05-22,30449090.91,44105000.0,15000000.0,9,11
2025-05-23,23076666.67,45000000.0,12115000.0,3,3
2025-05-25,46772000.0,54880000.0,15040000.0,5,5
2025-05-26,28346666.67,54960000.0,15040000.0,3,3
2025-05-27,22016666.67,54810000.0,15100000.0,6,6
2025-05-28,53940000.0,53940000.0,53940000.0,1,1
2025-05-29,37105000.0,53705000.0,20505000.0,4,4
2025-05-30,42663333.33,53975000.0,20040000.0,3,3
2025-05-31,54820000.0,54820000.0,54820000.0,1,1
2025-06-01,49416666.67,54890000.0,22000000.0,6,6
2025-06-02,37995000.0,53990000.0,22000000.0,2,2
2025-06-03,22030000.0,22030000.0,22030000.0,1,1
2025-06-04,37485000.0,52950000.0,22020000.0,2,2
2025-06-05,45472500.0,52960000.0,23010000.0,4,4
2025-06-06,42156666.67,51235000.0,24000000.0,3,3
2025-06-07,37880000.0,49880000.0,24000000.0,6,6
2025-06-08,29354666.67,39940000.0,24505000.0,14,15
2025-06-09,33687500.0,42220000.0,25155000.0,4,4
2025-06-10,24018000.0,25025000.0,23030000.0,5,5
2025-06-11,43975000.0,43980000.0,43970000.0,2,2
2025-06-12,25208000.0,43990000.0,20510000.0,5,5
2025-06-13,19630000.0,42720000.0,15010000.0,6,6
2025-06-14,23073076.92,40985000.0,15000000.0,11,13
2025-06-15,21475000.0,40900000.0,15000000.0,4,4
2025-06-16,15002000.0,15010000.0,15000000.0,3,5
2025-06-17,21396000.0,34990000.0,15000000.0,5,5
2025-06-18,30897750.0,38850000.0,7001000.0,4,4
2025-06-19,38845000.0,38850000.0,38840000.0,2,2
2025-06-20,38890000.0,38890000.0,38890000.0,1,1
2025-06-21,38900000.0,38900000.0,38900000.0,1,1
2025-06-22,38870000.0,38870000.0,38870000.0,1,1
2025-06-24,36920000.0,36920000.0,36920000.0,1,1
2025-06-25,12683000.0,36920000.0,8951000.0,6,7
2025-06-27,36750000.0,36750000.0,36750000.0,2,2
2025-06-28,10455625.0,36440000.0,7000000.0,6,8
2025-06-30,29000000.0,29000000.0,29000000.0,2,2
2025-07-01,24245000.0,28490000.0,20000000.0,2,2
2025-07-02,21690000.0,27490000.0,10090000.0,3,3
2025-07-03,25911666.67,28460000.0,14120000.0,6,6
2025-07-04,28470000.0,28470000.0,28470000.0,2,2
2025-07-05,16900000.0,17500000.0,16600000.0,3,3
2025-07-06,23796000.0,28490000.0,16750000.0,4,5
2025-07-07,34437500.0,35930000.0,30000000.0,4,4
2025-07-08,35915000.0,35930000.0,35900000.0,2,2
2025-07-09,29750000.0,30000000.0,29500000.0,2,2
2025-07-10,35940000.0,35940000.0,35940000.0,1,1
2025-07-11,34810000.0,36210000.0,32010000.0,3,3
