date,average,highest,lowest,order_count,volume
2025-05-20,9000000.0,9000000.0,9000000.0,2,2
2025-05-21,9000000.0,9000000.0,9000000.0,2,2
2025-05-23,9900000.0,9900000.0,9900000.0,1,1
2025-05-24,9540000.0,9900000.0,9000000.0,4,5
2025-05-25,9299666.67,9900000.0,8999500.0,3,3
2025-05-26,9000000.0,9000000.0,9000000.0,6,18
2025-05-28,9900000.0,9900000.0,9900000.0,2,2
2025-05-29,9514142.86,9900000.0,9000000.0,3,7
2025-05-31,9299666.67,9899000.0,9000000.0,3,6
2025-06-01,9449500.0,9899000.0,9000000.0,6,6
2025-06-02,9000000.0,9000000.0,9000000.0,2,2
2025-06-03,9749166.67,9899000.0,9000000.0,2,6
2025-06-05,3667000.0,9000000.0,1000500.0,3,3
2025-06-06,9899000.0,9899000.0,9899000.0,1,1
2025-06-07,9899000.0,9899000.0,9899000.0,1,1
2025-06-08,9000000.0,9000000.0,9000000.0,1,1
2025-06-09,9000000.0,9000000.0,9000000.0,3,4
2025-06-10,9000000.0,9000000.0,9000000.0,2,2
2025-06-11,9539400.0,9899000.0,9000000.0,4,5
2025-06-12,9899000.0,9899000.0,9899000.0,2,2
2025-06-13,9052882.35,9899000.0,9000000.0,14,34
2025-06-14,9899000.0,9899000.0,9899000.0,1,1
2025-06-15,9000000.0,9000000.0,9000000.0,18,52
2025-06-16,9899000.0,9899000.0,9899000.0,1,1
2025-06-17,9449500.0,9899000.0,9000000.0,2,2
2025-06-18,9449500.0,9899000.0,9000000.0,2,2
2025-06-19,9449500.0,9899000.0,9000000.0,2,2
2025-06-20,9000000.0,9000000.0,9000000.0,1,1
2025-06-22,8961538.46,9000000.0,8500000.0,7,13
2025-06-23,9000000.0,9000000.0,9000000.0,1,1
2025-06-24,9449500.0,9899000.0,9000000.0,2,2
2025-06-27,9000000.0,9000000.0,9000000.0,1,1
2025-06-28,9299666.67,9899000.0,9000000.0,3,3
2025-06-29,9449500.0,9899000.0,9000000.0,2,2
2025-06-30,9899000.0,9899000.0,9899000.0,1,1
2025-07-01,9224750.0,9899000.0,9000000.0,4,4
2025-07-03,9000000.0,9000000.0,9000000.0,1,1
2025-07-04,9299666.67,9899000.0,9000000.0,3,3
2025-07-05,9000000.0,9000000.0,9000000.0,1,1
2025-07-08,9449500.0,9899000.0,9000000.0,2,2
2025-07-09,9899000.0,9899000.0,9899000.0,1,1
2025-07-10,9449500.0,9899000.0,9000000.0,2,2
2025-07-11,9899000.0,9899000.0,9899000.0,1,1
2025-07-12,9299666.67,9899000.0,9000000.0,3,3
2025-07-13,9899000.0,9899000.0,9899000.0,2,5
2025-07-15,9000000.0,9000000.0,9000000.0,1,1
2025-07-17,9000000.0,9000000.0,9000000.0,3,3
2025-07-18,9000000.0,9000000.0,9000000.0,1,3
2025-07-19,9299666.67,9899000.0,9000000.0,3,3
2025-07-20,9899000.0,9899000.0,9899000.0,4,4
2025-07-21,9224750.0,9899000.0,9000000.0,4,4
2025-07-22,9039086.96,9899000.0,9000000.0,9,23
2025-07-23,9449500.0,9899000.0,9000000.0,2,2
2025-07-24,8949500.0,9899000.0,8000000.0,2,2
2025-07-25,8666666.67,9000000.0,8000000.0,5,6
2025-07-26,9299666.67,9899000.0,9000000.0,3,3
2025-07-27,9449500.0,9899000.0,9000000.0,2,2
2025-07-28,9899000.0,9899000.0,9899000.0,2,2
2025-07-29,9449500.0,9899000.0,9000000.0,4,4
2025-07-30,9299666.67,9899000.0,9000000.0,3,3
2025-08-01,9449500.0,9899000.0,9000000.0,2,2
2025-08-02,9000000.0,9000000.0,9000000.0,2,2
2025-08-03,9049944.44,9899000.0,9000000.0,18,36
2025-08-04,9000000.0,9000000.0,9000000.0,4,6
2025-08-05,9000000.0,9000000.0,9000000.0,1,1
2025-08-06,9899000.0,9899000.0,9899000.0,1,1
2025-08-07,9449500.0,9899000.0,9000000.0,2,2
2025-08-08,9539400.0,9899000.0,9000000.0,3,5
2025-08-09,9449500.0,9899000.0,9000000.0,4,6
2025-08-10,9099888.89,9899000.0,9000000.0,6,9
2025-08-11,9000000.0,9000000.0,9000000.0,2,2
2025-08-12,9224750.0,9899000.0,9000000.0,4,4
2025-08-13,9000000.0,9000000.0,9000000.0,2,3
2025-08-15,9224750.0,9899000.0,9000000.0,4,4
2025-08-16,9000000.0,9000000.0,9000000.0,2,2
2025-08-17,9179800.0,9899000.0,9000000.0,5,5
2025-08-18,9000000.0,9000000.0,9000000.0,5,15
2025-08-19,9000000.0,9000000.0,9000000.0,1,1
2025-08-20,9000000.0,9000000.0,9000000.0,5,8
2025-08-21,9000000.0,9000000.0,9000000.0,2,2
2025-08-22,9000000.0,9000000.0,9000000.0,5,5
2025-08-23,9445500.0,9891000.0,9000000.0,2,2
2025-08-24,9222750.0,9891000.0,9000000.0,4,4
2025-08-25,9297000.0,9891000.0,9000000.0,6,6
2025-08-26,9668250.0,9891000.0,9000000.0,2,4
2025-08-27,9000000.0,9000000.0,9000000.0,3,5
