date,average,highest,lowest,order_count,volume
2025-05-21,1.53,1.53,1.53,4,1105
2025-05-26,1.54,1.54,1.54,1,196
2025-05-27,1.54,1.54,1.54,1,22
2025-05-29,1.54,1.54,1.54,1,171
2025-05-31,993.75,6900.0,150.0,2,8
2025-06-01,1.55,1.55,1.55,1,311
2025-06-02,1.55,1.55,1.55,1,10
2025-06-04,1.55,1.55,1.55,1,1
2025-06-08,5900.0,5900.0,5900.0,1,215
2025-06-10,1.59,1.59,1.59,1,9
2025-06-12,5000.0,5000.0,5000.0,1,1
2025-06-15,1.58,1.58,1.58,2,8242
2025-06-22,0.02,0.02,0.02,1,11
2025-06-25,150.0,150.0,150.0,2,431
2025-07-02,0.02,0.02,0.02,1,12
2025-07-05,0.02,0.02,0.02,1,1
2025-07-07,900.0,900.0,900.0,1,10
2025-07-08,0.02,0.02,0.02,2,200
2025-07-10,150.0,150.0,150.0,1,45
2025-07-12,0.02,0.02,0.02,2,285
2025-07-13,0.02,0.02,0.02,4,2508
2025-07-15,0.02,0.02,0.02,1,1518
2025-07-16,0.02,0.02,0.02,1,2240
2025-07-18,0.02,0.02,0.02,2,1023
2025-07-19,0.02,0.02,0.02,1,1
2025-07-20,0.02,0.02,0.02,2,215
2025-07-26,0.02,0.02,0.02,1,2046
2025-08-02,0.01,0.01,0.01,1,27
2025-08-04,0.01,0.01,0.01,1,20
2025-08-05,0.01,0.01,0.01,1,21
2025-08-10,199.8,199.8,199.8,1,2
2025-08-15,0.01,0.01,0.01,1,14
2025-08-17,184.9,184.9,184.9,1,1
2025-08-18,185.0,185.0,185.0,4,6587
2025-08-20,10.01,10.01,10.01,1,677
2025-08-21,10.01,10.01,10.01,2,1134
2025-08-24,10.01,10.01,10.01,1,68
2025-08-26,200.0,200.0,200.0,1,2
2025-08-30,50.01,50.01,50.01,1,239
2025-09-02,50.01,50.01,50.01,1,36
2025-09-07,50.01,50.01,50.01,1,1950
2025-09-10,200.0,200.0,200.0,1,186
2025-09-11,150.0,150.0,150.0,1,91
2025-09-12,150.0,150.0,150.0,1,143
2025-09-15,150.2,150.2,150.2,1,31
2025-09-16,150.1,150.1,150.1,1,8
2025-09-20,150.1,150.1,150.1,3,184
2025-09-23,150.1,150.1,150.1,1,61
2025-09-25,398.7,398.7,398.7,2,261
2025-09-26,150.1,150.1,150.1,2,293
2025-09-27,398.7,398.7,398.7,1,250
2025-09-29,150.1,150.1,150.1,2,101
2025-09-30,398.7,398.7,398.7,2,327
2025-10-01,398.7,398.7,398.7,1,250
2025-10-02,150.1,150.1,150.1,1,18
2025-10-03,398.0,398.0,398.0,3,433
2025-10-05,150.1,150.1,150.1,1,7
2025-10-08,398.0,398.0,398.0,1,1
2025-10-09,398.0,398.0,398.0,2,652
2025-10-11,150.1,150.1,150.1,2,420
2025-10-17,150.1,150.1,150.1,1,1103
2025-10-18,150.1,150.1,150.1,1,1398
2025-10-19,398.7,398.7,398.7,3,667
2025-10-20,150.0,150.0,150.0,3,863
2025-10-23,150.1,150.1,150.1,2,785
2025-10-24,150.1,150.1,150.1,1,6
2025-10-26,150.0,150.0,150.0,2,3626
2025-10-27,398.6,398.6,398.6,1,1
2025-11-02,397.0,397.0,397.0,1,1
2025-11-06,150.2,150.2,150.2,1,46
2025-11-07,398.7,398.7,398.7,6,8118
2025-11-12,200000.0,200000.0,200000.0,1,1
