date,average,highest,lowest,order_count,volume
2025-05-20,51.12,51.15,51.1,72,26419793
2025-05-21,51.15,51.16,51.15,84,67330532
2025-05-22,51.23,51.35,51.22,56,37358846
2025-05-23,51.26,51.26,51.26,92,46221748
2025-05-24,50.59,51.22,50.41,90,94510654
2025-05-25,50.48,50.48,50.46,89,47447554
2025-05-26,50.48,50.48,50.48,74,31107293
2025-05-27,53.0,53.88,52.0,95,71213989
2025-05-28,50.95,52.98,50.82,82,30565478
2025-05-29,57.84,57.85,57.68,135,96090186
2025-05-30,55.0,59.0,51.66,99,56808518
2025-05-31,55.0,62.9,51.99,109,75691592
2025-06-01,52.33,52.63,52.16,128,70728770
2025-06-02,52.83,52.92,52.71,124,33087337
2025-06-03,53.87,59.8,53.08,123,72159034
2025-06-04,53.74,57.99,53.04,105,50830510
2025-06-05,55.02,55.07,54.02,134,116365481
2025-06-06,55.06,55.06,55.05,65,19328426
2025-06-07,56.05,58.5,56.0,128,138008532
2025-06-08,55.26,55.29,55.22,147,109724162
2025-06-09,55.31,55.31,55.31,111,33993775
2025-06-10,60.24,60.24,60.22,97,90505353
2025-06-11,58.6,59.92,55.16,102,57915792
2025-06-12,55.32,55.32,55.32,75,20515748
2025-06-13,55.46,60.0,55.38,100,28959368
2025-06-14,59.99,62.15,55.55,114,108997717
2025-06-15,65.47,65.9,55.61,141,115168233
2025-06-16,56.95,59.99,55.62,102,54397076
2025-06-17,55.65,55.65,55.65,105,541029569
2025-06-18,53.06,56.95,53.05,71,47931919
2025-06-19,53.1,53.1,53.08,67,22978340
2025-06-20,53.2,53.21,53.16,94,16689193
2025-06-21,54.99,54.99,54.99,118,219930250
2025-06-22,53.34,55.97,53.32,126,82378049
2025-06-23,55.0,55.0,55.0,97,91502397
2025-06-24,53.48,53.48,53.48,80,17902602
2025-06-25,51.94,53.0,51.0,84,108495447
2025-06-26,52.03,52.14,51.94,92,18000794
2025-06-27,52.41,52.47,52.3,74,17212017
2025-06-28,53.99,57.0,52.45,110,71213797
2025-06-29,52.52,54.0,52.49,88,53947105
2025-06-30,52.63,52.63,52.63,72,42322911
2025-07-01,52.75,60.93,52.7,81,57018386
2025-07-02,52.7,52.7,52.7,62,25679603
2025-07-03,64.0,64.89,55.0,84,59801399
2025-07-04,52.75,52.78,52.75,63,26835077
2025-07-05,52.8,53.5,52.71,108,96331862
2025-07-06,46.53,46.54,46.52,68,14546954
2025-07-07,52.0,54.46,50.25,129,192795470
2025-07-08,47.07,47.9,47.05,59,33314759
2025-07-09,47.24,51.47,47.23,51,38688960
2025-07-10,49.41,56.59,47.36,101,34326353
2025-07-11,51.02,55.49,49.02,88,32267689
2025-07-12,49.09,49.09,49.09,87,27303709
2025-07-13,49.25,49.37,49.23,88,21624797
2025-07-14,49.55,55.52,49.42,99,51618063
2025-07-15,49.71,50.0,49.69,54,11692381
2025-07-16,49.73,49.78,49.73,62,12732196
2025-07-17,50.05,50.08,49.97,109,127065283
2025-07-18,57.45,57.46,50.01,63,45415327
2025-07-19,50.14,54.0,50.13,90,65391446
2025-07-20,50.31,50.31,50.31,71,38915889
