date,average,highest,lowest,order_count,volume
2025-05-20,1734.0,1734.0,1734.0,8,192197
2025-05-21,1780.0,1780.0,1780.0,21,1596465
2025-05-22,1800.0,1800.0,1800.0,6,284760
2025-05-23,1977.0,1977.0,1977.0,2,38516
2025-05-24,1990.0,1990.0,1987.0,26,2358345
2025-05-25,1797.0,1797.0,1797.0,7,437712
2025-05-26,1990.0,1997.0,1990.0,14,368075
2025-05-28,1990.0,1990.0,1990.0,7,279348
2025-05-29,1497.0,1497.0,1497.0,6,34860
2025-05-30,1846.0,1851.0,1846.0,10,398809
2025-05-31,1900.0,1900.0,1900.0,9,665621
2025-06-01,1980.0,1980.0,1980.0,5,27088
2025-06-02,1552.0,1552.0,1552.0,1,2483
2025-06-03,1557.0,1557.0,1557.0,12,126698
2025-06-04,1559.0,1559.0,1559.0,7,58719
2025-06-05,1682.0,1685.0,1558.0,14,453701
2025-06-06,1445.0,1521.0,1356.0,15,372418
2025-06-07,1251.0,1251.0,1251.0,8,77991
2025-06-08,1790.0,1796.0,1790.0,10,397858
2025-06-09,1256.0,1256.0,1256.0,4,44967
2025-06-10,1724.0,1724.0,1724.0,3,21289
2025-06-11,1795.0,1795.0,1795.0,3,87048
2025-06-12,1309.0,1309.0,1309.0,12,287563
2025-06-13,1590.0,1590.0,1590.0,5,74717
2025-06-14,1745.0,1745.0,1729.0,13,383177
2025-06-15,1312.0,1312.0,1312.0,4,120869
2025-06-16,1785.0,1785.0,1785.0,13,144232
2025-06-17,1318.0,1318.0,1318.0,4,20313
2025-06-18,1346.0,1425.0,1346.0,10,93676
2025-06-19,1354.0,1354.0,1354.0,3,19764
2025-06-20,1357.0,1358.0,1356.0,9,188612
2025-06-21,1369.0,1369.0,1369.0,3,23477
2025-06-22,1369.0,1369.0,1369.0,3,8032
2025-06-23,1377.0,1377.0,1377.0,6,34341
2025-06-24,1750.0,1750.0,1750.0,6,76403
2025-06-25,1744.0,1744.0,1744.0,4,316604
2025-06-26,1699.0,1699.0,1699.0,2,55042
2025-06-27,1401.0,1401.0,1401.0,7,85335
2025-06-28,1358.0,1358.0,1358.0,6,22771
2025-06-29,1358.0,1358.0,1358.0,5,15507
2025-06-30,1356.0,1356.0,1356.0,5,26097
2025-07-01,1358.0,1358.0,1358.0,7,32187
2025-07-02,1614.0,1615.0,1614.0,10,120458
2025-07-03,1640.0,1650.0,1639.0,5,240503
2025-07-04,1359.0,1359.0,1359.0,10,70813
2025-07-05,1648.0,1649.0,1360.0,14,290542
2025-07-06,1652.0,1652.0,1652.0,5,111200
2025-07-07,1366.0,1366.0,1365.0,8,252566
2025-07-08,1652.0,1652.0,1652.0,7,1183389
2025-07-10,1390.0,1390.0,1390.0,3,6653
2025-07-11,1655.0,1700.0,1653.0,13,713422
2025-07-12,1708.0,1708.0,1708.0,3,7617
2025-07-13,1398.0,1398.0,1398.0,1,11192
2025-07-14,1707.0,1707.0,1707.0,5,136446
2025-07-15,1700.0,1700.0,1700.0,1,300
2025-07-16,1402.0,1402.0,1402.0,4,34550
2025-07-17,1402.0,1402.0,1402.0,5,166949
2025-07-18,1683.0,1683.0,1683.0,3,157558
2025-07-19,1410.0,1410.0,1410.0,4,17090
2025-07-20,1744.0,1778.0,1743.0,27,1931410
2025-07-21,1390.0,1390.0,1390.0,5,32786
2025-07-22,1689.0,1689.0,1689.0,7,69303
2025-07-23,1969.0,1969.0,1969.0,9,367521
2025-07-24,1390.0,1390.0,1390.0,8,12154
2025-07-25,1396.0,1396.0,1396.0,4,13345
2025-07-26,1938.0,1938.0,1938.0,2,202
2025-07-27,1416.0,1416.0,1416.0,4,14531
2025-07-28,1388.0,1388.0,1388.0,6,129963
2025-07-29,1388.0,1388.0,1388.0,4,38362
2025-07-30,1388.0,1388.0,1388.0,3,30116
2025-07-31,1388.0,1388.0,1388.0,5,37023
2025-08-01,1388.0,1388.0,1388.0,3,24603
2025-08-02,1386.0,1386.0,1386.0,6,157726
2025-08-03,1387.0,1387.0,1387.0,5,9590
2025-08-04,1386.0,1386.0,1386.0,5,91178
2025-08-05,1499.0,1499.0,1499.0,8,221646
2025-08-06,1387.0,1387.0,1386.0,9,194430
2025-08-07,1202.0,1202.0,1202.0,2,35699
2025-08-08,1202.0,1202.0,1202.0,7,71757
2025-08-09,1490.0,1495.0,1490.0,7,178342
2025-08-10,1400.0,1553.0,1208.0,8,57611
2025-08-11,1532.0,1532.0,1532.0,6,33371
2025-08-12,1201.0,1201.0,1201.0,7,89235
2025-08-13,1210.0,1210.0,1210.0,4,39515
2025-08-14,1210.0,1210.0,1210.0,3,3236
2025-08-15,1212.0,1212.0,1212.0,5,31180
