date,average,highest,lowest,order_count,volume
2025-05-20,13985333.33,14710000.0,11120000.0,11,15
2025-05-21,14045238.1,14710000.0,12700000.0,15,21
2025-05-22,14131034.48,14670000.0,12790000.0,19,29
2025-05-23,13694000.0,14510000.0,12780000.0,15,35
2025-05-24,14115121.95,14720000.0,13990000.0,26,41
2025-05-25,13507741.94,14690000.0,12750000.0,17,31
2025-05-26,14402500.0,14550000.0,12900000.0,8,12
2025-05-27,14131176.47,14460000.0,12890000.0,14,34
2025-05-28,13264523.81,14360000.0,12745000.0,27,42
2025-05-29,13936483.52,14270000.0,12580000.0,38,91
2025-05-30,13830370.37,14080000.0,12590000.0,16,27
2025-05-31,13390000.0,14025000.0,12580000.0,19,25
2025-06-01,13004260.87,13930000.0,10775000.0,26,69
2025-06-02,13318064.52,13500000.0,10585000.0,14,31
2025-06-03,12852727.27,13470000.0,10610000.0,15,33
2025-06-04,12493000.0,13210000.0,10600000.0,14,20
2025-06-05,12756296.3,13140000.0,10640000.0,13,27
2025-06-06,12907741.94,12990000.0,10650000.0,32,62
2025-06-07,12002666.67,12980000.0,10660000.0,23,30
2025-06-08,12288596.49,12940000.0,10010000.0,26,57
2025-06-09,12958571.43,12980000.0,12930000.0,10,35
2025-06-10,12577142.86,12990000.0,10090000.0,14,21
2025-06-11,12810294.12,12970000.0,10310000.0,14,34
2025-06-12,12680588.24,12990000.0,10350000.0,12,17
2025-06-13,12841914.89,13010000.0,10430000.0,17,47
2025-06-14,12530833.33,13000000.0,10750000.0,17,24
2025-06-15,13067407.41,13325000.0,13040000.0,18,27
2025-06-16,13170000.0,13450000.0,10920000.0,6,9
2025-06-17,13019600.0,13600000.0,10930000.0,18,25
2025-06-18,13631428.57,13640000.0,13630000.0,15,21
2025-06-19,11875000.0,13585000.0,11020000.0,3,6
2025-06-20,12752758.62,13515000.0,11050000.0,23,29
2025-06-21,12193684.21,13590000.0,11070000.0,16,38
2025-06-22,12496923.08,13540000.0,11060000.0,19,26
2025-06-23,13727567.57,13750000.0,13530000.0,12,37
2025-06-24,13388750.0,14230000.0,11300000.0,20,32
2025-06-25,12942222.22,14210000.0,11350000.0,19,36
2025-06-26,12598181.82,13290000.0,11385000.0,10,11
2025-06-27,12471428.57,13265000.0,11425000.0,10,14
2025-06-28,11709000.0,13200000.0,11415000.0,17,30
2025-06-29,13038043.48,13150000.0,10085000.0,21,46
2025-06-30,12993863.64,13240000.0,12130000.0,12,44
2025-07-01,13287450.98,13300000.0,13270000.0,8,51
2025-07-02,12112631.58,13290000.0,10540000.0,14,19
2025-07-03,13027213.11,13300000.0,10660000.0,17,61
2025-07-04,11241090.91,13240000.0,10800000.0,14,55
2025-07-05,12422500.0,13180000.0,10770000.0,19,44
2025-07-06,12456571.43,13120000.0,10795000.0,21,35
2025-07-07,12868076.92,12920000.0,10810000.0,13,26
2025-07-08,11990000.0,13140000.0,10840000.0,2,2
2025-07-09,13300000.0,13300000.0,13280000.0,30,105
2025-07-10,14661250.0,16920000.0,10900000.0,4,8
2025-07-11,14575000.0,16865000.0,11190000.0,12,20
2025-07-12,15769090.91,16740000.0,11400000.0,19,33
2025-07-13,15572631.58,16580000.0,11735000.0,11,19
2025-07-14,14831111.11,16285000.0,11940000.0,9,9
2025-07-15,15890000.0,15980000.0,15880000.0,19,42
2025-07-16,15369729.73,15700000.0,12170000.0,17,37
2025-07-17,14338333.33,14840000.0,12350000.0,14,24
2025-07-18,14473859.65,14670000.0,12430000.0,29,57
2025-07-19,14555932.2,14630000.0,12700000.0,18,59
2025-07-20,13572333.33,14570000.0,12820000.0,16,30
2025-07-21,14166800.0,14430000.0,12840000.0,22,50
2025-07-22,13718125.0,14380000.0,12850000.0,15,16
2025-07-23,13580285.71,14235000.0,12890000.0,26,35
2025-07-24,13953835.62,14060000.0,12880000.0,26,73
2025-07-25,13892575.76,14000000.0,12870000.0,23,66
2025-07-26,13873589.74,13890000.0,12860000.0,17,39
2025-07-27,13607580.65,13890000.0,12860000.0,23,62
2025-07-28,13769791.67,13880000.0,12840000.0,15,48
2025-07-29,13540434.78,13820000.0,12830000.0,15,23
2025-07-30,13494375.0,13800000.0,11350000.0,12,32
2025-07-31,13189230.77,13760000.0,12000000.0,10,13
2025-08-01,13190000.0,13800000.0,12000000.0,13,37
2025-08-02,13586521.74,13800000.0,11460000.0,14,23
2025-08-03,12461666.67,13800000.0,12220000.0,12,24
2025-08-04,11976666.67,12230000.0,11460000.0,15,18
2025-08-05,13168727.27,13740000.0,12250000.0,23,55
2025-08-06,13514754.1,13750000.0,11490000.0,28,61
2025-08-07,15119047.62,15500000.0,11505000.0,8,21
2025-08-08,15466000.0,15480000.0,15460000.0,8,10
2025-08-09,13926666.67,15420000.0,11570000.0,11,18
2025-08-10,14856923.08,15110000.0,11705000.0,13,26
2025-08-11,15090000.0,15280000.0,15080000.0,25,101
2025-08-12,15460000.0,15490000.0,15430000.0,23,110
2025-08-13,13320909.09,13340000.0,13320000.0,8,11
2025-08-14,13050000.0,13260000.0,12970000.0,20,44
2025-08-15,13046250.0,13190000.0,12040000.0,7,8
2025-08-16,12690312.5,12940000.0,12040000.0,13,32
2025-08-17,12148000.0,12730000.0,12030000.0,18,60
2025-08-18,12506000.0,12675000.0,11845000.0,6,10
2025-08-19,12279268.29,12695000.0,11670000.0,20,41
2025-08-20,12587435.9,12670000.0,11670000.0,15,39
2025-08-21,12521000.0,12650000.0,12500000.0,13,20
2025-08-22,12595263.16,12610000.0,12300000.0,10,19
2025-08-23,12397307.69,12570000.0,11680000.0,19,26
2025-08-24,12414727.27,12520000.0,11670000.0,16,55
2025-08-25,11001685.19,11670000.0,10180000.0,18,54
2025-08-26,10105363.64,10990000.0,4666000.0,9,22
2025-08-27,8661600.0,9999000.0,2841500.0,6,10
2025-08-28,9834372.09,9996000.0,6501000.0,15,43
2025-08-29,10078527.78,22950000.0,10000000.0,21,36
2025-08-30,10100000.0,11250000.0,10000000.0,13,24
2025-08-31,11693409.09,12520000.0,9105000.0,13,22
2025-09-01,12369512.82,12540000.0,12000000.0,13,39
2025-09-02,11507166.67,12000000.0,9112000.0,15,18
2025-09-03,11516294.12,12000000.0,11490000.0,16,17
2025-09-04,11660000.0,12000000.0,11490000.0,5,6
2025-09-05,11585500.0,11990000.0,9133500.0,14,14
2025-09-06,10240909.09,10995000.0,9140000.0,13,22
2025-09-07,10808431.82,10980000.0,9144000.0,23,44
2025-09-08,9673809.52,10980000.0,9150000.0,6,21
2025-09-09,10170428.57,10980000.0,9155000.0,13,21
2025-09-10,10245958.33,10470000.0,9159000.0,22,24
2025-09-11,10466833.33,10470000.0,10460000.0,20,48
2025-09-12,10397320.0,10980000.0,9182000.0,18,25
2025-09-13,10638625.0,10970000.0,9184000.0,17,32
2025-09-14,10694918.92,10990000.0,9187000.0,20,37
2025-09-15,10158212.12,10980000.0,9189000.0,14,33
2025-09-16,11364377.36,11900000.0,10980000.0,25,53
2025-09-17,11519000.0,12000000.0,9199000.0,12,19
2025-09-18,12262000.0,12550000.0,9204000.0,9,12
2025-09-19,12509794.87,12600000.0,9206000.0,17,39
2025-09-20,12957232.14,13250000.0,12650000.0,35,56
2025-09-21,11108000.0,13230000.0,9218000.0,12,17
2025-09-22,12810375.0,13240000.0,12500000.0,21,24
2025-09-23,10454750.0,13240000.0,9245000.0,8,16
2025-09-24,11946000.0,13220000.0,9247000.0,10,17
2025-09-25,12689575.76,13250000.0,9258000.0,17,33
2025-09-26,11611125.0,12620000.0,9278000.0,11,16
2025-09-27,12213538.46,12475000.0,9306000.0,17,26
2025-09-28,12564940.0,12640000.0,12000000.0,31,50
2025-09-29,12833181.82,13250000.0,12640000.0,16,44
2025-09-30,10982250.0,13245000.0,9365000.0,11,24
2025-10-01,12909348.84,12990000.0,9392000.0,20,43
2025-10-02,12255258.06,12470000.0,12000000.0,19,31
2025-10-03,11990909.09,12000000.0,11990000.0,10,11
2025-10-04,11302647.06,12450000.0,9436000.0,15,17
2025-10-05,12283515.15,12480000.0,9443000.0,19,33
2025-10-06,11725437.5,12500000.0,9456000.0,11,16
2025-10-07,12304190.48,12500000.0,11980000.0,15,21
2025-10-08,12311878.79,12500000.0,9471000.0,19,33
2025-10-09,12204965.52,12400000.0,9482000.0,15,29
2025-10-10,12344151.52,12470000.0,12000000.0,12,33
2025-10-11,12174741.94,12460000.0,9513000.0,14,31
2025-10-12,12086333.33,12300000.0,9526500.0,12,21
2025-10-13,11670272.73,12450000.0,9546000.0,14,33
2025-10-14,12098333.33,12500000.0,9556000.0,17,51
2025-10-15,11690224.49,13230000.0,9569000.0,19,49
