date,average,highest,lowest,order_count,volume
2025-05-20,21940000.0,22010000.0,21000000.0,94,133
2025-05-21,21920000.0,21950000.0,21730000.0,121,209
2025-05-22,21940000.0,21980000.0,21915000.0,92,143
2025-05-23,22430000.0,22585000.0,18440000.0,95,136
2025-05-24,18550000.0,19960000.0,18530000.0,128,252
2025-05-25,18430000.0,18520000.0,18420000.0,122,277
2025-05-26,18090000.0,18130000.0,17190000.0,86,122
2025-05-27,17689100.0,17980000.0,16790000.0,87,100
2025-05-28,17480000.0,17790000.0,17190000.0,116,206
2025-05-29,17800000.0,17900000.0,17490000.0,138,270
2025-05-30,18110000.0,18400000.0,18080000.0,109,165
2025-05-31,18400000.0,18435000.0,18300000.0,111,159
2025-06-01,18330000.0,18510000.0,18000000.0,162,232
2025-06-02,21320000.0,21350000.0,19000000.0,161,283
2025-06-03,20100000.0,23000000.0,20010000.0,130,340
2025-06-04,19980000.0,22470000.0,17240000.0,98,145
2025-06-05,18100000.0,21620000.0,18010000.0,109,201
2025-06-06,19870000.0,20440000.0,19590000.0,116,144
2025-06-07,20460000.0,20500000.0,19560000.0,167,305
2025-06-08,20790000.0,23700000.0,20700000.0,161,296
2025-06-09,21990000.0,23770000.0,18080000.0,123,252
2025-06-10,23090000.0,23270000.0,21960000.0,92,113
2025-06-11,20790000.0,21360000.0,18520000.0,112,183
2025-06-12,18990000.0,20505000.0,17970000.0,108,186
2025-06-13,19870000.0,20370000.0,19840000.0,127,213
2025-06-14,19500000.0,19800000.0,19400000.0,116,131
2025-06-15,19380000.0,19390000.0,19360000.0,154,309
2025-06-16,19720000.0,19820000.0,19490000.0,109,169
2025-06-17,20300000.0,20350000.0,20220000.0,105,135
2025-06-18,19970000.0,20020000.0,18850000.0,90,167
2025-06-19,19850000.0,19910000.0,19700000.0,75,128
2025-06-20,19805000.0,19820000.0,19000000.0,84,112
2025-06-21,19800000.0,19820000.0,19690000.0,120,174
2025-06-22,18980000.0,19500000.0,18980000.0,106,212
2025-06-23,18500000.0,18600000.0,18000000.0,99,150
2025-06-24,17190000.0,17320000.0,15500000.0,98,211
2025-06-25,17000000.0,17000000.0,16980000.0,114,173
2025-06-26,17340000.0,17340000.0,17330000.0,110,212
2025-06-27,18180000.0,18250000.0,18000000.0,109,263
2025-06-28,18210000.0,18230000.0,18150000.0,96,152
2025-06-29,17930000.0,18030000.0,17195000.0,98,125
2025-06-30,17760000.0,17850000.0,17730000.0,70,128
2025-07-01,17120000.0,17120000.0,17110000.0,121,155
2025-07-02,17060000.0,17060000.0,17060000.0,91,151
2025-07-03,17090000.0,17200000.0,16590000.0,101,132
2025-07-04,16580000.0,16590000.0,16560000.0,100,186
2025-07-05,16900000.0,17990000.0,16500000.0,97,174
2025-07-06,18165000.0,18180000.0,18110000.0,105,170
2025-07-07,15960000.0,15980000.0,15960000.0,93,240
2025-07-08,17940000.0,17950000.0,17930000.0,88,128
2025-07-09,17800000.0,17940000.0,17720000.0,112,225
2025-07-10,17400000.0,17420000.0,16170000.0,102,134
2025-07-11,17280000.0,17300000.0,16200000.0,89,149
2025-07-12,17270000.0,17290000.0,16210000.0,101,157
2025-07-13,16220000.0,16220000.0,16220000.0,111,176
2025-07-14,17370000.0,17480000.0,17360000.0,108,156
2025-07-15,18035000.0,18060000.0,17980000.0,125,198
2025-07-16,18130000.0,18260000.0,18100000.0,106,158
2025-07-17,18400000.0,18470000.0,18260000.0,125,205
2025-07-18,19640000.0,19920000.0,18970000.0,110,210
2025-07-19,19000000.0,19900000.0,17060000.0,91,164
2025-07-20,18690000.0,18700000.0,18600000.0,130,163
2025-07-21,18530000.0,18580000.0,17200000.0,85,119
2025-07-22,17210000.0,17210000.0,17210000.0,119,190
2025-07-23,18200000.0,18210000.0,18160000.0,91,155
2025-07-24,18160000.0,18160000.0,18150000.0,90,138
2025-07-25,18160000.0,18520000.0,18140000.0,88,168
2025-07-26,18330000.0,18430000.0,18250000.0,100,140
2025-07-27,18310000.0,18500000.0,18240000.0,136,194
2025-07-28,18990000.0,19170000.0,18490000.0,83,110
2025-07-29,17090000.0,17960000.0,17090000.0,114,233
2025-07-30,18060000.0,18090000.0,17030000.0,103,190
