date,average,highest,lowest,order_count,volume
2025-05-20,8100.0,8100.0,8100.0,3,4
2025-05-21,8200.0,8200.0,8200.0,1,1
2025-05-22,8250.0,8256.0,8242.0,6,7
2025-05-23,8270.0,8270.0,8270.0,1,1
2025-05-24,8303.25,8310.0,8301.0,4,4
2025-05-25,38938.38,89980.0,8310.0,11,16
2025-05-26,176610.33,344900.0,8320.0,4,6
2025-05-27,147502.75,344000.0,8331.0,8,12
2025-05-28,8343.0,8343.0,8343.0,1,1
2025-05-29,8359.6,8361.0,8358.0,5,5
2025-05-30,91704.58,341700.0,8369.0,7,12
2025-05-31,8415.67,8428.0,8403.0,4,6
2025-06-01,8442.38,8448.5,8440.0,6,8
2025-06-02,8453.6,8460.5,8449.0,5,5
2025-06-03,10100.0,10100.0,10100.0,1,1
2025-06-04,10122.0,10210.0,10100.0,4,5
2025-06-05,256287.92,309900.0,11000.0,9,24
2025-06-06,11047.14,11100.0,11010.0,7,7
2025-06-07,11103.33,11110.0,11100.0,3,3
2025-06-08,11200.95,11210.0,11200.0,9,21
2025-06-09,215215.0,337600.0,11210.0,4,8
2025-06-10,222216.67,336900.0,11300.0,4,6
2025-06-11,11300.0,11300.0,11300.0,7,7
2025-06-12,11592.31,11600.0,11500.0,3,13
2025-06-13,11601.43,11610.0,11600.0,5,7
2025-06-14,11647.5,11700.0,11640.0,6,8
2025-06-15,83668.33,335450.0,11710.0,11,18
2025-06-17,27211.11,150500.0,11800.0,7,9
2025-06-18,11760.0,11800.0,11720.0,2,2
2025-06-19,12010.0,12010.0,12010.0,1,2
2025-06-20,12235.0,12280.0,12100.0,2,4
2025-06-21,12280.0,12280.0,12280.0,6,7
2025-06-22,12288.0,12300.0,12280.0,10,15
2025-06-23,338100.0,338100.0,338100.0,22,248
2025-06-24,12400.0,12400.0,12400.0,2,2
2025-06-25,12400.0,12400.0,12400.0,2,2
2025-06-26,12410.0,12410.0,12410.0,1,1
2025-06-27,12441.43,12450.0,12440.0,2,14
2025-06-28,12468.0,12480.0,12450.0,4,5
2025-06-29,12480.0,12480.0,12480.0,2,16
2025-06-30,12480.0,12480.0,12480.0,6,11
2025-07-01,12480.0,12480.0,12480.0,5,10
2025-07-02,257313.33,314900.0,12480.0,4,6
2025-07-03,202513.26,211000.0,12480.0,8,92
2025-07-04,12481.82,12490.0,12480.0,4,11
2025-07-05,73187.73,279800.0,12510.0,12,22
2025-07-06,12520.91,12530.0,12510.0,8,11
2025-07-07,12540.0,12540.0,12540.0,2,2
2025-07-08,12545.0,12550.0,12540.0,2,2
2025-07-09,12560.0,12560.0,12560.0,6,7
2025-07-10,12550.0,12550.0,12550.0,7,7
2025-07-11,24962.5,62550.0,12550.0,4,4
2025-07-12,66285.38,135600.0,12550.0,7,13
2025-07-13,54690.0,117900.0,12550.0,7,10
2025-07-14,12510.0,12510.0,12510.0,9,122
2025-07-15,12510.0,12510.0,12510.0,1,1
2025-07-16,12510.0,12510.0,12510.0,4,6
2025-07-17,14688.75,15000.0,12510.0,12,16
2025-07-18,81984.0,90000.0,15000.0,7,30
2025-07-19,15000.0,15000.0,15000.0,3,3
2025-07-20,14629.33,15020.0,8048.0,11,18
2025-07-21,15026.67,15030.0,15020.0,4,6
2025-07-22,32820.0,59490.0,15030.0,3,5
2025-07-23,15064.0,15070.0,15060.0,3,5
2025-07-24,15078.33,15080.0,15060.0,5,12
2025-07-25,15845.67,15900.0,15085.0,8,30
2025-07-26,22820.43,35000.0,16010.0,13,23
2025-07-27,23792.0,41980.0,16010.0,9,10
2025-07-28,29125.71,41940.0,25000.0,8,14
2025-07-29,16020.0,16020.0,16020.0,7,7
2025-07-30,16020.0,16020.0,16020.0,2,2
2025-07-31,16050.0,16050.0,16050.0,4,4
2025-08-01,16047.5,16055.0,16040.0,3,4
2025-08-02,16040.0,16040.0,16040.0,4,4
2025-08-03,16048.0,16050.0,16040.0,5,5
2025-08-04,16050.0,16050.0,16050.0,7,115
2025-08-05,19372.22,19800.0,16050.0,4,9
2025-08-06,16050.0,16050.0,16050.0,5,8
2025-08-07,16050.0,16050.0,16050.0,5,5
2025-08-08,17900.0,17900.0,17900.0,8,114
2025-08-09,16050.0,16050.0,16050.0,11,28
2025-08-10,17067.86,18900.0,16050.0,9,14
2025-08-11,16050.0,16050.0,16050.0,3,3
2025-08-12,16050.0,16050.0,16050.0,5,5
2025-08-13,16050.0,16050.0,16050.0,5,5
2025-08-14,16050.0,16050.0,16050.0,4,33
2025-08-15,16050.0,16050.0,16050.0,3,6
2025-08-16,16050.0,16050.0,16050.0,1,1
2025-08-17,16050.0,16050.0,16050.0,5,18
2025-08-18,16436.0,17980.0,16050.0,5,5
2025-08-19,16050.0,16050.0,16050.0,4,6
2025-08-20,16050.0,16050.0,16050.0,2,5
2025-08-21,17164.38,18900.0,16050.0,10,32
2025-08-22,16840.0,20000.0,16050.0,5,5
2025-08-23,29726.44,34780.0,16050.0,10,45
2025-08-24,16050.0,16050.0,16050.0,5,8
2025-08-25,37826.92,43950.0,16050.0,8,13
2025-08-26,16050.0,16050.0,16050.0,4,8
2025-08-27,16055.0,16060.0,16050.0,2,2
2025-08-28,16050.0,16050.0,16050.0,2,3
2025-08-29,16050.0,16050.0,16050.0,3,4
2025-08-30,16055.0,16060.0,16050.0,2,2
2025-08-31,16057.65,16060.0,16050.0,6,17
2025-09-02,16060.0,16060.0,16060.0,5,14
2025-09-03,38495.0,105800.0,16060.0,4,4
2025-09-04,31011.67,105800.0,16050.0,6,6
2025-09-05,16060.0,16060.0,16060.0,3,3
2025-09-06,16060.0,16060.0,16060.0,2,3
2025-09-07,16060.0,16060.0,16060.0,8,9
2025-09-08,71903.33,99800.0,16060.0,4,6
2025-09-09,16060.0,16060.0,16060.0,4,4
2025-09-10,16060.0,16060.0,16060.0,3,4
2025-09-11,102598.0,106950.0,99990.0,5,5
2025-09-12,39170.0,108500.0,16060.0,4,4
2025-09-13,44503.08,108500.0,16060.0,7,13
2025-09-14,16080.0,16080.0,16080.0,3,3
2025-09-15,16094.0,16100.0,16090.0,4,5
2025-09-16,16116.0,16120.0,16100.0,5,5
2025-09-17,16120.0,16120.0,16120.0,6,9
2025-09-18,16120.0,16120.0,16120.0,3,3
2025-09-19,16120.0,16120.0,16120.0,5,5
2025-09-20,21659.95,32660.0,16159.93,3,3
2025-09-21,40917.22,105600.0,16160.0,6,18
2025-09-22,55988.46,102400.0,16200.0,7,13
2025-09-23,16220.0,16220.0,16220.0,4,4
2025-09-24,99665.14,101900.0,16210.0,5,37
2025-09-25,16244.0,16250.0,16240.0,7,10
2025-09-26,16280.0,16280.0,16280.0,1,1
2025-09-27,16280.0,16280.0,16280.0,3,3
2025-09-28,16280.0,16280.0,16280.0,5,9
2025-09-29,16288.89,16290.0,16280.0,2,9
2025-09-30,16320.0,16320.0,16320.0,1,1
2025-10-01,16320.0,16320.0,16320.0,2,2
2025-10-02,16320.0,16320.0,16320.0,3,4
2025-10-03,16362.5,16370.0,16360.0,4,4
2025-10-04,16380.0,16380.0,16380.0,4,4
2025-10-05,16383.33,16390.0,16380.0,3,3
2025-10-06,16408.33,16410.0,16400.0,5,6
2025-10-07,16410.0,16410.0,16410.0,4,4
2025-10-08,47943.33,73170.0,16410.0,5,9
2025-10-09,16410.0,16410.0,16410.0,2,2
2025-10-10,16410.0,16410.0,16410.0,4,4
2025-10-11,27843.64,67500.0,16410.0,9,11
2025-10-12,63894.38,67060.0,16410.0,2,16
2025-10-13,16410.0,16410.0,16410.0,3,4
2025-10-14,50063.33,66890.0,16410.0,2,3
2025-10-15,29663.68,66780.0,16410.0,13,19
2025-10-16,16410.0,16410.0,16410.0,3,3
2025-10-17,58255.0,66630.0,16410.0,3,6
2025-10-18,16409.33,16410.0,16400.0,5,15
2025-10-19,59980.0,59980.0,59980.0,12,126
2025-10-20,83173.1,107100.0,74830.0,14,58
2025-10-21,16410.0,16410.0,16410.0,2,2
2025-10-22,16411.11,16420.0,16410.0,9,9
2025-10-23,82082.0,108500.0,43205.0,4,5
2025-10-24,16410.0,16410.0,16410.0,2,2
2025-10-25,16410.0,16410.0,16410.0,3,4
2025-10-26,16430.0,16430.0,16430.0,9,9
2025-10-27,16430.0,16430.0,16430.0,6,10
2025-10-28,40950.0,89990.0,16430.0,3,3
2025-10-29,34940.0,100000.0,16420.0,8,13
2025-10-30,46720.0,107300.0,16430.0,7,15
2025-10-31,16430.0,16430.0,16430.0,3,4
2025-11-01,16443.75,16450.0,16440.0,7,8
2025-11-02,16450.0,16450.0,16450.0,8,8
2025-11-03,16450.0,16450.0,16450.0,7,8
2025-11-04,16443.75,16450.0,16400.0,7,8
2025-11-05,16450.0,16450.0,16450.0,3,3
2025-11-06,16450.0,16450.0,16450.0,6,9
2025-11-07,16450.0,16450.0,16450.0,4,5
2025-11-08,55347.89,94840.0,16450.0,7,19
2025-11-09,25158.89,94820.0,16450.0,9,9
2025-11-10,16466.47,16470.0,16460.0,5,17
2025-11-11,16470.0,16470.0,16470.0,4,4
2025-11-12,16470.0,16470.0,16470.0,6,6
2025-11-13,16467.5,16470.0,16460.0,4,4
2025-11-14,16462.86,16470.0,16460.0,6,7
