date,average,highest,lowest,order_count,volume
2025-05-20,3429000.0,3429000.0,3429000.0,1,1
2025-05-21,4064000.0,4698000.0,3430000.0,2,2
2025-05-22,3974857.14,4699000.0,3434000.0,5,7
2025-05-23,3436285.71,3437000.0,3436000.0,3,7
2025-05-24,4693000.0,4693000.0,4693000.0,1,1
2025-05-25,3363066.67,4000000.0,111400.0,6,6
2025-05-26,3442500.0,3443000.0,3442000.0,2,2
2025-05-27,3689444.44,3999000.0,3442000.0,7,9
2025-05-28,3900000.0,3900000.0,3900000.0,1,1
2025-05-29,3448000.0,3448000.0,3448000.0,1,2
2025-05-30,3699000.0,3699000.0,3699000.0,1,1
2025-05-31,3527533.33,3700000.0,3449000.0,9,15
2025-06-01,4393000.0,4443000.0,4343000.0,2,2
2025-06-03,4430000.0,4691000.0,3386000.0,3,10
2025-06-04,4037000.0,4687000.0,3387000.0,4,4
2025-06-05,6952789.47,8349000.0,4965000.0,20,38
2025-06-06,6040200.0,9999500.0,3401000.0,5,5
2025-06-07,19000000.0,19000000.0,19000000.0,1,1
2025-06-08,3500200.0,3501000.0,3500000.0,5,5
2025-06-09,4715166.67,18920000.0,3405000.0,7,12
2025-06-10,3387428.57,3388000.0,3385000.0,6,7
2025-06-12,5356666.67,15150000.0,3400000.0,6,6
2025-06-13,3392200.0,3393000.0,3392000.0,5,5
2025-06-14,3297909.09,3385000.0,2397000.0,9,11
2025-06-15,3518400.0,8000000.0,2398000.0,4,5
2025-06-17,5537000.0,6999000.0,2400000.0,7,8
2025-06-18,2398000.0,2399000.0,2397000.0,4,4
2025-06-19,1800500.0,1801000.0,1800000.0,2,2
2025-06-20,1856000.0,1900000.0,1801000.0,3,9
2025-06-22,111600.0,111600.0,111600.0,2,2
2025-06-25,815700.0,1000000.0,769600.0,4,5
2025-06-26,5049250.0,6449000.0,850000.0,2,4
2025-06-27,6440000.0,6440000.0,6440000.0,1,1
2025-06-28,4523300.0,6355000.0,850400.0,5,6
2025-06-29,6374000.0,6374000.0,6374000.0,1,3
2025-06-30,6335500.0,6338000.0,6335000.0,3,6
2025-07-02,910300.0,910300.0,910300.0,1,1
2025-07-03,6315833.33,6319000.0,6314500.0,5,6
2025-07-04,6319000.0,6319000.0,6319000.0,1,1
2025-07-05,4579000.0,6315500.0,1106000.0,3,3
2025-07-07,3446454.55,5950000.0,3196000.0,4,11
2025-07-08,5948000.0,5948000.0,5948000.0,1,1
2025-07-09,5056833.33,5799000.0,1204000.0,6,6
2025-07-10,5974000.0,6000000.0,5948000.0,2,2
2025-07-11,4367400.0,6369000.0,1300000.0,5,5
2025-07-12,5430333.33,7495000.0,1301000.0,3,3
2025-07-13,4889400.0,7657500.0,1401000.0,7,10
2025-07-14,1512000.0,1512000.0,1512000.0,1,1
2025-07-15,7661000.0,7664000.0,7658000.0,3,5
2025-07-16,7668000.0,7668000.0,7668000.0,1,1
2025-07-19,7665500.0,7666000.0,7665000.0,2,2
2025-07-20,5899750.0,6800000.0,4999500.0,4,4
2025-07-21,3214875.0,6797000.0,1625000.0,6,8
2025-07-22,6906400.0,7333000.0,6800000.0,4,10
2025-07-24,3918000.0,7664000.0,3000000.0,4,4
2025-07-26,7663000.0,7663000.0,7663000.0,1,1
2025-07-27,3099190.48,3119000.0,3005500.0,10,21
2025-07-28,3025250.0,3026000.0,3024500.0,3,4
2025-07-29,5930500.0,6972000.0,4889000.0,2,2
2025-07-31,3080666.67,3114000.0,3014000.0,3,3
2025-08-01,4026666.67,4876000.0,3016000.0,5,6
2025-08-02,4254666.67,4874500.0,3015000.0,3,3
2025-08-03,3394900.0,3501000.0,3014000.0,5,10
2025-08-04,3758600.0,4874000.0,3015000.0,7,10
2025-08-05,4496666.67,4499000.0,4495500.0,3,3
2025-08-06,4002666.67,4494500.0,3019000.0,3,3
2025-08-07,3672000.0,3999000.0,3018000.0,2,3
2025-08-08,4052214.29,4881500.0,3995000.0,6,14
2025-08-09,4042400.0,7657000.0,3018500.0,4,5
2025-08-11,3906000.0,7000000.0,2359000.0,3,3
2025-08-12,6997000.0,6997000.0,6997000.0,1,1
2025-08-13,1705000.0,1705000.0,1705000.0,1,1
2025-08-14,1701600.0,1705500.0,1701000.0,5,10
2025-08-16,6512100.0,6996000.0,6490000.0,7,10
2025-08-17,2200000.0,2200000.0,2200000.0,1,1
2025-08-18,6900000.0,6900000.0,6900000.0,1,1
2025-08-19,2609200.0,5000000.0,2012000.0,3,5
2025-08-20,6999000.0,7739000.0,5899000.0,6,10
2025-08-23,2013000.0,2013000.0,2013000.0,1,1
2025-08-24,2501285.71,2502000.0,2501000.0,3,7
2025-08-25,3997333.33,6988000.0,2502000.0,3,3
2025-08-26,5429666.67,6644000.0,3001000.0,3,3
2025-08-27,6989000.0,6989000.0,6989000.0,1,1
2025-08-28,4330666.67,6988000.0,3002000.0,3,3
2025-08-29,7107785.71,7796000.0,6988000.0,5,14
2025-08-30,5365363.64,14000000.0,2503000.0,11,11
2025-08-31,12965000.0,13930000.0,12000000.0,2,2
2025-09-03,6665833.33,7999000.0,3002000.0,4,6
2025-09-04,13950000.0,13950000.0,13950000.0,1,1
2025-09-06,14243750.0,14710000.0,13960000.0,6,8
2025-09-08,6000000.0,6000000.0,6000000.0,1,1
2025-09-09,35090000.0,35090000.0,35090000.0,1,1
2025-09-10,13796666.67,29790000.0,5800000.0,4,6
2025-09-11,13000000.0,19990000.0,6010000.0,2,2
2025-09-12,4509208.33,6000000.0,1701000.0,8,24
2025-09-13,8949000.0,8999000.0,8899000.0,2,2
