date,average,highest,lowest,order_count,volume
2025-05-22,136250000.0,136300000.0,136150000.0,6,10
2025-05-24,135765000.0,136650000.0,134000000.0,16,20
2025-05-25,133025000.0,136650000.0,129400000.0,4,4
2025-05-26,128200000.0,128200000.0,128200000.0,1,2
2025-05-27,95643333.33,113785000.0,59365000.0,5,6
2025-05-28,99989375.0,99990000.0,99980000.0,8,16
2025-05-29,126542857.14,127200000.0,125000000.0,5,7
2025-05-30,130687500.0,135600000.0,127600000.0,7,8
2025-05-31,63100000.0,63100000.0,63100000.0,1,3
2025-06-02,132530000.0,136800000.0,130000000.0,18,40
2025-06-03,135085714.29,135100000.0,135000000.0,6,21
2025-06-04,116808750.0,119000000.0,69670000.0,4,8
2025-06-06,101072142.86,116800000.0,92790000.0,6,14
2025-06-07,96707678.57,98490000.0,92760000.0,16,56
2025-06-08,109531304.35,116700000.0,99000000.0,8,23
2025-06-09,112850000.0,116700000.0,109000000.0,2,2
2025-06-10,110534193.55,116700000.0,93910000.0,12,31
2025-06-11,94056000.0,94060000.0,94045000.0,4,5
2025-06-12,101155555.56,105000000.0,94020000.0,18,36
2025-06-13,94052857.14,94060000.0,94050000.0,4,7
2025-06-14,106460000.0,106600000.0,106200000.0,5,5
2025-06-15,100220000.0,106350000.0,94090000.0,3,4
2025-06-16,99850000.0,105600000.0,94100000.0,2,2
2025-06-17,97806666.67,105000000.0,94210000.0,2,3
2025-06-18,97558800.0,101300000.0,94120000.0,16,25
2025-06-19,73075000.0,73090000.0,73060000.0,2,2
2025-06-20,87462619.05,96950000.0,73130000.0,22,42
2025-06-21,96884615.38,101800000.0,73475000.0,9,13
2025-06-22,90260000.0,101800000.0,73800000.0,5,5
2025-06-23,94632777.78,96830000.0,73940000.0,18,36
2025-06-24,90730909.09,96990000.0,74090000.0,8,11
2025-06-25,74200000.0,74200000.0,74200000.0,1,1
2025-06-26,86814594.59,96990000.0,74300000.0,18,37
2025-06-27,98886000.0,98930000.0,98875000.0,7,10
2025-06-28,90816666.67,98865000.0,74720000.0,3,3
2025-06-29,91989090.91,98830000.0,86155000.0,9,11
2025-06-30,97109230.77,98760000.0,88040000.0,7,13
2025-07-02,89547500.0,95990000.0,88630000.0,6,8
2025-07-03,91640000.0,95905000.0,88700000.0,5,5
2025-07-06,87195294.12,88690000.0,74340000.0,11,17
2025-07-07,74546888.89,92000000.0,74365000.0,13,45
2025-07-08,82235000.0,93880000.0,70590000.0,2,2
2025-07-09,92982500.0,92990000.0,92980000.0,3,4
2025-07-10,74883750.0,92660000.0,70770000.0,7,16
2025-07-11,70878750.0,70900000.0,70850000.0,6,8
2025-07-12,89885000.0,89910000.0,89860000.0,2,2
2025-07-13,88868500.0,89810000.0,70970000.0,9,20
2025-07-14,71481612.9,88980000.0,71020000.0,12,31
2025-07-15,87786666.67,88915000.0,87220000.0,8,12
2025-07-16,87934090.91,88740000.0,70250000.0,9,22
2025-07-18,82715483.87,88500000.0,70570000.0,12,31
2025-07-19,86128695.65,88410000.0,70820000.0,9,23
2025-07-20,88527500.0,88530000.0,88520000.0,3,4
2025-07-21,86638000.0,88400000.0,71200000.0,6,10
2025-07-22,71271666.67,71280000.0,71270000.0,3,6
2025-07-23,86590789.47,88390000.0,84880000.0,17,38
2025-07-24,84728888.89,89000000.0,70040000.0,5,9
2025-07-26,90539000.0,92795000.0,90000000.0,4,10
2025-07-27,72360000.0,72360000.0,72360000.0,2,4
2025-07-29,72595000.0,72700000.0,72490000.0,2,2
2025-07-30,88476666.67,92700000.0,87980000.0,16,45
2025-07-31,92126875.0,92800000.0,72990000.0,8,16
2025-08-02,73130000.0,73130000.0,73130000.0,2,3
2025-08-03,77073750.0,92840000.0,73590000.0,12,16
2025-08-04,88930666.67,92780000.0,73320000.0,19,30
2025-08-05,90429565.22,93050000.0,74020000.0,12,23
2025-08-06,100270434.78,136600000.0,94650000.0,12,46
2025-08-08,84130000.0,134900000.0,75665000.0,5,7
2025-08-09,129480000.0,129500000.0,129400000.0,2,5
2025-08-10,96276153.85,129300000.0,75800000.0,6,13
2025-08-11,115150000.0,115200000.0,115100000.0,3,4
2025-08-12,83010000.0,114750000.0,76010000.0,9,11
2025-08-13,113473529.41,114200000.0,112600000.0,15,34
2025-08-14,113000000.0,113000000.0,113000000.0,1,1
2025-08-15,113461186.44,128300000.0,110700000.0,17,59
2025-08-16,126084615.38,128300000.0,100000000.0,4,13
2025-08-17,128193750.0,128300000.0,127900000.0,5,16
2025-08-19,105145142.86,109900000.0,80590000.0,13,35
2025-08-21,80790000.0,80790000.0,80790000.0,1,1
2025-08-24,116800000.0,116800000.0,116800000.0,1,1
2025-08-25,81657000.0,81670000.0,81630000.0,9,20
2025-08-26,99607500.0,99610000.0,99600000.0,3,4
2025-08-27,99574000.0,99580000.0,99570000.0,4,10
2025-08-28,91733333.33,96745000.0,82000000.0,9,9
2025-08-29,95272083.33,99800000.0,93975000.0,15,24
2025-08-30,117600000.0,117600000.0,117600000.0,1,1
2025-08-31,109808000.0,116700000.0,82240000.0,2,5
2025-09-01,112346153.85,116900000.0,110550000.0,18,26
2025-09-04,90851250.0,114650000.0,82920000.0,5,8
2025-09-05,82940000.0,82940000.0,82940000.0,1,1
2025-09-06,91785000.0,104800000.0,83090000.0,4,10
2025-09-07,88470000.0,99120000.0,83145000.0,6,9
2025-09-08,96697857.14,98955000.0,83140000.0,12,14
2025-09-09,87106250.0,98950000.0,83160000.0,4,8
2025-09-10,97792142.86,97810000.0,97760000.0,7,14
2025-09-11,98768333.33,99120000.0,97850000.0,7,12
2025-09-12,108380000.0,115000000.0,104700000.0,7,20
2025-09-13,115132352.94,116700000.0,110000000.0,12,34
2025-09-14,102077142.86,109900000.0,83490000.0,9,14
2025-09-15,125406818.18,128300000.0,117700000.0,7,44
2025-09-16,125753846.15,128300000.0,120800000.0,6,13
2025-09-17,105452857.14,134200000.0,83890000.0,5,7
2025-09-18,134500000.0,135000000.0,134250000.0,3,3
2025-09-19,88042500.0,108700000.0,85090000.0,7,8
2025-09-20,93436500.0,99710000.0,85130000.0,15,20
2025-09-21,89165714.29,99565000.0,85000000.0,5,7
2025-09-22,95214285.71,99290000.0,85015000.0,7,7
2025-09-23,96199411.76,99330000.0,85090000.0,18,34
2025-09-24,95165000.0,102500000.0,86050000.0,16,20
2025-09-25,102176956.52,105000000.0,99900000.0,12,23
2025-09-26,87447500.0,87590000.0,87010000.0,3,4
2025-09-27,88043333.33,88100000.0,88015000.0,5,6
2025-09-28,104737058.82,108800000.0,100000000.0,19,51
2025-09-29,134874285.71,167250000.0,88370000.0,5,7
2025-09-30,146771052.63,178000000.0,130000000.0,12,19
2025-10-01,108210000.0,126800000.0,89620000.0,2,2
2025-10-02,89642500.0,89650000.0,89640000.0,2,4
2025-10-03,115366000.0,123400000.0,90600000.0,12,20
2025-10-04,103420500.0,105800000.0,90610000.0,13,20
2025-10-05,103050000.0,111500000.0,90325000.0,5,5
2025-10-06,93772352.94,105000000.0,90270000.0,12,17
2025-10-07,92954285.71,96085000.0,88110000.0,6,7
2025-10-08,95794117.65,96100000.0,88110000.0,12,17
2025-10-09,86094285.71,99900000.0,85040000.0,12,28
2025-10-10,91750000.0,98020000.0,83915000.0,11,18
