date,average,highest,lowest,order_count,volume
2025-05-20,45270000.0,45270000.0,45270000.0,1,3
2025-05-21,45280000.0,45280000.0,45280000.0,3,9
2025-05-22,53270000.0,53270000.0,53270000.0,1,1
2025-05-24,50586666.67,53225000.0,45310000.0,3,3
2025-05-26,52970000.0,52970000.0,52970000.0,1,3
2025-05-27,47886666.67,52950000.0,45355000.0,3,3
2025-05-29,44316666.67,52940000.0,40005000.0,3,3
2025-05-31,52606666.67,52610000.0,52600000.0,3,3
2025-06-01,52550000.0,52610000.0,52490000.0,2,2
2025-06-02,52500000.0,52500000.0,52500000.0,1,1
2025-06-03,52600000.0,52600000.0,52600000.0,2,2
2025-06-04,52500000.0,52500000.0,52500000.0,1,1
2025-06-06,42030000.0,49900000.0,34160000.0,2,2
2025-06-07,49975000.0,49980000.0,49970000.0,2,2
2025-06-09,49890000.0,49890000.0,49890000.0,1,1
2025-06-11,49860000.0,49860000.0,49860000.0,1,1
2025-06-12,34160000.0,34160000.0,34160000.0,1,1
2025-06-13,39965000.0,39970000.0,39960000.0,2,2
2025-06-14,37388571.43,39890000.0,34150000.0,4,7
2025-06-15,39890000.0,39890000.0,39890000.0,1,1
2025-06-16,33860000.0,33860000.0,33860000.0,1,1
2025-06-17,39900000.0,39900000.0,39900000.0,1,1
2025-06-18,32953333.33,39995000.0,18870000.0,3,3
2025-06-19,45490000.0,45490000.0,45490000.0,1,1
2025-06-21,47990000.0,47990000.0,47990000.0,1,1
2025-06-22,36422000.0,47990000.0,19075000.0,5,5
2025-06-23,48000000.0,48000000.0,48000000.0,1,1
2025-06-24,45953333.33,48930000.0,40000000.0,3,3
2025-06-25,49895000.0,49900000.0,49890000.0,2,2
2025-06-26,50140000.0,50140000.0,50140000.0,1,1
2025-06-27,36505000.0,52000000.0,21010000.0,2,2
2025-06-28,52945000.0,52950000.0,52940000.0,2,2
2025-07-03,53300000.0,53300000.0,53300000.0,2,2
2025-07-04,56066666.67,56250000.0,55975000.0,3,3
2025-07-05,56270000.0,56270000.0,56270000.0,1,1
2025-07-06,56900000.0,56900000.0,56900000.0,1,1
2025-07-08,55995000.0,56000000.0,55990000.0,2,2
2025-07-11,56940000.0,56940000.0,56940000.0,1,1
2025-07-12,56950000.0,56950000.0,56950000.0,2,2
2025-07-14,55990000.0,55990000.0,55990000.0,1,1
2025-07-15,56000000.0,56000000.0,56000000.0,1,1
2025-07-16,56000000.0,56000000.0,56000000.0,1,3
2025-07-19,80000000.0,80000000.0,80000000.0,1,1
2025-07-22,78247500.0,82495000.0,74000000.0,4,4
2025-07-23,112998888.89,150000000.0,94500000.0,5,9
2025-07-27,100040000.0,100100000.0,99980000.0,2,2
2025-07-29,148000000.0,148000000.0,148000000.0,1,1
2025-08-02,124700000.0,124700000.0,124700000.0,1,1
2025-08-05,122700000.0,122700000.0,122700000.0,1,1
2025-08-08,120000000.0,120000000.0,120000000.0,1,1
2025-08-12,51000000.0,51000000.0,51000000.0,1,1
2025-08-14,108800000.0,108800000.0,108800000.0,1,1
2025-08-16,75000000.0,75000000.0,75000000.0,2,2
2025-08-20,99000000.0,99000000.0,99000000.0,2,2
2025-08-22,99790000.0,99790000.0,99790000.0,1,1
2025-08-26,61010000.0,61010000.0,61010000.0,1,2
2025-08-27,96850000.0,96850000.0,96850000.0,1,1
2025-08-28,61006666.67,61010000.0,61000000.0,3,3
2025-08-30,95913000.0,96880000.0,94890000.0,8,10
2025-09-01,97198888.89,97990000.0,95000000.0,4,9
2025-09-03,61030000.0,61030000.0,61030000.0,1,2
2025-09-04,102000000.0,102000000.0,102000000.0,1,1
2025-09-09,103233333.33,103600000.0,103050000.0,3,3
2025-09-10,103275000.0,103700000.0,102000000.0,4,4
2025-09-11,106100000.0,109000000.0,104000000.0,6,7
2025-09-12,118000000.0,118000000.0,118000000.0,1,1
2025-09-15,82020000.0,82020000.0,82020000.0,2,2
2025-09-16,93515000.0,105000000.0,82030000.0,4,4
2025-09-17,107350000.0,109900000.0,104800000.0,2,2
2025-09-18,88520000.0,94990000.0,82050000.0,2,2
2025-09-19,83299090.91,94990000.0,82020000.0,8,11
2025-09-20,81786000.0,86950000.0,61110000.0,5,5
2025-09-21,88960000.0,89000000.0,88940000.0,3,3
2025-09-22,91810000.0,95030000.0,89990000.0,5,5
2025-09-23,101217500.0,104900000.0,99990000.0,4,4
2025-09-25,99743333.33,99750000.0,99740000.0,3,3
2025-09-26,94865000.0,99740000.0,89990000.0,2,2
2025-09-27,84970000.0,84970000.0,84970000.0,1,1
2025-09-28,80000000.0,80000000.0,80000000.0,1,1
2025-09-29,84975000.0,84980000.0,84970000.0,2,2
