date,average,highest,lowest,order_count,volume
2025-05-22,1015250.0,1016000.0,1015000.0,4,4
2025-05-26,5056083.33,49500000.0,1016000.0,9,12
2025-05-28,50000000.0,50000000.0,50000000.0,1,1
2025-05-29,1020000.0,1020000.0,1020000.0,1,1
2025-05-30,1404000.0,1404000.0,1404000.0,1,1
2025-05-31,1408000.0,1408000.0,1408000.0,1,2
2025-06-02,8679666.67,44990000.0,1415000.0,5,6
2025-06-04,4828000.0,6636000.0,3020000.0,2,2
2025-06-05,24006500.0,44990000.0,3023000.0,2,2
2025-06-06,3023000.0,3023000.0,3023000.0,1,1
2025-06-07,3023000.0,3023000.0,3023000.0,1,1
2025-06-08,3026000.0,3028000.0,3024000.0,2,2
2025-06-09,4019000.0,6000000.0,3028500.0,3,3
2025-06-10,12067333.33,29800000.0,3201000.0,3,3
2025-06-11,29800000.0,29800000.0,29800000.0,1,1
2025-06-12,5004000.0,5004000.0,5004000.0,1,1
2025-06-13,29695000.0,29700000.0,29690000.0,2,2
2025-06-14,5008500.0,5009000.0,5008000.0,2,2
2025-06-16,10000000.0,10000000.0,10000000.0,1,1
2025-06-17,5017000.0,5017000.0,5017000.0,2,2
2025-06-19,29980000.0,29980000.0,29980000.0,1,1
2025-06-20,17503500.0,29980000.0,5027000.0,2,2
2025-06-21,17503499.98,29980000.0,5026999.96,2,2
2025-06-22,14715000.0,28000000.0,1430000.0,2,2
2025-06-23,5022000.0,5022000.0,5022000.0,2,2
2025-06-24,5022000.0,5022000.0,5022000.0,1,1
2025-06-25,22265000.0,24500000.0,20030000.0,2,2
2025-06-26,15006000.0,24990000.0,5022000.0,2,2
2025-06-27,1417000.0,1417000.0,1417000.0,2,2
2025-06-28,1417000.0,1417000.0,1417000.0,2,2
2025-06-29,24980000.0,24980000.0,24980000.0,2,6
2025-06-30,1420250.0,1421500.0,1419000.0,4,4
2025-07-01,22495000.0,24990000.0,20000000.0,2,2
2025-07-02,16947333.33,24710000.0,1422000.0,3,3
2025-07-03,25000000.0,25000000.0,25000000.0,1,1
2025-07-05,24000000.0,24000000.0,24000000.0,1,1
2025-07-07,1430000.0,1433000.0,1427000.0,2,2
2025-07-08,1426000.0,1426000.0,1426000.0,1,1
2025-07-09,22860000.0,22860000.0,22860000.0,1,1
2025-07-12,2001000.0,2001000.0,2001000.0,1,1
2025-07-13,14602400.0,22970000.0,2051000.0,5,5
2025-07-14,22980000.0,22980000.0,22980000.0,1,1
2025-07-15,2030000.0,2030000.0,2030000.0,1,1
2025-07-16,15000000.0,15000000.0,15000000.0,1,1
2025-07-17,8515500.0,15000000.0,2031000.0,2,2
2025-07-18,2031000.0,2031000.0,2031000.0,1,1
2025-07-19,2031000.0,2031000.0,2031000.0,1,1
2025-07-20,2001000.0,2001000.0,2001000.0,2,2
2025-07-21,12000000.0,12000000.0,12000000.0,1,1
2025-07-22,2001000.0,2001000.0,2001000.0,1,1
2025-07-23,2001333.33,2002000.0,2001000.0,3,3
2025-07-24,8435000.0,8889000.0,2001000.0,4,4
2025-07-25,13626285.71,21495000.0,2000000.0,7,7
2025-07-26,2010000.0,2010000.0,2010000.0,1,1
2025-07-29,24430000.0,24430000.0,24430000.0,1,1
2025-07-31,16647000.0,23220000.0,3501000.0,3,3
2025-08-01,2806333.33,3502500.0,1414000.0,3,3
2025-08-02,3500000.0,3500000.0,3500000.0,1,1
2025-08-03,17995000.0,18000000.0,17990000.0,2,2
2025-08-04,10850500.0,18100000.0,3601000.0,2,2
2025-08-05,12197000.0,16495000.0,3601000.0,3,3
