date,average,highest,lowest,order_count,volume
2025-05-20,8498187.5,8998000.0,5003500.0,4,16
2025-05-21,8000000.0,8999000.0,5003000.0,4,4
2025-05-22,9122000.0,9488000.0,9000000.0,4,4
2025-05-23,8659500.0,9488000.0,5002000.0,5,6
2025-05-24,9487250.0,9490000.0,9480000.0,4,4
2025-05-25,8499800.0,9498500.0,5003000.0,5,5
2025-05-26,6085166.67,8249000.0,5003000.0,6,6
2025-05-27,6995000.0,7000000.0,6990000.0,2,2
2025-05-28,6333333.33,6995000.0,5010000.0,3,3
2025-05-29,6203800.0,7000000.0,5010000.0,5,5
2025-05-30,6997500.0,7000000.0,6990000.0,3,4
2025-05-31,8248500.0,9497000.0,7000000.0,2,2
2025-06-01,6690125.0,9497000.0,5010000.0,7,8
2025-06-02,8423875.0,9496000.0,1503000.0,6,8
2025-06-03,6767333.33,9399000.0,1504000.0,3,3
2025-06-04,6766000.0,9396500.0,1505000.0,3,3
2025-06-05,9395000.0,9395000.0,9395000.0,2,2
2025-06-06,9397333.33,9400000.0,9396000.0,3,3
2025-06-07,6224625.0,6499000.0,1505000.0,5,8
2025-06-08,9184500.0,9280000.0,9089000.0,2,2
2025-06-09,6738714.29,9087000.0,4999000.0,6,7
2025-06-10,6589000.0,9075000.0,1652000.0,6,6
2025-06-11,9066750.0,9087000.0,9000000.0,4,4
2025-06-13,7873500.0,9999000.0,1505000.0,4,4
2025-06-14,9999000.0,9999000.0,9999000.0,1,1
2025-06-15,14073750.0,18000000.0,11800000.0,8,8
2025-06-16,1505000.0,1505000.0,1505000.0,2,10
2025-06-17,19963333.33,20945000.0,18000000.0,3,3
2025-06-18,20000000.0,20000000.0,20000000.0,1,1
2025-06-19,2001000.0,2001000.0,2001000.0,1,1
2025-06-20,2001000.0,2001000.0,2001000.0,2,2
2025-06-21,12893666.67,18340000.0,2001000.0,3,3
2025-06-23,16990000.0,16990000.0,16990000.0,1,1
2025-06-24,16990000.0,16990000.0,16990000.0,2,2
2025-06-27,9960000.0,16900000.0,3020000.0,2,2
2025-06-28,9860000.0,16700000.0,3020000.0,2,2
2025-06-29,3020000.0,3020000.0,3020000.0,2,2
2025-06-30,16790000.0,16790000.0,16790000.0,1,1
2025-07-03,16315000.0,16720000.0,15910000.0,2,2
2025-07-04,14995000.0,15000000.0,14990000.0,2,2
2025-07-05,15810000.0,15810000.0,15810000.0,3,3
2025-07-06,9415000.0,15790000.0,3040000.0,4,4
2025-07-07,3040000.0,3040000.0,3040000.0,1,1
2025-07-08,9400000.0,15760000.0,3040000.0,2,2
2025-07-10,13990000.0,13990000.0,13990000.0,1,1
2025-07-12,11990000.0,11990000.0,11990000.0,1,1
