date,average,highest,lowest,order_count,volume
2025-05-20,217550.0,217600.0,217500.0,3,4
2025-05-21,217500.0,217500.0,217500.0,2,5
2025-05-22,217500.0,217500.0,217500.0,4,7
2025-05-23,1208800.0,2200000.0,217600.0,2,2
2025-05-24,217563.16,217600.0,217500.0,6,19
2025-05-25,410230.0,2143000.0,217700.0,7,10
2025-05-26,698125.0,2139000.0,217800.0,4,4
2025-05-27,882545.0,999800.0,217600.0,6,20
2025-05-28,724833.33,1739000.0,217750.0,3,3
2025-05-29,435014.29,1735000.0,218300.0,4,7
2025-05-30,218700.0,218700.0,218700.0,1,1
2025-05-31,1559817.07,1721000.0,219600.0,16,82
2025-06-01,1603200.0,2000000.0,219800.0,3,4
2025-06-02,1206700.0,2193000.0,220400.0,3,6
2025-06-03,220550.0,220600.0,220500.0,5,14
2025-06-04,543270.0,1100000.0,220000.0,7,10
2025-06-05,430452.38,1692000.0,220200.0,10,21
2025-06-06,393629.41,1693500.0,220200.0,9,17
2025-06-07,442158.33,1549000.0,220800.0,10,12
2025-06-08,304293.75,1548000.0,221600.0,9,16
2025-06-09,504964.29,1546000.0,221000.0,7,14
2025-06-10,221175.0,221200.0,221100.0,4,4
2025-06-11,542690.48,950000.0,221200.0,12,21
2025-06-12,221650.0,221700.0,221600.0,4,10
2025-06-13,221700.0,221700.0,221700.0,3,3
2025-06-14,263164.29,800000.0,221800.0,8,14
2025-06-15,221900.0,221900.0,221900.0,1,2
2025-06-16,1172975.61,1476000.0,221900.0,11,41
2025-06-17,222300.0,222300.0,222300.0,4,11
2025-06-18,222500.0,222500.0,222500.0,2,2
2025-06-19,581666.67,1300000.0,222500.0,3,3
2025-06-20,1305238.46,1387000.0,222600.0,4,26
2025-06-21,504314.25,2194000.0,222700.0,6,7
2025-06-22,343530.77,1790000.0,222900.0,7,13
2025-06-23,223191.67,223200.0,223100.0,6,12
2025-06-24,352425.0,1779000.0,222600.0,6,12
2025-06-25,222600.0,222600.0,222600.0,2,3
2025-06-26,639345.45,1751000.0,222600.0,5,11
2025-06-27,222600.0,222600.0,222600.0,2,2
2025-06-28,222600.0,222600.0,222600.0,2,9
2025-06-29,222614.29,222700.0,222600.0,3,7
2025-06-30,222600.0,222600.0,222600.0,3,3
2025-07-01,222600.0,222600.0,222600.0,1,2
2025-07-02,313557.14,1496000.0,222600.0,8,14
2025-07-03,222600.0,222600.0,222600.0,4,5
2025-07-04,222600.0,222600.0,222600.0,1,2
2025-07-05,831300.0,1440000.0,222600.0,2,2
2025-07-06,222600.0,222600.0,222600.0,3,4
2025-07-07,1101170.69,1431000.0,222600.0,13,58
2025-07-08,221790.91,221800.0,221700.0,7,11
2025-07-09,221700.0,221700.0,221700.0,3,3
2025-07-10,221700.0,221700.0,221700.0,2,2
2025-07-11,221700.0,221700.0,221700.0,1,1
2025-07-12,337876.92,1732000.0,221700.0,6,13
2025-07-13,221800.0,221800.0,221800.0,2,2
2025-07-14,221800.0,221800.0,221800.0,6,9
2025-07-15,813313.89,1190000.0,221900.0,10,36
2025-07-16,222000.0,222000.0,222000.0,1,1
2025-07-17,277920.0,500000.0,222400.0,5,5
2025-07-18,1420137.5,1690000.0,222400.0,10,32
2025-07-19,527150.0,1136500.0,222500.0,4,6
2025-07-20,1222916.67,1723000.0,222750.0,6,6
2025-07-21,1722333.33,1723000.0,1722000.0,3,3
2025-07-22,1723000.0,1723000.0,1723000.0,1,1
2025-07-23,301000.0,301000.0,301000.0,1,5
2025-07-24,301000.0,301000.0,301000.0,5,7
2025-07-25,301162.5,301200.0,301100.0,8,16
2025-07-26,401360.0,801200.0,301200.0,5,5
2025-07-27,300960.0,301200.0,300000.0,4,5
2025-07-28,300000.0,300000.0,300000.0,7,14
2025-07-29,300000.0,300000.0,300000.0,2,8
2025-07-30,300000.0,300000.0,300000.0,3,5
2025-07-31,300000.0,300000.0,300000.0,1,4
2025-08-01,300000.0,300000.0,300000.0,2,8
2025-08-02,528833.33,1673000.0,300000.0,4,6
2025-08-03,300000.0,300000.0,300000.0,5,10
2025-08-04,705500.0,1111000.0,300000.0,2,2
2025-08-05,300033.33,300100.0,300000.0,6,12
2025-08-06,300016.67,300100.0,300000.0,3,6
2025-08-07,195864.29,300000.0,0.01,7,14
2025-08-08,1001.0,1001.0,1001.0,4,8
2025-08-09,23115.44,200000.0,1006.0,7,9
2025-08-10,434338.67,651000.0,1016.0,3,3
2025-08-11,1017.4,1019.0,1016.0,4,5
2025-08-12,1019.0,1019.0,1019.0,7,8
2025-08-13,10869.77,19500.0,6301.0,5,26
2025-08-14,19540.0,19540.0,19540.0,3,3
2025-08-15,107762.86,637000.0,19560.0,6,7
2025-08-16,19580.0,19580.0,19580.0,4,5
2025-08-17,19600.0,19600.0,19600.0,2,3
2025-08-19,26318.0,26320.0,26310.0,3,10
2025-08-20,63659.0,399500.0,26340.0,6,10
2025-08-21,150806.67,399600.0,26410.0,2,3
2025-08-22,26450.0,26450.0,26450.0,4,5
2025-08-23,26500.0,26500.0,26500.0,3,3
2025-08-24,55136.92,398000.0,26590.0,8,13
2025-08-25,26648.67,26650.0,26640.0,5,15
2025-08-26,29856.5,90000.0,26690.0,6,20
2025-08-27,26691.21,26700.0,26690.0,9,33
2025-08-28,26690.0,26690.0,26690.0,1,2
2025-08-29,26690.0,26690.0,26690.0,2,2
2025-08-30,58340.0,89990.0,26690.0,2,2
2025-08-31,26690.0,26690.0,26690.0,4,4
2025-09-01,74870.0,243500.0,26690.0,4,9
2025-09-02,26690.0,26690.0,26690.0,5,25
2025-09-03,26690.0,26690.0,26690.0,5,7
2025-09-04,26690.0,26690.0,26690.0,3,6
2025-09-05,72853.75,396000.0,26690.0,6,8
2025-09-06,26690.0,26690.0,26690.0,4,4
2025-09-07,65225.0,257900.0,26690.0,4,6
2025-09-08,59198.57,254250.0,26690.0,4,14
2025-09-09,26300.0,26300.0,26300.0,2,2
2025-09-10,26300.0,26300.0,26300.0,3,6
2025-09-11,26300.0,26300.0,26300.0,5,9
2025-09-12,49911.11,238800.0,26300.0,4,9
2025-09-13,177957.14,238500.0,26300.0,5,7
2025-09-14,159034.67,238050.0,1004.0,3,3
2025-09-15,80037.33,238100.0,1006.0,3,3
2025-09-16,1009.0,1009.0,1009.0,1,1
2025-09-17,1009.0,1009.0,1009.0,4,10
2025-09-18,119104.5,237200.0,1009.0,2,2
2025-09-19,237200.0,237200.0,237200.0,1,1
2025-09-20,1012.0,1012.0,1012.0,3,3
