date,average,highest,lowest,order_count,volume
2025-05-23,15690000.0,15690000.0,15690000.0,1,1
2025-05-24,15690000.0,15690000.0,15690000.0,1,1
2025-05-26,15700000.0,15700000.0,15700000.0,1,1
2025-05-28,15700000.0,15700000.0,15700000.0,1,2
2025-05-29,15700000.0,15700000.0,15700000.0,1,1
2025-06-02,15700000.0,15700000.0,15700000.0,1,4
2025-06-04,14633333.33,15700000.0,12500000.0,3,3
2025-06-05,15700000.0,15700000.0,15700000.0,1,1
2025-06-09,16490000.0,16490000.0,16490000.0,1,1
2025-06-10,16490000.0,16490000.0,16490000.0,2,2
2025-06-11,16490000.0,16490000.0,16490000.0,3,3
2025-06-12,16490000.0,16490000.0,16490000.0,1,1
2025-06-13,16490000.0,16490000.0,16490000.0,2,3
2025-06-19,16490000.0,16490000.0,16490000.0,1,1
2025-06-20,16490000.0,16490000.0,16490000.0,1,1
2025-06-21,16490000.0,16490000.0,16490000.0,2,3
2025-06-22,16490000.0,16490000.0,16490000.0,3,3
2025-06-23,16490000.0,16490000.0,16490000.0,1,1
2025-06-24,16494000.0,16500000.0,16490000.0,2,5
2025-06-28,16490000.0,16490000.0,16490000.0,1,1
2025-06-29,16490000.0,16490000.0,16490000.0,1,1
2025-06-30,16490000.0,16490000.0,16490000.0,1,1
2025-07-05,16495000.0,16500000.0,16490000.0,2,10
2025-07-06,16480000.0,16480000.0,16480000.0,1,1
2025-07-07,16480000.0,16480000.0,16480000.0,2,3
2025-07-15,16470000.0,16470000.0,16470000.0,1,1
2025-07-17,16470000.0,16470000.0,16470000.0,1,1
2025-07-18,16470000.0,16470000.0,16470000.0,1,1
2025-07-25,16450000.0,16450000.0,16450000.0,1,1
2025-07-28,16450000.0,16450000.0,16450000.0,1,1
2025-07-29,16430000.0,16430000.0,16430000.0,1,1
2025-08-01,16430000.0,16430000.0,16430000.0,1,1
2025-08-02,16430000.0,16430000.0,16430000.0,1,1
2025-08-05,16690000.0,16820000.0,16430000.0,2,6
2025-08-08,24000000.0,24000000.0,24000000.0,1,1
2025-08-10,24285714.29,26000000.0,24000000.0,2,7
2025-08-12,26000000.0,26000000.0,26000000.0,1,1
2025-08-13,25970000.0,25970000.0,25970000.0,1,1
2025-08-14,21385000.0,25950000.0,16820000.0,2,2
2025-08-16,15995000.0,16760000.0,15230000.0,2,2
2025-08-17,13866600.0,16770000.0,2223000.0,5,5
2025-08-19,16810000.0,16810000.0,16810000.0,1,1
2025-08-23,16810000.0,16810000.0,16810000.0,1,1
2025-08-25,16777500.0,16780000.0,16770000.0,4,4
2025-08-27,16770000.0,16770000.0,16770000.0,1,1
2025-08-28,16780000.0,16780000.0,16780000.0,1,1
2025-08-30,16820000.0,16820000.0,16820000.0,1,1
2025-08-31,16820000.0,16820000.0,16820000.0,1,1
2025-09-01,16820000.0,16820000.0,16820000.0,1,1
2025-09-03,16780000.0,16780000.0,16780000.0,1,1
2025-09-04,16790000.0,16790000.0,16790000.0,1,1
2025-09-05,16765000.0,16770000.0,16760000.0,2,4
2025-09-08,16810000.0,16810000.0,16810000.0,2,2
2025-09-10,16818750.0,16820000.0,16810000.0,3,8
2025-09-11,16813333.33,16820000.0,16810000.0,3,3
2025-09-12,16810000.0,16810000.0,16810000.0,2,6
2025-09-13,16815000.0,16820000.0,16810000.0,4,8
2025-09-14,16810000.0,16810000.0,16810000.0,2,2
2025-09-16,16820000.0,16820000.0,16820000.0,1,2
2025-09-18,25000000.0,25000000.0,25000000.0,4,5
2025-09-19,25000000.0,25000000.0,25000000.0,1,1
2025-09-28,28880000.0,28880000.0,28880000.0,1,1
2025-10-02,28880000.0,28880000.0,28880000.0,1,1
2025-10-04,28880000.0,28880000.0,28880000.0,1,1
2025-10-05,28880000.0,28880000.0,28880000.0,4,5
2025-10-09,28840000.0,28900000.0,28800000.0,2,5
2025-10-10,32000000.0,32000000.0,32000000.0,1,5
2025-10-11,2223000.0,2223000.0,2223000.0,1,1
2025-10-12,32000000.0,32000000.0,32000000.0,1,1
2025-10-15,27227500.0,35980000.0,1000000.0,4,4
2025-10-16,35960000.0,35960000.0,35960000.0,1,2
2025-10-18,35930000.0,35930000.0,35930000.0,1,1
2025-10-22,33600000.0,33600000.0,33600000.0,1,1
2025-10-23,34300000.0,35990000.0,33420000.0,6,9
2025-10-25,36000000.0,36000000.0,36000000.0,4,9
2025-10-26,16810000.0,16810000.0,16810000.0,4,5
2025-10-27,16810000.0,16810000.0,16810000.0,1,1
2025-10-28,16810000.0,16810000.0,16810000.0,1,1
2025-10-30,16810000.0,16810000.0,16810000.0,2,2
2025-10-31,16810000.0,16810000.0,16810000.0,1,1
2025-11-01,16810000.0,16810000.0,16810000.0,1,1
2025-11-02,16812500.0,16820000.0,16810000.0,3,4
2025-11-03,16810000.0,16810000.0,16810000.0,1,1
2025-11-04,16810000.0,16810000.0,16810000.0,1,1
2025-11-05,16810000.0,16810000.0,16810000.0,2,2
2025-11-08,16810000.0,16810000.0,16810000.0,2,2
2025-11-09,16800000.0,16805000.0,16795000.0,3,3
2025-11-13,16790000.0,16790000.0,16790000.0,1,2
2025-11-14,16790000.0,16790000.0,16790000.0,2,3
