date,average,highest,lowest,order_count,volume
2025-05-24,430700000.0,430700000.0,430700000.0,1,1
2025-05-30,432487500.0,436200000.0,429800000.0,8,8
2025-06-02,139900000.0,139900000.0,139900000.0,1,1
2025-06-03,427542857.14,428900000.0,426450000.0,7,7
2025-06-04,140200000.0,140200000.0,140200000.0,1,1
2025-06-05,450000000.0,450000000.0,450000000.0,1,1
2025-06-11,320000000.0,320000000.0,320000000.0,1,1
2025-06-12,330933333.33,340000000.0,326400000.0,3,3
2025-06-13,142500000.0,142500000.0,142500000.0,1,1
2025-06-23,148400000.0,148400000.0,148400000.0,1,1
2025-06-26,149400000.0,149400000.0,149400000.0,1,1
2025-06-27,150300000.0,150300000.0,150300000.0,1,1
2025-06-29,263533333.33,319600000.0,151400000.0,3,3
2025-07-02,151700000.0,151700000.0,151700000.0,1,1
2025-07-07,151650000.0,151700000.0,151600000.0,2,2
2025-07-09,146000000.0,146000000.0,146000000.0,1,1
2025-07-10,260683333.33,282450000.0,249750000.0,5,6
2025-07-14,376176470.59,498350000.0,318900000.0,16,17
2025-07-18,380000000.0,380000000.0,380000000.0,1,1
2025-07-27,31150000.0,31150000.0,31150000.0,1,1
2025-08-01,215800000.0,225000000.0,189850000.0,5,5
2025-08-09,141515000.0,250000000.0,33030000.0,2,2
2025-08-13,277533333.33,278900000.0,276850000.0,3,3
2025-08-27,150000000.0,200000000.0,100000000.0,2,2
2025-08-28,307891666.67,369950000.0,228500000.0,10,12
2025-09-01,340000000.0,340000000.0,340000000.0,1,1
2025-09-08,120000000.0,120000000.0,120000000.0,1,1
2025-09-09,249100000.0,249100000.0,249100000.0,1,1
2025-09-15,91990000.0,91990000.0,91990000.0,1,1
2025-09-18,90990000.0,90990000.0,90990000.0,1,1
2025-09-20,137666666.67,172900000.0,120050000.0,3,3
2025-09-21,125250000.0,130200000.0,120300000.0,2,2
2025-09-27,139900000.0,139900000.0,139900000.0,1,2
2025-09-28,100000000.0,100000000.0,100000000.0,1,1
2025-09-29,119650000.0,129400000.0,109900000.0,2,2
2025-10-02,95000000.0,95000000.0,95000000.0,1,1
2025-10-03,134700000.0,139400000.0,132350000.0,3,3
2025-10-05,181225000.0,197400000.0,165050000.0,4,4
2025-10-06,95990000.0,95990000.0,95990000.0,1,1
2025-10-08,101900000.0,101900000.0,101900000.0,1,1
2025-10-19,130100000.0,130100000.0,130100000.0,1,1
2025-10-20,98040000.0,98040000.0,98040000.0,1,1
2025-10-24,140691250.0,145000000.0,98030000.0,8,8
2025-10-25,199800000.0,199800000.0,199800000.0,1,1
2025-10-27,179800000.0,179800000.0,179800000.0,1,1
2025-10-28,156000000.0,156000000.0,156000000.0,1,1
2025-10-30,73990000.0,73990000.0,73990000.0,1,1
2025-11-02,171900000.0,171900000.0,171900000.0,1,1
2025-11-09,50010000.0,50010000.0,50010000.0,1,1
2025-11-12,50010000.0,50010000.0,50010000.0,1,1
2025-11-13,109900000.0,109900000.0,109900000.0,1,2
